@relation ALLJURECZKO-ivy-1.1 

@attribute loc numeric
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {0,1}


@data
2,2,1,0,8,2,1,7,1,2,2,0,0,0,0.666666667,0,0,0,1,1,0
420,23,1,0,7,52,171,2,5,20,0.837662338,1,2,0,0.25,0,0,16.95652174,4,1.4348,1
4,4,1,0,10,4,6,9,1,4,2,0,0,0,0.55,0,0,0,1,1,1
346,13,4,2,17,57,22,2,15,9,0.25,1,1,0.85,0.192307692,3,7,25.53846154,6,1.6154,1
1515,38,2,0,37,153,569,1,37,21,0.89527027,0.875,1,0.307692308,0.122332859,1,1,38.65789474,4,1.5,1
255,15,4,0,8,51,47,1,8,15,0.785714286,1,0,0.777777778,0.366666667,2,4,15.6,1,0.9333,1
6,6,1,0,13,6,15,11,3,6,2,0,0,0,1,0,0,0,1,1,1
126,4,1,2,4,25,6,2,2,4,2,0,0,0,0.625,1,1,30.5,8,2.75,0
83,8,2,0,7,15,0,4,3,8,0.571428571,0,1,0.3,0.34375,1,4,9.125,1,0.875,1
1,1,1,0,4,1,0,4,1,1,2,0,0,0,1,0,0,0,1,1,0
12,2,5,0,3,5,1,0,3,2,2,0,0,0.987654321,1,1,1,5,1,0.5,0
167,19,1,0,6,25,135,4,2,12,0.944444444,0.5625,2,0,0.256578947,0,0,6.947368421,4,1,0
74,5,1,0,3,17,0,1,2,4,0.416666667,1,0,0,0.5,0,0,13.2,4,1.2,1
230,15,4,0,9,44,63,0,9,15,0.833333333,1,0,0.777777778,0.366666667,2,4,13.93333333,1,0.9333,1
40,7,1,0,7,12,0,5,3,7,0.5,1,1,0,0.428571429,0,0,4.428571429,1,0.8571,0
7,7,1,0,28,7,21,26,2,7,2,0,0,0,1,0,0,0,1,1,0
87,6,1,0,27,13,0,27,0,6,0.2,1,0,0,0.444444444,1,1,13.16666667,4,1.3333,1
531,34,4,0,13,88,433,0,13,32,0.925252525,1,0,0.597560976,0.375,2,4,14.17647059,1,0.9706,1
159,9,2,0,10,36,14,1,10,8,0.5625,1,1,0.454545455,0.377777778,0,0,16.44444444,4,1.3333,1
164,11,1,0,42,27,31,41,1,11,0.3,1,1,0,0.340909091,1,1,13.72727273,6,2,1
229,5,1,0,6,33,10,2,4,5,2,0,0,0,0.48,0,0,44.8,7,2,1
14,3,1,0,2,4,1,2,0,3,0.5,1,0,0,0.666666667,0,0,3.333333333,1,0.6667,0
82,9,1,0,4,19,20,1,3,9,0.1875,1,1,0,0.317460317,0,0,7.888888889,2,1,1
