@relation ALLJURECZKO-jedit-3.2 

@attribute loc numeric
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {0,1}


@data
425,14,1,0,9,45,61,3,6,11,0.769230769,1,1,0,0.294871795,0,0,29.14285714,8,2.4286,0
300,7,2,0,4,21,0,1,3,0,0.541666667,1,1,0.538461538,0.333333333,1,3,41.28571429,16,4.7143,0
113,6,1,0,3,11,9,1,3,5,0.6,1,3,0,0.333333333,0,0,16.33333333,5,1.5,0
92,6,2,0,16,14,3,8,8,5,0.666666667,1,0,0.782608696,0.444444444,0,0,13.83333333,1,0.8333,0
206,5,2,0,5,22,0,1,4,0,0.125,1,0,0.7,0.35,1,3,39.8,11,4,0
174,4,2,0,10,21,2,2,8,3,0.555555556,0.333333333,0,0.857142857,0.5,1,1,41.75,1,0.75,0
157,8,2,0,6,19,0,2,4,6,0.285714286,1,0,0.695652174,0.40625,1,2,18.5,2,1.375,0
62,4,1,0,2,7,0,1,1,3,0.222222222,1,0,0,0.666666667,0,0,13.75,3,1.75,0
5,5,1,0,5,5,10,4,1,5,2,0,0,0,1,0,0,0,1,1,0
93,4,2,0,1,11,6,1,1,0,2,0,0,0.785714286,0.571428571,1,2,22.25,5,1.75,0
33,10,1,2,11,13,39,10,3,8,0.777777778,1,1,0,0.25,0,0,2.2,1,0.9,1
182,5,2,0,14,27,10,2,12,1,1.071428571,0,0,0.818181818,0.72,0,0,34,1,0.8,0
1425,54,5,0,41,175,1183,21,27,25,0.930333817,0.846153846,5,0.926241135,0.122895623,3,12,24.90740741,11,2.1296,1
260,5,6,0,6,51,6,2,5,3,0.75,1,1,0.993993994,1,2,4,50,3,1.4,1
198,11,2,0,7,30,25,3,6,9,0.833333333,1,0,0.615384615,0.386363636,1,2,16.72727273,4,1.8182,0
1458,51,1,0,58,132,925,44,21,42,0.776470588,0.117647059,5,0,0.144,0,0,27.25490196,33,1.6667,0
762,18,6,0,21,124,117,7,20,6,0.77124183,1,0,0.975794251,0.1875,3,6,40.83333333,7,1.5556,1
64,7,2,0,6,15,9,2,4,7,0.722222222,1,1,0.454545455,0.357142857,1,1,7.714285714,1,0.8571,0
330,3,6,0,4,23,1,1,3,1,0.5,1,0,0.996987952,1,2,4,105.3333333,3,1.3333,1
7612,211,4,0,59,430,11469,40,39,169,0.883277962,0.906976744,10,0.755555556,0.084391534,3,9,34.87203791,25,3.0521,1
1492,39,1,0,70,144,725,58,21,34,0.955263158,0.4,1,0,0.135964912,0,0,37,16,2.6923,1
1,1,1,0,31,1,0,31,1,1,2,0,0,0,1,0,0,0,1,1,0
179,4,1,0,5,16,2,5,0,2,1.083333333,0.875,0,0,0.333333333,0,0,41.75,20,8.75,1
279,12,7,0,7,57,52,1,7,10,0.709090909,1,2,0.983433735,0.277777778,0,0,21.83333333,3,1.3333,1
828,19,5,0,31,132,57,16,22,12,0.595238095,1,6,0.973174367,0.210526316,1,1,42.21052632,21,3.2105,1
49,6,1,3,29,14,7,29,1,6,0.6,1,1,0,0.583333333,0,0,6.833333333,1,0.8333,0
300,7,6,0,9,58,5,4,8,1,0.733333333,1,1,0.991017964,0.5,4,12,41.14285714,5,1.7143,1
313,14,7,0,7,54,65,3,7,4,0.846153846,1,1,0.98048048,0.285714286,0,0,20.85714286,3,1.0714,1
1603,30,7,0,22,137,315,7,20,4,0.830140485,0.888888889,5,0.958883994,0.233333333,2,2,51.53333333,11,2.0333,1
69,2,2,0,6,8,0,1,6,0,0,0,1,0.875,0.571428571,1,1,32.5,7,3.5,0
361,9,1,0,4,18,0,4,1,8,1.015957447,0.106382979,16,0,0.40625,0,0,33.88888889,2,1,0
93,5,2,0,7,22,4,1,6,3,0.625,1,0,0.636363636,0.6,0,0,17.2,4,1.4,0
12,1,1,0,10,2,0,9,1,1,2,0,0,0,1,0,0,9,0,0,0
210,5,6,0,6,39,0,3,5,2,0.8,1,1,0.99389313,0.32,0,0,40,2,1,0
364,5,7,0,8,52,2,1,8,4,0.5,1,1,0.99391172,0.466666667,0,0,70.8,3,1.6,0
106,2,2,0,10,9,1,1,9,2,2,0,0,0.947368421,0.625,2,2,52,1,0.5,0
230,10,2,0,5,28,13,3,4,9,0.722222222,0.75,1,0.724137931,0.472222222,1,3,21.6,3,1.2,1
370,3,6,0,4,34,1,1,3,1,0.5,1,0,0.996987952,1,2,4,118,5,2.6667,0
175,2,8,0,10,30,1,2,9,2,2,0,0,0.998835856,0.75,2,3,86.5,15,7.5,1
143,8,5,0,4,33,28,2,2,7,2,0,0,0.992974239,0.5,1,1,16.875,3,1.125,0
7,7,1,0,36,7,21,36,0,7,2,0,0,0,0.523809524,0,0,0,1,1,0
123,8,6,0,5,31,20,2,4,1,0.761904762,0.666666667,1,0.991017964,0.5,4,12,14,2,0.875,1
628,30,4,0,10,73,337,7,7,25,0.927203065,1,3,0.957037037,0.127777778,3,18,19.33333333,20,1.9,1
279,4,2,0,12,21,6,1,11,1,1,0,0,0.857142857,0.45,1,1,68.5,4,2.25,0
182,11,1,2,14,30,15,9,8,7,0.566666667,0,3,0,0.236363636,0,0,15.27272727,3,1.0909,0
185,2,2,0,12,22,1,1,11,1,2,0,0,0.947368421,0.625,1,2,91.5,1,0.5,0
79,2,2,0,10,7,1,1,9,1,1,0,0,0.947368421,0.625,1,1,38,1,0.5,0
14,2,2,0,1,5,1,0,1,2,2,0,0,0.923076923,0.75,0,0,6,1,0.5,0
263,3,6,0,3,17,1,1,2,3,0.5,1,0,0.996987952,1,2,4,84,5,2,1
439,13,1,2,6,32,76,5,2,8,0.972222222,0.333333333,0,0,0.318181818,0,0,32.53846154,10,2.4615,0
191,5,6,0,5,33,2,2,3,3,0.458333333,1,1,0.996240602,0.4375,2,11,36,8,2.6,1
2,2,1,0,4,2,1,3,2,2,2,0,0,0,1,0,0,0,1,1,0
1472,45,1,0,41,77,898,36,5,28,0.795454545,0.25,2,0,0.083333333,0,0,31.62222222,12,2.0222,0
1557,36,1,0,23,109,630,12,14,14,2,0,0,0,0.155982906,0,0,42.25,30,3.1111,0
6,1,1,0,1,2,0,1,0,0,2,0,0,0,1,0,0,3,0,0,0
593,22,1,0,12,51,129,11,6,9,0.873015873,0.8,5,0,0.140909091,0,0,25.27272727,11,2.6818,1
64,7,1,0,5,12,13,5,0,6,0.5,1,0,0,0.166666667,0,0,7.857142857,4,1.5714,0
662,17,7,0,5,80,98,3,4,4,0.875,1,0,0.97754491,0.1875,1,3,37.29411765,5,1.1765,0
5,1,4,0,3,2,0,2,1,1,2,0,0,1,1,0,0,4,0,0,0
59,3,6,16,19,13,3,19,3,3,1,1,1,0.996937213,0.5,0,0,18.33333333,1,0.6667,0
498,19,5,0,13,77,71,8,10,8,0.813131313,1,3,0.973174367,0.198830409,0,0,24.63157895,9,2.0526,1
253,3,6,0,4,24,1,1,3,1,0.5,1,1,0.996987952,1,1,3,80,1,0.6667,1
36,5,3,0,5,6,2,5,0,5,0.75,1,0,0.80952381,0.466666667,1,1,5.4,1,0.8,0
5,1,3,0,8,2,0,6,2,1,2,0,0,1,1,0,0,4,0,0,0
258,10,5,15,17,27,29,15,2,5,0.805555556,1,0,0.986404834,0.5,0,0,24.4,2,1.1,1
66,8,1,13,15,9,12,13,2,0,0.761904762,1,2,0,0.354166667,0,0,6.875,3,1.25,0
1106,19,2,0,11,75,123,1,11,8,0.888888889,1,5,0.419354839,0.233918129,1,1,55.89473684,33,5.5789,1
534,24,1,0,29,89,228,11,24,16,0.900621118,1,0,0,0.155279503,0,0,20.95833333,6,1.875,1
1441,10,1,0,10,46,9,4,8,7,0.951111111,0.48,1,0,0.314285714,0,0,140.6,32,8.5,1
174,8,2,0,5,20,0,2,3,6,0.285714286,1,0,0.695652174,0.40625,1,2,20.625,2,1.375,0
186,1,1,0,2,1,0,2,0,0,2,0,0,0,0,0,0,148,0,0,0
1228,31,1,0,34,108,197,9,27,28,0.64,1,2,0,0.112903226,0,0,38.29032258,23,3.129,1
6259,50,1,0,5,66,3,1,4,6,0.75170068,0.166666667,1,0,0.5,0,0,123.7,163,8.68,0
59,4,1,0,2,7,0,1,1,3,0,1,0,0,0.666666667,0,0,13.25,3,1.75,0
244,11,1,0,22,29,23,19,3,8,0.72,1,1,0,0.16,0,0,20.72727273,5,1.7273,0
691,17,1,0,1,37,100,1,0,16,0.7,0.8,0,0,0.323529412,0,0,39.05882353,13,2.1176,0
238,3,6,0,4,27,1,1,3,3,0.5,1,1,0.996987952,1,2,4,76,3,1.6667,0
123,8,6,0,6,31,20,4,4,1,0.761904762,0.666666667,1,0.991017964,0.5,4,12,14,2,0.875,1
175,4,2,0,10,23,6,3,7,2,2,0,0,0.857142857,0.583333333,1,1,42.75,1,0.75,0
470,12,2,0,7,38,38,1,7,8,0.863636364,1,4,0.541666667,0.319444444,1,3,36.5,12,3.3333,1
1277,27,1,0,3,40,25,3,0,21,0.529411765,0.705882353,0,0,0.296296296,0,0,45.66666667,7,1.5926,0
115,7,2,0,5,16,3,1,4,7,0.80952381,1,0,0.7,0.392857143,1,1,14.42857143,3,1.4286,1
62,4,5,0,6,16,0,4,5,2,0.5,1,1,0.995856354,0.416666667,0,0,14,2,1,0
71,3,2,0,4,9,1,1,3,0,0.5,1,0,0.777777778,0.444444444,1,2,22.33333333,6,2.3333,0
1437,55,6,0,109,200,1197,99,30,40,0.892361111,0.875,8,0.922746781,0.0784689,1,1,24.83636364,13,2.5091,1
239,22,1,4,23,36,175,20,6,22,0.993197279,0.142857143,0,0,0.392045455,0,0,9.545454545,4,1.3182,1
356,8,1,0,15,31,0,8,9,3,0.766233766,0,1,0,0.375,0,0,42.125,1,0.375,0
20,3,2,0,4,5,3,1,3,0,2,0,0,0.777777778,0.466666667,1,2,5.666666667,1,0.6667,0
80,4,2,0,4,9,0,1,3,0,0.444444444,1,0,0.7,0.357142857,1,2,18.25,5,1.75,0
384,10,7,0,7,56,21,2,6,4,0.833333333,1,0,0.986404834,0.3,0,0,36.6,5,1.3,0
100,2,8,0,11,23,1,3,11,2,2,0,0,0.998835856,0.75,1,2,49,7,3.5,1
374,6,1,0,2,40,13,0,2,5,0.6,0,0,0,0.28,0,0,61.16666667,11,3,0
71,4,3,0,4,13,0,4,1,3,1.222222222,0.133333333,0,0.85,0.5,1,1,13,1,0.75,0
65,2,2,0,11,9,1,3,8,1,2,0,0,0.947368421,0.625,0,0,31.5,1,0.5,0
161,25,1,0,10,37,290,7,3,22,0.888888889,1,1,0,0.157407407,0,0,5.2,3,1.16,0
1263,19,1,0,19,71,91,6,15,9,0.708333333,0.625,1,0,0.274853801,0,0,65.05263158,5,1.6316,0
83,1,8,0,4,15,0,2,4,1,2,0,0,1,1,0,0,82,0,0,1
391,15,1,0,19,28,0,18,1,11,0.669642857,0.125,1,0,0.333333333,0,0,24.53333333,6,2.2667,0
173,5,3,0,4,18,8,0,4,5,0.375,1,2,0.818181818,0.366666667,2,3,32.4,7,2.6,0
167,11,2,0,2,23,25,1,1,7,0.833333333,0.666666667,0,0.64,0.303030303,2,2,13.90909091,4,1.5455,0
2,2,1,0,4,2,1,4,0,2,2,0,0,0,0.666666667,0,0,0,1,1,1
387,6,3,0,3,19,3,2,1,5,0.44,0.4,1,0.85,0.333333333,1,1,62.66666667,14,4.3333,0
23,3,1,0,5,4,3,5,0,2,1.4375,0,2,0,0.5,0,0,4,2,1,0
711,87,2,0,8,100,3741,0,8,84,2,0,0,0.104166667,0.054675365,1,2,7.172413793,3,1.023,0
10,2,3,0,5,4,1,1,4,2,2,0,0,0.857142857,0.75,0,0,4,1,0.5,0
500,7,2,0,7,27,0,1,7,3,0.616666667,0.6,2,0.454545455,0.285714286,0,0,69,5,3.1429,1
551,18,5,0,16,62,31,5,14,16,0.794117647,0.583333333,5,0.976083707,0.317647059,0,0,28.94444444,7,1.9444,1
30,2,2,0,10,6,1,5,5,1,2,0,0,0.947368421,0.625,0,0,14,1,0.5,0
2,2,1,0,3,2,1,3,1,2,2,0,0,0,1,0,0,0,1,1,0
339,5,5,0,4,26,0,3,1,5,0.25,1,0,0.99391172,0.6,0,0,66.4,12,4.2,0
45,3,6,0,3,13,3,1,2,3,2,0,0,0.997382199,0.5,2,2,14,1,0.6667,0
517,13,6,0,14,75,44,4,13,1,0.814814815,1,0,0.982195846,0.5,3,5,38.07692308,12,2.3077,1
9,2,3,0,7,4,1,7,0,2,2,0,0,1,0.75,0,0,3.5,0,0,0
231,11,2,0,5,31,31,1,5,7,0.8,1,0,0.565217391,0.4,1,3,19.27272727,8,2.2727,1
127,2,8,0,9,25,1,2,8,2,2,0,0,0.998835856,0.75,3,4,62.5,9,4.5,1
477,10,7,0,15,74,17,4,15,5,0.814814815,1,1,0.986404834,0.25,4,7,46.1,9,2.3,1
128,6,1,0,8,23,3,4,4,5,0.68,0,1,0,0.458333333,0,0,19.5,2,1.3333,1
589,21,6,0,17,83,64,13,7,9,0.691666667,1,1,0.978986403,0.224489796,3,7,26.76190476,13,2.7619,1
36,2,2,0,10,9,1,1,9,1,1,0,0,0.947368421,0.625,1,1,16,1,0.5,0
273,3,2,0,11,18,3,1,10,1,1,0,0,0.9,0.533333333,1,1,89.66666667,1,0.6667,0
162,3,7,0,5,33,3,2,4,3,2,0,0,0.996946565,0.555555556,0,0,53,1,0.6667,1
386,5,6,0,4,35,0,2,3,3,0.711538462,1,0,0.993993994,0.5,3,5,73.6,6,2,1
240,19,1,35,50,30,147,46,7,19,0.888888889,0.5,4,0,0.233082707,0,0,11.31578947,6,1.6316,0
137,2,2,0,12,10,1,1,11,1,1.125,0.625,4,0.947368421,0.625,1,1,63.5,1,0.5,0
40,2,2,0,10,9,1,2,8,1,2,0,0,0.947368421,0.6,1,2,18.5,1,0.5,0
1,1,1,0,5,1,0,5,1,1,2,0,0,0,1,0,0,0,1,1,0
199,17,1,0,8,22,100,5,3,17,0.91875,1,4,0,0.183823529,0,0,10.11764706,4,1.4118,1
152,5,6,0,10,33,4,4,8,2,0.666666667,1,2,0.99389313,0.4,1,1,28.8,1,0.8,1
145,7,6,0,7,33,11,4,6,0,0.777777778,1,3,0.99086758,0.285714286,0,0,19.28571429,1,0.8571,1
81,6,3,0,14,14,5,11,5,5,0.927272727,0.181818182,1,0.6,0.4,1,1,10.66666667,1,0.6667,0
5,5,1,0,9,5,10,7,2,5,2,0,0,0,0.6,0,0,0,1,1,0
23350,399,1,0,47,487,0,1,47,82,0.71839196,0.8,8,0,0.183375104,0,0,57.45864662,46,5.5439,0
456,11,1,0,3,16,55,2,1,9,2,0,0,0,0.363636364,0,0,40.45454545,6,3.5455,0
184,6,3,0,2,19,15,2,0,4,1.12,0,0,0.85,0.5,1,1,28.83333333,14,2.8333,0
488,13,1,0,11,61,44,4,10,6,0.833333333,1,0,0,0.180555556,0,0,36.15384615,6,2.5385,1
30,2,2,0,7,7,1,1,6,1,2,0,0,0.947368421,0.625,1,1,14,1,0.5,0
631,13,7,0,10,72,44,2,9,4,0.782051282,1,0,0.981954887,0.217948718,0,0,46.53846154,7,1.7692,0
36,2,2,0,7,6,1,1,6,1,2,0,0,0.947368421,0.625,1,1,17,1,0.5,0
223,8,2,0,8,34,12,2,6,5,0.714285714,1,0,0.5,0.291666667,0,0,26.375,8,2,0
533,14,5,0,20,72,37,17,11,8,0.857142857,0.928571429,3,0.98048048,0.257142857,2,5,36.07142857,6,1.7857,1
106,5,2,0,4,18,8,1,4,2,0.75,0,0,0.714285714,0.333333333,1,2,20,3,1.2,0
236,12,1,0,19,32,36,15,6,12,0.745454545,1,3,0,0.416666667,0,0,18.25,5,2,1
153,5,2,0,7,20,4,1,6,2,0.5,0,0,0.818181818,0.366666667,0,0,29.4,10,4,0
313,4,5,0,5,32,0,1,4,2,0.575757576,0.909090909,0,0.995601173,0.375,0,0,74.5,11,4,1
189,10,2,0,8,29,3,4,5,8,0.333333333,0,0,0.666666667,0.425,1,2,17.8,4,1.9,0
904,9,1,0,8,39,36,5,4,9,2,0,0,0,0.301587302,0,0,99.44444444,20,6,1
321,3,6,0,4,24,1,1,3,3,0.5,1,1,0.996987952,1,2,4,102,3,1.6667,0
269,5,1,0,3,12,0,2,1,3,0.46875,1,0,0,0.6,0,0,51.2,10,3.8,0
433,13,1,0,64,55,36,64,1,7,0.886904762,0.571428571,0,0,0.178571429,0,0,31.23076923,7,2.3077,0
137,11,3,2,51,20,0,51,1,9,0.1,0,1,0.653846154,0.575757576,1,1,11.36363636,2,1.1818,0
139,8,1,0,5,15,0,4,2,6,0.428571429,1,1,0,0.395833333,0,0,16,5,1.375,0
458,5,5,0,14,45,6,4,11,1,0.833333333,1,3,0.994436718,0.32,0,0,90,3,1.4,0
889,14,2,0,11,88,35,6,7,8,0.673076923,1,1,0.842105263,0.619047619,1,7,62.21428571,10,2.0714,1
501,12,3,0,6,52,8,2,5,10,0.672727273,1,0,0.666666667,0.303030303,1,4,40.33333333,17,4.3333,1
508,21,6,0,7,71,170,4,6,5,0.9,1,2,0.970193741,0.169312169,1,1,22.71428571,8,1.8571,1
6,6,1,0,1,6,15,1,0,6,2,0,0,0,0.75,0,0,0,1,1,0
63,3,2,0,14,10,3,5,9,2,2,0,0,0.9,0.6,1,1,20,1,0.6667,0
54,2,2,0,9,6,1,3,6,1,1,0,0,0.947368421,0.666666667,1,2,24.5,1,0.5,0
37,4,1,0,3,12,6,1,2,4,0.666666667,1,1,0,0.5,0,0,8,2,1,0
595,11,6,0,11,64,27,6,9,1,0.775,1,0,0.984871407,0.363636364,0,0,52.36363636,12,1.9091,1
50,2,2,0,8,8,1,1,7,1,2,0,0,0.947368421,0.625,1,1,24,1,0.5,0
24,6,1,0,6,8,15,3,3,6,2,0,0,0,0.555555556,0,0,3,2,1,0
398,13,5,0,14,65,14,4,14,4,0.633333333,1,2,0.981954887,0.323076923,2,5,29.23076923,8,1.6154,1
160,8,1,0,8,28,6,1,7,8,0.678571429,1,2,0,0.234375,0,0,18.5,6,2,0
176,3,7,0,4,33,3,1,4,3,1,1,0,0.996946565,0.666666667,0,0,57.33333333,1,0.6667,1
736,15,1,0,26,75,73,9,19,12,0.785714286,1,3,0,0.247619048,0,0,47.66666667,13,4.4,1
