@relation ALLJURECZKO-termoproject 

@attribute loc numeric
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {0,1}


@data
230,3,1,0,6,26,3,1,5,3,2,0,0,0,0.666666667,0,0,75.66666667,2,1.3333,0
31,2,1,0,10,3,0,8,2,1,0.8,0.2,2,0,0.75,0,0,12,1,0.5,0
88,5,1,0,11,9,0,10,3,4,0.5,0,1,0,0.8,0,0,14.8,3,1,1
225,6,1,0,10,13,0,6,4,6,0,1,1,0,0.416666667,0,0,36.16666667,1,0.6667,0
30,3,2,0,7,7,0,1,6,3,0,0,1,0.666666667,0.555555556,1,3,8.666666667,2,1,1
509,8,6,0,9,52,24,4,9,3,0.6,1,1,0.985882353,0.291666667,0,0,60.75,2,0.875,1
1,1,1,0,3,1,0,3,0,1,2,0,0,0,1,0,0,0,1,1,0
184,6,2,0,13,26,0,1,12,6,0.8,0,1,0.444444444,0.433333333,1,3,29.5,1,0.8333,0
2,2,1,0,4,2,1,3,2,2,2,0,0,0,0.833333333,0,0,0,1,1,0
430,5,1,0,5,26,10,1,4,5,2,0,0,0,0.6,0,0,85,2,1,1
81,2,1,0,4,20,1,1,3,2,2,0,0,0,0.75,0,0,39.5,2,1,0
217,7,6,0,9,41,11,3,9,1,0.633333333,0.8,2,0.985882353,0.333333333,0,0,29.28571429,1,0.8571,0
48,4,1,0,11,7,4,10,1,2,1.233333333,0.1,0,0,0.625,0,0,8.5,1,0.5,0
167,5,2,0,12,22,0,1,11,5,0.75,1,1,0.5,0.44,1,3,32.2,1,0.8,0
51,2,1,0,3,3,0,3,0,1,0,0,0,0,1,0,0,21.5,7,3.5,0
590,7,6,0,6,51,11,3,6,1,0.635416667,1,2,0.985882353,0.333333333,0,0,81,8,1.8571,1
116,6,2,0,7,9,7,7,0,4,0.857142857,0.285714286,6,0.733333333,0.4,1,1,17.16666667,3,1,0
2,2,1,0,5,2,1,3,2,2,2,0,0,0,0.75,0,0,0,1,1,0
64,5,1,4,10,11,0,6,4,5,0,1,1,0,0.6,0,0,11.6,1,0.8,0
16,2,3,0,10,3,0,10,0,1,0,1,0,0.928571429,0.666666667,0,0,6.5,1,0.5,0
55,4,1,0,7,10,0,7,0,2,0.611111111,1,0,0,0.333333333,0,0,11.25,1,0.5,1
172,3,1,0,7,25,3,1,6,3,2,0,0,0,0.555555556,0,0,56.33333333,2,1,1
4,4,1,0,4,4,6,3,1,4,2,0,0,0,0.666666667,0,0,0,1,1,0
34,7,1,0,18,14,21,6,12,6,2,0,0,0,0.142857143,0,0,3.857142857,1,0.8571,0
5,1,4,0,7,2,0,7,0,0,2,0,0,1,1,0,0,4,0,0,0
114,4,1,0,10,9,2,9,2,2,0.666666667,0,0,0,0.5,0,0,25.75,1,0.25,1
390,13,6,0,10,75,74,6,10,2,0.785714286,1,1,0.972157773,0.240384615,0,0,28.46153846,2,1,1
1,1,1,0,3,1,0,3,0,1,2,0,0,0,1,0,0,0,1,1,0
16,2,3,0,5,3,0,5,0,1,0,1,0,0.928571429,0.666666667,0,0,6.5,1,0.5,0
2353,32,6,0,33,167,350,22,33,2,0.819979188,0.967741935,1,0.933045356,0.267857143,0,0,71.5625,2,1.1563,1
72,2,1,0,4,20,1,1,3,2,2,0,0,0,1,0,0,35,2,1,0
16,2,3,0,0,3,0,0,0,1,0,1,0,0.928571429,0.666666667,0,0,6.5,1,0.5,0
16,2,3,0,8,3,0,8,0,1,0,1,0,0.928571429,0.666666667,0,0,6.5,1,0.5,0
693,7,6,0,9,50,9,3,9,2,0.608333333,0.95,2,0.985882353,0.333333333,0,0,95.14285714,1,0.8571,1
2,2,1,0,4,2,1,3,1,2,2,0,0,0,0.666666667,0,0,0,1,1,0
168,3,1,0,6,16,3,1,5,3,2,0,0,0,0.666666667,0,0,55,1,0.6667,0
151,4,1,0,12,10,0,7,5,4,0,1,1,0,0.75,0,0,36.25,1,0.75,0
8,1,2,0,3,2,0,1,2,1,2,0,0,1,1,1,3,7,0,0,0
40,1,1,0,2,2,0,2,0,1,2,0,0,0,1,0,0,30,0,0,0
540,6,6,0,7,49,11,3,7,1,0.626666667,1,1,0.988207547,0.4,0,0,86.5,8,2,1
92,6,2,0,7,9,7,7,0,4,0.8,0.4,4,0.733333333,0.4,1,1,13.5,3,1,0
215,13,1,0,23,35,0,6,17,12,0,0,1,0,0.338461538,0,0,15.46153846,1,0.9231,1
