@relation ALLJURECZKO-tomcat 

@attribute loc numeric
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {0,1}


@data
39,8,1,0,6,14,26,2,0,7,1,1,2,0,0.392857143,0,0,3.5,1,0.75,0
36,2,4,0,4,5,1,1,0,2,2,0,0,0.975609756,0.666666667,1,1,17,1,0.5,0
583,56,1,0,49,89,1310,40,0,56,0.956473829,1,24,0,0.1375,0,0,8.821428571,5,1.1964,0
20,4,5,1,0,8,6,0,0,4,2,0,0,1,0.666666667,0,0,4,0,0,0
73,3,2,0,3,8,3,3,0,3,1.5,0,0,0.9375,0.833333333,0,0,22,3,1,0
717,16,1,2,38,91,58,23,0,13,0.777777778,0.888888889,7,0,0.28,0,0,43.25,15,1.9375,1
3,3,1,0,0,3,3,0,0,3,2,0,0,0,1,0,0,0,1,1,0
114,10,3,0,3,24,3,1,0,10,0.481481481,1,0,0.428571429,0.211111111,1,1,10.1,3,1,0
30,3,2,0,2,7,3,2,0,3,1.5,0,0,0.9375,0.833333333,0,0,8.666666667,3,1,0
27,3,2,0,5,8,3,0,0,2,1,1,0,0.976190476,1,0,0,7.666666667,1,0.3333,0
283,11,2,0,1,25,35,0,0,11,0.65,1,0,0.411764706,0.318181818,0,0,24.36363636,2,1.1818,0
1700,4,2,0,12,22,2,1,0,4,0.583333333,1,3,0.5,0.5,1,1,423,1,0.5,1
14,6,5,0,1,7,15,1,0,6,2,0,0,0.864864865,0.458333333,1,1,1.333333333,1,0.8333,0
0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
177,6,3,0,8,33,3,1,0,1,0.4,1,0,0.827586207,0.4,1,6,28.33333333,1,0.8333,0
35,3,2,0,6,9,1,2,0,3,0,1,0,0.666666667,0.555555556,1,1,10.33333333,1,0.3333,0
17,14,1,0,3,15,91,3,0,14,2,0,0,0,0.285714286,0,0,0.214285714,1,0.9286,0
5,2,1,1,0,3,1,0,0,2,2,0,0,0,1,0,0,1.5,1,0.5,0
1226,22,2,0,20,145,127,0,0,15,0.867346939,0.857142857,1,0.545454545,0.306122449,2,2,54.09090909,10,2.3182,0
2594,51,1,0,40,207,999,4,0,38,0.907222222,1,9,0,0.092,0,0,49.15686275,41,4.1373,1
10,1,1,0,0,2,0,0,0,1,2,0,0,0,1,0,0,3,0,0,0
33,2,4,0,4,6,1,1,0,2,2,0,0,0.975609756,0.666666667,1,1,15.5,1,0.5,0
995,33,2,0,9,93,378,0,0,26,0.900862069,1,2,0.392156863,0.1875,0,0,28.27272727,6,1.4848,0
40,6,1,0,4,12,3,3,0,6,0.2,1,0,0,0.583333333,0,0,5.5,1,0.8333,0
259,8,1,0,2,31,12,1,0,8,0.457142857,1,0,0,0.325,0,0,30.75,5,1.5,0
981,37,3,0,8,97,508,2,0,21,0.895424837,1,3,0.619565217,0.242063492,2,3,25.05405405,11,2.7568,0
108,8,1,1,11,21,10,5,0,4,0.734693878,0.714285714,2,0,0.428571429,0,0,11.625,2,0.75,1
28,4,1,0,0,5,0,0,0,4,0.666666667,1,1,0,0.5,0,0,5.25,1,0.75,0
32,2,2,0,5,8,0,1,0,2,0,0,0,0.916666667,0.625,0,0,14.5,1,0.5,0
5,2,1,1,0,3,1,0,0,2,2,0,0,0,1,0,0,1.5,1,0.5,0
0,0,1,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
350,9,1,0,19,46,8,3,0,5,0.4375,1,3,0,0.3125,0,0,37.44444444,1,0.7778,0
11,2,5,0,2,5,1,0,0,2,2,0,0,0.985507246,1,1,1,4.5,1,0.5,0
9,1,1,0,0,2,0,0,0,1,2,0,0,0,1,0,0,3,0,0,1
181,7,1,0,9,36,0,1,0,5,0.416666667,0.5,0,0,0.444444444,0,0,24.57142857,1,0.7143,0
29,6,1,0,2,7,7,2,0,6,0.7,0,0,0,0.75,0,0,3.5,1,0.8333,0
167,11,1,0,2,23,15,1,0,11,0.7,0,1,0,0.318181818,0,0,13.72727273,2,1,0
24,10,1,0,4,11,45,3,0,10,1.111111111,0,0,0,0.34,0,0,0.3,1,0.9,0
962,42,2,0,26,98,683,10,0,41,0.948350072,1,0,0.633027523,0.25203252,2,7,21.5,10,1.5476,0
31,3,2,0,2,4,0,2,0,3,0,1,0,0.894736842,0.444444444,0,0,9,2,1,0
296,10,1,0,79,37,39,76,0,7,0.592592593,1,0,0,0.611111111,0,0,28.3,5,1.5,0
77,7,3,0,35,12,11,35,0,7,0.166666667,1,0,0.85,0.523809524,1,2,9.714285714,4,0.8571,0
91,4,1,0,2,9,0,1,0,2,0.25,0,1,0,0.625,0,0,20.75,5,2,0
21,4,3,0,2,6,6,1,0,4,1,1,1,0.833333333,0.4,1,2,4,1,0.75,0
8,5,1,1,0,6,10,0,0,5,2,0,0,0,0.533333333,0,0,0.6,1,0.8,0
836,30,1,0,14,71,135,2,0,22,0.780788177,1,6,0,0.162068966,0,0,26.4,6,1.6333,0
59,3,2,0,3,9,1,1,0,2,0.5,1,1,0.75,0.555555556,0,0,18.33333333,2,1,0
5,5,1,0,18,5,10,18,0,5,2,0,0,0,0.7,0,0,0,1,1,0
331,7,2,0,4,25,9,1,0,7,0.5,1,0,0.785714286,0.342857143,2,2,46,5,1,0
56,4,5,0,2,11,0,0,0,4,0,1,0,0.957746479,0.625,2,2,12.75,1,0.75,0
92,10,4,0,2,20,0,1,0,9,0.388888889,1,1,0.848484848,0.296296296,2,2,8,2,0.8,0
44,2,2,0,7,8,0,3,0,2,0,1,0,0.916666667,0.833333333,0,0,20,1,0.5,0
378,17,1,0,6,32,72,3,0,16,0.7125,1,0,0,0.8125,0,0,20.94117647,7,2.2353,0
52,3,2,0,2,11,0,1,0,3,0,1,0,0.846153846,0.5,0,0,16,1,0.6667,0
79,2,1,0,5,4,1,4,0,1,1.76744186,0,0,0,1,0,0,17,0,0,1
8,2,3,5,7,3,1,5,0,2,2,0,0,0.975,0.666666667,0,0,3,1,0.5,0
1160,118,1,0,10,210,3267,1,0,104,0.928547009,0.92,4,0,0.130536131,0,0,8.618644068,3,1.0424,1
23,1,1,0,0,2,0,0,0,1,2,0,0,0,1,0,0,3,0,0,1
9,2,2,0,2,4,1,0,0,1,1,1,0,1,1,0,0,3,0,0,0
343,8,2,0,0,35,28,0,0,7,2,0,0,0.5,0.525,0,0,41.875,6,1.75,0
287,16,2,1,6,42,34,5,0,13,0.644444444,1,0,0.48,0.186666667,0,0,16.75,7,1.8125,0
204,8,1,0,4,35,12,2,0,6,0.666666667,1,2,0,0.285714286,0,0,23.75,3,1.625,0
34,34,1,0,19,34,561,19,0,34,2,0,0,0,0.210084034,0,0,0,1,1,0
4,4,1,0,4,4,6,2,0,4,2,0,0,0,0.6,0,0,0,1,1,0
37,5,3,0,2,11,8,1,0,5,0.75,1,1,0.833333333,0.36,1,1,6.2,1,0.8,0
2,2,1,0,0,2,1,0,0,2,2,0,0,0,1,0,0,0,1,1,0
2453,41,1,0,17,92,658,6,0,20,0.84375,1,2,0,0.194642857,0,0,58.73170732,10,3.7073,0
20,4,5,1,0,8,6,0,0,4,2,0,0,1,0.666666667,0,0,4,0,0,0
36,4,2,0,8,13,4,1,0,2,1,1,1,0.909090909,0.555555556,0,0,7.5,1,0.5,0
12,9,1,0,1,10,36,0,0,9,2,0,0,0,0.444444444,0,0,0.333333333,1,0.8889,0
22,5,1,0,0,6,4,0,0,5,0.5,1,0,0,0.4,0,0,3.2,1,0.8,0
348,17,2,0,14,69,78,0,0,16,0.791666667,0.5,2,0.615384615,0.203125,1,3,19.11764706,3,1.4118,0
58,4,5,0,2,13,0,0,0,4,0,1,0,0.957746479,0.625,1,1,13.25,1,0.75,0
1833,60,1,0,19,143,1080,8,0,52,0.825084746,1,4,0,0.13700565,0,0,29.13333333,19,2.1833,1
265,13,1,0,12,25,40,12,0,13,0.923611111,0.083333333,1,0,0.369230769,0,0,18.46153846,5,1.4615,0
897,42,1,0,19,96,569,14,0,31,0.889135255,0.772727273,3,0,0.134146341,0,0,19.83333333,9,1.9286,0
4,1,3,0,4,2,0,4,0,1,2,0,0,1,1,0,0,3,0,0,0
8,2,4,0,3,3,1,1,0,2,2,0,0,0.975609756,0.666666667,0,0,3,1,0.5,0
221,7,1,0,1,13,0,1,0,5,0.5,1,2,0,0.428571429,0,0,29.85714286,7,3.2857,0
20,4,4,0,0,8,6,0,0,4,2,0,0,1,0.666666667,0,0,4,0,0,0
2361,44,1,0,26,166,428,9,0,2,0.880620155,1,7,0,0.141649049,0,0,52.31818182,11,2.0909,1
161,6,1,0,2,22,0,0,0,5,0.666666667,1,1,0,0.444444444,0,0,25.33333333,8,2,0
203,5,4,0,4,37,6,1,0,1,0.5,1,0,0.911764706,0.666666667,2,2,39.4,1,0.6,0
24,24,1,0,0,24,276,0,0,24,2,0,0,0,0.358333333,0,0,0,1,1,0
45,2,2,0,4,10,1,1,0,2,2,0,0,0.916666667,0.666666667,1,1,21.5,1,0.5,0
379,6,3,0,4,45,0,0,0,4,0.2,1,0,0.827586207,0.625,2,5,61.16666667,1,0.8333,0
31,5,3,2,0,8,4,0,0,5,0.5,1,0,0.944444444,0.6,0,0,5,1,0.2,0
98,9,1,0,0,17,30,0,0,7,0.875,1,3,0,0.288888889,0,0,9.555555556,12,2.1111,0
259,3,2,0,5,12,1,1,0,3,0,1,0,0.666666667,0.555555556,1,1,85,1,0.3333,0
13,2,3,0,4,4,1,1,0,2,2,0,0,0.975,0.666666667,0,0,5.5,1,0.5,0
166,8,2,0,4,23,16,1,0,8,0.428571429,1,0,0.733333333,0.46875,1,1,19.375,1,0.5,0
2014,38,2,0,14,144,521,0,0,26,0.895135135,1,3,0.357142857,0.155405405,0,0,51.34210526,31,3.5526,0
263,14,5,0,2,34,29,0,0,14,0.769230769,1,0,0.839506173,0.476190476,1,1,17.35714286,1,0.9286,0
655,42,3,0,4,67,697,2,0,33,0.282229965,0.857142857,1,0.512820513,0.166297118,2,4,14.42857143,4,1.0238,0
