@relation ALLJURECZKO-xalan-2.5 

@attribute loc numeric
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {0,1}


@data
1872,3,4,0,1,4,1,0,1,2,1.428571429,0,0,0.976190476,1,0,0,618.3333333,1,0.3333,1
176,5,3,0,20,33,0,0,20,4,0.5,1,1,0.933333333,0.333333333,2,7,33.8,6,1.8,0
371,13,1,0,11,54,76,1,10,9,0.875,0.5,1,0,0.208333333,0,0,27.23076923,5,1.9231,1
2480,28,3,0,12,104,222,1,11,17,0.855967078,0.888888889,5,0.866666667,0.196296296,2,26,87.25,3,1.1429,1
81,4,7,0,7,13,6,0,7,3,2,0,0,0.96,0.5,3,8,19.25,1,0.75,1
1095,31,3,2,22,78,239,11,13,26,0.733333333,0.4,2,0.641975309,0.180107527,2,9,34.16129032,17,3.0645,1
0,0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
110,8,4,9,18,21,8,9,9,4,2,0,0,0.872727273,0.5,2,5,12.75,2,1.125,1
3769,3,4,0,1,4,1,0,1,2,1.423076923,0,0,0.976190476,1,0,0,1251,1,0.3333,0
1136,74,3,2,47,119,2539,37,17,70,0.966051221,0.913043478,4,0.728624535,0.073443008,3,19,14.04054054,16,1.8378,1
368,6,1,0,17,51,15,0,17,3,1.2,1,0,0,0.5,0,0,60.16666667,1,0.8333,1
44,2,3,2,10,8,1,7,5,1,2,0,0,0.986111111,0.5,0,0,21,3,1.5,0
28,2,3,0,3,6,0,0,3,2,0,1,1,0.952380952,0.666666667,1,2,12.5,3,1.5,0
30,4,3,0,8,8,6,1,7,3,1,1,0,0.952380952,0.4,2,4,6,1,0.75,0
161,41,3,0,3,56,814,2,1,41,2,0,0,0.74,0.153846154,2,6,2.926829268,1,0.9512,0
656,32,4,2,17,84,354,6,12,28,0.88172043,1,2,0.86695279,0.180555556,3,19,19.21875,10,1.8438,1
119,8,2,0,17,29,0,17,0,8,0.285714286,0,0,0.666666667,0.34375,0,0,13.75,2,1,0
275,7,4,0,19,38,7,0,19,5,0.458333333,1,1,0.941176471,0.285714286,3,13,37.71428571,12,3.2857,0
161,25,3,0,6,49,0,4,3,25,0.520833333,0.5,1,0.890909091,0.253333333,1,1,5.36,2,1,1
217,2,1,0,13,31,0,1,13,0,0.142857143,0.928571429,9,0,1,0,0,100.5,3,1.5,0
87,4,1,0,2,6,0,2,0,4,0.416666667,1,0,0,1,0,0,19.75,2,1,1
260,13,1,1,13,35,58,10,3,13,0.666666667,0,0,0,0.307692308,0,0,18.92307692,11,2,1
648,107,1,1,2,117,5671,1,1,107,2,0,0,0,0.191069574,0,0,5.056074766,1,0.9907,1
875,3,4,0,1,4,1,0,1,2,1.3,0,0,0.976190476,1,0,0,289,1,0.3333,0
1,1,1,0,5,1,0,3,2,1,2,0,0,0,1,0,0,0,1,1,1
117,9,1,0,8,12,0,8,0,7,0.40625,1,0,0,0.5,1,2,11.55555556,4,1.1111,0
424,5,3,18,19,16,8,19,0,3,1.223684211,0,0,0.926829268,0.416666667,0,0,80,3,1,1
201,6,3,0,21,39,0,0,21,5,0.4,1,2,0.918032787,0.361111111,1,7,32.16666667,3,1.6667,1
257,3,1,0,10,46,3,0,10,3,2,0,0,0,0.466666667,0,0,84.66666667,1,0.6667,1
282,6,4,0,34,48,1,10,28,5,2,0,0,0.938271605,0.4,2,13,46,8,3.6667,1
24,3,1,0,2,6,0,0,2,3,0,0,1,0,0.666666667,0,0,6.666666667,1,0.6667,0
1105,55,1,5,97,116,1101,74,43,10,0.912037037,1,6,0,0.149691358,0,0,18.87272727,18,2.1818,0
533,28,3,0,42,61,370,13,34,26,1,0,0,0.564516129,0.181547619,1,3,18,10,1.8214,0
42,3,3,0,6,7,1,1,5,3,2,0,0,0.953488372,0.833333333,1,6,13,1,0.6667,0
16,3,4,0,13,5,3,13,0,3,2,0,0,1,0.555555556,0,0,4.333333333,0,0,0
477,15,1,0,13,26,1,12,2,14,0.553571429,1,1,0,0.383333333,0,0,30.53333333,6,2.4667,0
125,11,2,1,10,29,53,7,3,11,0.8,1,0,0.714285714,0.327272727,1,5,10.27272727,4,1.4545,1
169,3,4,0,10,34,3,1,9,1,2,0,0,0.990566038,0.666666667,1,1,55.33333333,1,0.6667,0
4,1,4,0,1,2,0,0,1,1,2,0,0,1,1,0,0,3,0,0,1
89,10,4,0,9,23,23,1,8,10,0.555555556,0,1,0.905263158,0.28,3,22,7.8,2,1,0
171,3,7,0,15,26,0,0,15,2,0,0.75,3,0.985185185,0.444444444,3,4,54.66666667,6,3,1
1178,45,2,0,60,112,932,23,41,15,0.568181818,0.6,1,0.328125,0.175925926,1,1,25.06666667,12,1.2222,1
481,24,1,0,4,30,0,4,0,21,0.543478261,1,0,0,0.316666667,0,0,18.875,8,1.6667,1
875,3,4,0,1,4,1,0,1,2,1.3,0,0,0.976190476,1,0,0,289,1,0.3333,0
2297,65,1,0,7,135,508,6,4,59,0.7375,0.85,12,0,0.1515625,0,0,34.03076923,18,1.8462,1
26,4,2,0,2,6,6,0,2,4,1,0,1,0.966666667,0.5625,0,0,5.25,1,0.25,0
226,6,5,0,26,27,15,1,25,4,2,0,0,0.97706422,0.533333333,2,4,36.66666667,6,1.6667,1
160,6,3,0,9,26,15,0,9,6,2,0,0,0.975124378,0.444444444,2,6,25.66666667,4,1.3333,1
2,2,1,0,2,2,1,2,0,2,2,0,0,0,0.666666667,0,0,0,1,1,0
152,3,4,0,18,31,1,1,17,3,2,0,0,0.974358974,0.5,2,3,49.66666667,8,3,1
213,6,3,0,24,31,0,2,22,6,0.333333333,1,2,0.934210526,0.305555556,2,7,34,4,1.3333,0
337,41,3,0,4,66,742,2,2,40,0.95,1,0,0.74,0.148217636,3,14,7.195121951,3,1,0
168,13,1,0,2,27,0,1,1,13,0.694444444,0,1,0,0.4,0,0,11.69230769,6,1.6923,1
30,5,1,0,5,7,10,1,4,5,2,0,0,0,0.25,0,0,5,1,0.8,0
276,9,1,0,12,32,0,12,0,8,0.6875,1,0,0,0.555555556,0,0,29,5,2.1111,1
505,10,3,0,23,59,7,1,22,7,0.644444444,1,2,0.861538462,0.3,1,9,49,13,3.9,1
5,5,1,0,6,5,10,6,0,5,2,0,0,0,0.333333333,0,0,0,1,1,0
1040,81,2,0,10,167,0,1,9,75,0.841666667,1,1,0.520958084,0.114403292,2,7,11.65432099,10,1.1728,0
314,3,4,0,1,4,1,0,1,2,0.5,0,0,0.976190476,1,0,0,103.3333333,1,0.3333,1
487,3,4,0,1,4,1,0,1,2,0.5,0,0,0.976190476,1,0,0,161,1,0.3333,1
139,12,1,0,5,23,54,0,5,12,0.454545455,1,1,0,0.533333333,0,0,10.5,1,0.8333,0
332,6,3,0,28,58,3,1,28,5,0.6,1,2,0.918032787,0.361111111,1,7,54,9,2.6667,0
234,11,1,0,8,15,0,8,0,11,0.425,1,0,0,0.515151515,0,0,19.90909091,4,1.7273,1
183,8,2,0,6,25,0,1,5,8,0.485714286,1,2,0.65,0.34375,1,5,21.25,6,1.625,1
3769,3,4,0,1,4,1,0,1,2,1.423076923,0,0,0.976190476,1,0,0,1251,1,0.3333,0
35,2,5,0,5,7,1,0,5,2,2,0,0,0.982142857,0.75,2,7,16.5,1,0.5,1
76,4,1,0,4,13,0,2,2,4,0.166666667,1,1,0,0.75,0,0,17.5,2,1,1
6,3,3,2,4,4,3,3,1,2,2,0,0,0.97260274,0.666666667,0,0,1,1,0.6667,0
1,1,1,0,6,1,0,4,2,1,2,0,0,0,1,0,0,0,1,1,1
4,4,1,0,4,4,6,4,1,4,2,0,0,0,0.55,0,0,0,1,1,0
1,1,1,0,4,1,0,3,1,1,2,0,0,0,1,0,0,0,1,1,0
341,22,1,0,2,49,221,1,1,20,0.964285714,1,1,0,0.143939394,0,0,14.31818182,2,1,1
58,10,2,0,6,19,0,2,4,10,0.111111111,0,1,0.689655172,0.325,1,1,4.7,1,0.9,0
3,3,1,0,8,3,3,5,3,3,2,0,0,0,0.5,0,0,0,1,1,1
314,3,4,0,1,4,1,0,1,2,0.5,0,0,0.976190476,1,0,0,103.3333333,1,0.3333,1
146,7,3,3,16,22,0,10,9,7,0.416666667,1,2,0.934210526,0.357142857,2,4,19.57142857,3,1.1429,0
352,13,4,1,16,49,40,2,14,13,0.638888889,0.666666667,3,0.946902655,0.188034188,4,11,25.84615385,2,1.1538,1
257,13,4,1,4,26,8,2,2,12,0.541666667,0.5,0,0.771428571,0.269230769,2,4,18.61538462,5,1.8462,1
54,4,3,0,6,5,0,6,0,2,1.095238095,0,0,0.944444444,0.666666667,0,0,10.75,1,0.25,1
1,1,1,0,2,1,0,2,0,1,2,0,0,0,1,0,0,0,1,1,0
64,7,2,0,3,19,0,0,3,7,0,1,1,0.684210526,0.428571429,1,5,8,1,0.8571,0
87,10,3,4,124,15,27,120,5,9,0.888888889,1,2,0.898734177,0.288888889,0,0,6.9,1,0.8,0
4,1,4,0,1,2,0,0,1,1,2,0,0,1,1,0,0,3,0,0,1
124,3,1,0,1,15,3,0,1,3,1.5,1,0,0,0.333333333,0,0,40,6,2.6667,0
6,1,6,0,1,2,0,0,1,1,2,0,0,1,1,0,0,5,0,0,0
75,7,6,5,12,15,1,7,6,5,0.333333333,1,1,0.962406015,0.342857143,2,5,9.571428571,2,1,1
6,3,3,0,0,4,3,0,0,3,2,0,0,0.95,0.833333333,0,0,1,1,0.6667,1
117,8,3,0,13,27,0,0,13,7,0.285714286,1,1,0.965517241,0.270833333,2,5,13.5,2,1,1
576,55,1,0,12,112,0,5,7,51,0.831481481,1,3,0,0.214141414,0,0,9.290909091,5,1.4182,1
245,46,1,0,3,53,1009,2,1,45,0.966666667,0,0,0,0.190217391,0,0,4.195652174,1,0.9783,0
85,5,1,0,7,10,10,7,0,5,2,0,0,0,0.2,0,0,16,5,3,1
437,10,1,1,6,41,0,3,3,7,0.333333333,0.666666667,1,0,0.475,0,0,42.4,1,0.8,1
164,4,2,1,6,19,0,1,6,4,0.333333333,1,1,0.823529412,0.5,1,4,39.75,11,3.25,0
109,2,1,0,7,24,1,3,4,2,2,0,0,0,0.5,0,0,53.5,1,0.5,1
19,9,1,0,0,9,36,0,0,9,1.125,0,0,0,0.555555556,0,0,0,1,1,0
107,5,1,1,5,17,8,4,1,5,0.75,0,0,0,0.6,0,0,20.2,12,3,1
402,11,2,0,3,38,49,0,3,10,0.6,1,1,0.181818182,0.275,0,0,35.36363636,6,2.5455,1
1,1,1,0,6,1,0,6,1,1,2,0,0,0,1,0,0,0,1,1,0
830,18,1,0,0,20,3,0,0,10,0.329411765,1,0,0,0.685185185,0,0,44.83333333,8,3.1111,1
13,2,3,0,4,4,1,1,3,2,2,0,0,0.976190476,0.75,1,1,5.5,1,0.5,0
338,1,2,0,1,2,0,0,1,1,2,0,0,0,1,0,0,3,0,0,1
39,5,3,0,5,12,10,2,3,5,2,0,0,0.98,0.7,2,4,6.8,1,0.8,1
24,3,2,0,3,5,3,1,2,0,2,0,0,0.5,0.555555556,0,0,7,2,1.3333,0
23,3,3,0,7,8,3,2,5,3,2,0,0,0.952380952,0.555555556,1,1,6.666666667,1,0.6667,0
2044,42,1,0,3,68,375,1,2,29,0.780487805,1,0,0,0.226480836,0,0,47.38095238,33,3.1429,0
45,5,2,0,4,7,0,3,1,5,0,0,0,0.966666667,0.4,0,0,7.8,1,0.2,0
25,3,3,0,7,7,3,2,5,3,2,0,0,0.953488372,0.555555556,1,1,7.333333333,1,0.6667,0
2909,71,2,3,23,181,1581,4,20,43,0.878881988,0.739130435,4,0.557692308,0.151020408,2,11,39.64788732,12,1.662,1
3800,4,4,0,1,11,4,0,1,2,1.282051282,0,0,0.953488372,0.5,2,2,945.75,2,0.75,0
237,5,3,0,20,33,0,1,20,4,0.416666667,1,1,0.933333333,0.333333333,2,6,45.8,4,2,0
0,0,1,0,5,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0
145,2,1,0,1,23,1,1,0,2,2,0,0,0,0.5,0,0,71.5,8,4,1
107,3,4,0,9,29,3,2,9,2,2,0,0,0.990566038,0.666666667,1,1,34.66666667,1,0.6667,0
1105,43,2,0,12,140,573,1,11,41,0.755102041,0.785714286,2,0.236363636,0.153100775,0,0,24.37209302,2,1.0465,1
1122,26,1,1,14,86,315,9,5,23,0.884444444,0.888888889,6,0,0.22,0,0,41.80769231,40,5,1
242,4,1,0,4,16,0,1,3,3,0.5,1,0,0,0.4375,0,0,58.5,6,3,0
18,2,3,0,3,5,0,0,3,2,0,0,1,0.964285714,0.666666667,1,1,7.5,1,0.5,0
198,39,1,0,1,56,469,1,0,39,0.578947368,0,0,0,0.256410256,0,0,4.051282051,1,0.9744,1
301,13,1,0,38,32,0,25,14,13,0.333333333,1,1,0,0.211538462,0,0,22,4,1.8462,0
274,18,1,0,44,38,151,43,1,17,0.941176471,0,0,0,0.235294118,0,0,14.16666667,5,1.6667,1
100,8,5,0,11,15,14,1,10,7,0.839285714,1,0,0.958333333,0.476190476,1,2,10.5,1,0.75,1
143,7,3,0,18,28,0,0,18,7,0,1,1,0.934210526,0.285714286,2,7,19.28571429,2,1.1429,0
50,3,3,0,10,12,3,1,9,3,2,0,0,0.95,0.5,1,6,15.66666667,1,0.6667,1
33,3,1,0,3,7,3,3,0,3,2,0,0,0,0.555555556,0,0,10,3,1.6667,0
280,15,3,11,20,48,101,16,6,10,0.821428571,1,2,0.933333333,0.348148148,0,0,17.53333333,1,0.9333,1
164,8,3,0,11,33,8,1,10,8,0.428571429,1,1,0.965517241,0.3,2,5,19.375,16,2.75,1
225,3,2,1,31,28,3,22,29,3,2,0,0,0.989130435,0.761904762,0,0,74,5,1.6667,0
244,5,3,0,14,45,4,0,14,4,0.5,1,1,0.9375,0.36,2,5,47.6,11,2.8,1
933,30,1,1,9,33,0,9,0,30,0.422413793,1,0,0,0.4,0,0,29.96666667,5,2.1667,1
4,1,1,0,27,1,0,26,1,1,2,0,0,0,1,0,0,0,1,1,0
11,1,4,0,0,2,0,0,0,1,2,0,0,1,1,0,0,7,0,0,0
50,2,5,0,8,14,1,1,7,1,2,0,0,0.995283019,0.625,2,2,24,1,0.5,0
1289,57,1,0,24,146,1224,19,9,50,0.895408163,0.828571429,3,0,0.115288221,0,0,21,16,1.7018,1
357,21,1,0,4,41,0,3,2,21,0.59,1,0,0,0.261904762,0,0,15.76190476,4,1.619,0
61,5,2,0,3,13,4,2,3,5,1,1,3,0.904761905,0.5,1,1,10,1,0.4,1
582,25,1,0,3,71,254,2,1,20,0.892857143,1,1,0,0.152727273,0,0,22,3,1.08,0
76,7,1,1,2,14,19,2,1,5,0.833333333,1,0,0,0.375,0,0,9.714285714,2,0.8571,0
