@relation RELINK-zxing1.6 

@attribute CountLineCode numeric
@attribute AvgCyclomatic numeric
@attribute AvgCyclomaticModified numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgEssential numeric
@attribute AvgLine numeric
@attribute AvgLineBlank numeric
@attribute AvgLineCode numeric
@attribute AvgLineComment numeric
@attribute CountClassBase numeric
@attribute CountClassCoupled numeric
@attribute CountClassDerived numeric
@attribute CountDeclClassMethod numeric
@attribute CountDeclClassVariable numeric
@attribute CountDeclInstanceMethod numeric
@attribute CountDeclInstanceVariable numeric
@attribute CountDeclMethod numeric
@attribute CountDeclMethodAll numeric
@attribute CountDeclMethodPrivate numeric
@attribute CountDeclMethodProtected numeric
@attribute CountDeclMethodPublic numeric
@attribute CountLine numeric
@attribute CountLineBlank numeric
@attribute CountLineCodeDecl numeric
@attribute CountLineCodeExe numeric
@attribute CountLineComment numeric
@attribute CountSemicolon numeric
@attribute CountStmt numeric
@attribute CountStmtDecl numeric
@attribute CountStmtExe numeric
@attribute MaxCyclomatic numeric
@attribute MaxCyclomaticModified numeric
@attribute MaxCyclomaticStrict numeric
@attribute MaxInheritanceTree numeric
@attribute PercentLackOfCohesion numeric
@attribute RatioCommentToCode numeric
@attribute SumCyclomatic numeric
@attribute SumCyclomaticModified numeric
@attribute SumCyclomaticStrict numeric
@attribute SumEssential numeric
@attribute bug {0,1}


@data
35,2,2,2,1,7,0,7,1,2,1,0,0,0,4,3,4,4,0,0,3,66,6,9,17,28,16,25,8,17,4,4,5,2,50,0.8,9,9,10,4,0
13,1,1,1,1,7,0,6,1,1,2,0,0,0,2,0,2,2,0,0,2,17,2,9,2,2,6,9,7,2,1,1,1,2,0,0.15,2,2,2,2,1
55,1,1,1,1,6,1,5,0,1,0,0,0,8,9,0,9,10,0,0,9,75,20,36,9,0,35,45,36,9,1,1,1,3,87,0,9,9,9,9,0
130,1,1,1,1,10,0,10,1,1,1,0,9,3,3,1,12,12,9,0,0,176,17,18,91,49,85,104,18,86,4,4,4,1,83,0.38,20,20,20,12,0
485,2,2,2,1,37,0,35,1,1,6,0,4,2,8,4,12,12,2,0,8,560,32,60,388,43,78,106,48,58,5,5,9,1,80,0.09,24,24,29,20,1
46,1,1,1,1,8,0,8,0,1,3,0,0,4,5,1,5,9,1,0,4,55,7,18,19,3,32,39,21,18,2,2,2,3,60,0.07,9,9,9,5,1
51,3,3,4,2,21,3,16,1,2,8,0,1,1,2,0,3,3,1,0,2,73,15,21,18,7,28,38,21,17,6,6,8,1,66,0.14,11,11,13,6,0
39,3,3,3,1,20,3,16,0,1,5,0,0,1,2,0,2,7,0,0,2,51,11,15,16,6,21,27,12,15,5,5,5,2,50,0.15,7,7,7,2,0
35,3,3,3,1,17,3,14,0,1,4,0,0,1,2,0,2,7,0,0,2,47,11,13,15,6,18,23,10,13,4,4,4,2,50,0.17,6,6,6,2,0
47,3,3,3,1,16,0,15,0,1,4,0,1,0,2,0,3,8,1,0,2,52,4,17,21,1,31,37,17,20,5,5,5,2,0,0.02,9,9,9,3,0
36,3,3,3,1,20,1,17,2,1,4,0,0,0,2,0,2,7,0,0,2,43,4,13,16,4,22,27,12,15,5,5,5,2,0,0.11,7,7,7,2,0
44,2,2,2,2,12,1,10,1,2,5,0,0,0,4,1,4,4,0,0,4,60,12,19,16,4,20,28,16,12,5,5,5,1,25,0.09,8,8,8,8,0
25,1,1,1,1,7,0,7,0,2,13,0,0,1,3,1,3,3,0,0,3,39,6,11,9,8,12,17,10,7,2,2,3,1,66,0.32,4,4,5,3,0
