"predictedValue","predictLabel","sloc","actualBugLabel"
4,0,15,0
26,1,492,0
16,1,11,1
8,0,4,0
0,0,0,0
0,0,6,0
27,1,153,0
16,1,8,0
17,1,13,1
17,1,21,0
22,1,77,1
5,0,24,0
0,0,8,0
0,0,0,0
18,1,0,0
0,0,0,0
25,1,1805,1
0,0,9,0
22,1,120,0
13,0,15,0
4,0,0,1
1,0,30,0
27,1,149,0
13,0,32,0
11,0,0,0
18,1,114,1
14,0,83,1
14,0,65,1
6,0,4,0
14,0,73,0
0,0,0,0
0,0,0,0
1,0,27,0
0,0,6,0
0,0,0,0
0,0,3,0
0,0,0,0
16,1,19,0
24,1,221,0
25,1,430,1
18,1,100,0
18,1,0,1
27,1,425,1
7,0,44,0
14,0,0,1
8,0,10,0
23,1,503,1
18,1,15,1
20,1,95,1
16,1,55,1
16,1,98,0
19,1,62,0
0,0,0,0
0,0,0,0
22,1,54,0
24,1,63,1
17,1,31,1
4,0,18,0
25,1,188,0
11,0,73,0
0,0,3,0
22,1,217,1
23,1,125,1
22,1,403,1
0,0,0,0
21,1,155,1
0,0,0,0
0,0,0,0
22,1,36,1
18,1,70,0
0,0,3,0
3,0,153,0
15,1,49,0
0,0,0,0
9,0,110,1
11,0,56,0
22,1,180,0
17,1,86,0
14,0,49,0
27,1,1543,1
0,0,0,0
0,0,8,0
14,0,173,0
8,0,28,1
0,0,0,0
0,0,4,0
28,1,1250,1
22,1,186,1
12,0,30,0
10,0,6,0
0,0,9,0
8,0,145,0
19,1,30,0
0,0,7,0
14,0,61,0
18,1,172,0
19,1,47,0
25,1,248,1
0,0,11,0
22,1,76,1
22,1,501,1
25,1,121,0
2,0,3,0
21,1,48,0
12,0,69,0
17,1,81,1
26,1,103,1
0,0,6,0
19,1,39,1
25,1,336,1
21,1,48,0
21,1,294,0
5,0,13,0
21,1,143,1
19,1,133,1
19,1,45,1
23,1,92,0
6,0,12,1
24,1,108,0
20,1,55,1
0,0,6,0
1,0,0,0
4,0,15,0
12,0,130,1
0,0,0,0
13,0,14,1
23,1,196,1
26,1,244,1
14,0,369,1
12,0,399,1
13,0,94,0
21,1,160,0
4,0,19,0
3,0,28,0
0,0,4,0
0,0,0,0
0,0,0,0
22,1,198,1
3,0,27,0
7,0,32,0
25,1,107,0
0,0,6,0
22,1,210,1
27,1,456,1
29,1,140,1
10,0,30,1
27,1,1434,1
0,0,4,0
24,1,289,0
18,1,138,1
14,0,97,0
24,1,596,1
19,1,124,0
28,1,182,0
7,0,0,0
20,1,88,1
0,0,15,0
25,1,214,0
18,1,33,0
24,1,535,1
5,0,7,0
22,1,231,1
0,0,0,0
0,0,0,0
0,0,0,0
29,1,862,1
25,1,61,1
21,1,110,0
16,1,14,1
22,1,393,1
28,1,112,1
16,1,169,1
23,1,200,1
8,0,13,0
12,0,23,0
26,1,712,1
22,1,54,0
0,0,0,0
0,0,0,0
0,0,0,0
14,0,89,0
0,0,9,0
24,1,63,0
0,0,6,0
0,0,26,0
0,0,0,0
26,1,1217,1
20,1,81,1
24,1,130,0
20,1,68,1
0,0,3,0
17,1,45,1
17,1,13,1
8,0,48,1
24,1,103,1
23,1,318,0
10,0,10,0
0,0,0,0
6,0,47,0
19,1,285,0
0,0,6,0
17,1,33,1
12,0,203,1
24,1,610,0
22,1,33,1
23,1,90,1
0,0,10,1
12,0,38,1
28,1,654,1
0,0,6,0
19,1,108,0
21,1,97,0
9,0,44,1
6,0,6,0
20,1,28,1
16,1,4,1
24,1,134,1
24,1,124,1
18,1,6,1
17,1,59,1
23,1,77,0
15,1,209,1
24,1,208,1
21,1,79,0
13,0,52,1
0,0,0,0
25,1,246,1
9,0,45,0
3,0,3,0
25,1,248,1
0,0,6,0
10,0,3,0
14,0,141,0
11,0,25,0
0,0,3,0
23,1,252,1
26,1,128,1
24,1,66,1
19,1,117,1
18,1,11,1
8,0,21,0
14,0,142,1
24,1,1041,1
15,1,22,0
24,1,130,1
0,0,15,0
10,0,37,1
11,0,24,0
14,0,99,0
0,0,3,0
1,0,0,0
20,1,114,1
0,0,0,0
0,0,26,0
16,1,17,0
12,0,30,0
23,1,54,1
28,1,424,0
25,1,114,1
22,1,144,0
9,0,16,0
26,1,159,1
25,1,257,0
17,1,86,1
15,1,47,1
24,1,367,1
15,1,28,1
15,1,31,1
0,0,6,0
0,0,9,0
8,0,56,0
17,1,94,0
6,0,28,0
0,0,0,0
26,1,148,0
0,0,0,0
5,0,25,0
19,1,31,1
28,1,705,1
23,1,177,0
11,0,13,1
0,0,6,0
24,1,186,1
14,0,71,0
28,1,122,1
1,0,11,0
2,0,12,1
10,0,95,0
5,0,4,0
16,1,39,1
0,0,6,0
15,1,0,0
2,0,21,0
0,0,4,0
0,0,0,0
12,0,11,0
21,1,107,0
4,0,10,0
26,1,1003,1
24,1,90,1
0,0,0,0
6,0,20,1
12,0,57,0
23,1,516,1
11,0,64,0
0,0,0,0
16,1,25,1
27,1,116,0
4,0,9,0
0,0,6,0
7,0,262,0
13,0,0,0
19,1,78,1
15,1,37,1
19,1,200,1
26,1,116,1
13,0,26,0
0,0,6,0
27,1,285,1
21,1,111,1
27,1,513,1
0,0,0,0
0,0,0,0
25,1,332,1
