"predictedValue","predictLabel","sloc","actualBugLabel"
17,1,170,1
23,1,829,1
26,1,138,0
4,0,40,0
3,0,19,0
27,1,240,0
16,1,4,0
10,0,345,0
23,1,44,1
23,1,182,0
23,1,182,0
2,0,13,0
3,0,6,0
13,0,20,0
7,0,40,0
2,0,0,0
25,1,61,0
9,0,86,0
11,0,54,0
5,0,76,1
15,1,39,0
13,0,14,0
27,1,107,0
18,1,44,0
19,1,55,1
11,0,7,0
18,1,73,0
9,0,3,0
24,1,64,1
1,0,34,0
17,1,56,0
12,0,130,1
10,0,19,0
3,0,9,0
24,1,144,0
15,1,39,0
3,0,0,0
7,0,35,0
21,1,87,0
1,0,3,0
10,0,18,0
2,0,13,0
28,1,267,0
6,0,28,0
4,0,36,0
7,0,13,0
4,0,15,0
15,1,17,0
16,1,30,0
27,1,214,1
7,0,78,0
12,0,604,0
19,1,45,1
16,1,9,0
8,0,10,0
13,0,23,0
16,1,63,0
14,0,13,0
17,1,29,1
22,1,229,0
2,0,19,0
3,0,0,0
17,1,12,1
17,1,58,0
8,0,10,0
10,0,1501,0
6,0,115,0
14,0,51,0
15,1,28,0
19,1,6,1
6,0,31,0
14,0,19,0
23,1,174,1
10,0,866,0
12,0,43,0
3,0,30,0
5,0,0,0
14,0,12,0
8,0,20,0
4,0,0,0
13,0,102,0
12,0,214,0
21,1,37,0
19,1,206,0
10,0,87,0
8,0,12,0
2,0,18,0
10,0,10,0
8,0,42,0
22,1,63,0
19,1,163,0
23,1,166,1
24,1,128,0
9,0,34,0
12,0,39,0
12,0,27,0
15,1,90,0
3,0,0,0
27,1,574,0
10,0,18,0
6,0,15,0
22,1,22,1
5,0,20,0
19,1,50,0
2,0,0,0
17,1,18,0
14,0,58,0
6,0,25,0
11,0,19,0
22,1,88,0
7,0,59,0
3,0,10,0
24,1,97,0
27,1,135,0
5,0,43,0
14,0,13,0
13,0,21,0
15,1,23,0
10,0,1131,0
10,0,51,0
6,0,4,0
4,0,19,0
26,1,131,0
26,1,107,1
24,1,154,1
11,0,51,0
26,1,240,0
2,0,13,0
9,0,53,0
8,0,62,0
1,0,7,0
16,1,102,0
13,0,132,0
12,0,154,0
13,0,3,0
23,1,167,0
22,1,56,0
25,1,98,0
18,1,53,0
16,1,50,0
