"predictedValue","predictLabel","sloc","actualBugLabel"
11,0,23,0
4,0,8,0
2,0,28,0
3,0,36,0
4,0,32,0
12,0,8,0
14,0,0,1
6,0,15,0
5,0,12,0
4,0,15,0
21,1,158,1
23,1,172,0
8,0,51,0
25,1,130,0
25,1,210,0
9,0,18,0
5,0,0,0
26,1,245,1
3,0,42,0
17,1,36,0
22,1,252,0
14,0,82,0
14,0,34,0
21,1,123,1
4,0,0,1
20,1,118,1
25,1,134,1
28,1,237,0
4,0,13,0
2,0,32,0
3,0,20,0
27,1,317,0
23,1,44,0
11,0,47,0
23,1,144,0
25,1,153,1
10,0,30,0
21,1,96,0
7,0,15,0
8,0,31,0
9,0,29,0
13,0,30,0
9,0,23,0
11,0,9,0
23,1,104,0
20,1,110,1
3,0,17,1
8,0,39,0
1,0,18,0
7,0,27,0
24,1,179,0
12,0,34,0
12,0,94,0
4,0,33,0
5,0,26,0
25,1,69,0
21,1,93,0
0,0,17,0
21,1,131,0
0,0,3,0
27,1,432,0
17,1,166,0
1,0,11,0
23,1,416,1
6,0,19,0
14,0,129,0
23,1,314,1
8,0,46,0
21,1,110,0
25,1,212,0
12,0,28,0
7,0,13,0
23,1,177,0
2,0,15,0
18,1,45,0
4,0,32,0
4,0,13,0
6,0,32,0
11,0,34,0
9,0,93,0
21,1,95,0
2,0,42,0
13,0,97,0
16,1,32,0
13,0,43,0
14,0,102,0
13,0,31,0
18,1,112,0
9,0,5,0
25,1,96,0
7,0,27,0
14,0,38,0
20,1,84,0
28,1,618,0
17,1,307,0
5,0,3,0
4,0,10,0
24,1,332,1
7,0,10,0
26,1,724,0
22,1,170,1
8,0,12,0
27,1,338,0
22,1,96,1
23,1,152,0
12,0,40,0
16,1,33,0
23,1,211,0
21,1,64,0
20,1,38,0
22,1,159,0
2,0,17,0
23,1,111,0
5,0,34,1
23,1,97,0
17,1,61,0
24,1,120,0
5,0,11,0
7,0,11,0
15,0,44,0
30,1,847,1
23,1,56,0
8,0,25,0
23,1,194,0
13,0,59,0
19,1,124,0
1,0,20,1
1,0,7,0
25,1,63,0
24,1,66,0
7,0,52,1
1,0,11,0
12,0,14,0
3,0,24,0
1,0,9,0
12,0,21,0
15,0,71,1
13,0,11,0
0,0,15,0
5,0,13,0
23,1,195,0
6,0,18,0
11,0,57,0
5,0,19,0
24,1,582,1
19,1,144,0
23,1,223,1
18,1,55,0
11,0,53,0
16,1,53,0
13,0,55,0
14,0,22,0
7,0,21,0
11,0,45,0
0,0,6,1
16,1,22,0
18,1,37,1
1,0,9,0
13,0,76,0
11,0,145,0
23,1,155,1
4,0,35,1
18,1,64,0
9,0,9,0
29,1,525,0
0,0,3,0
16,1,415,0
4,0,11,0
13,0,37,1
23,1,59,0
13,0,42,0
21,1,152,0
26,1,255,1
23,1,482,0
3,0,12,0
17,1,17,0
25,1,646,1
8,0,20,0
15,0,114,1
23,1,613,1
1,0,10,0
27,1,166,0
17,1,100,0
15,0,37,0
22,1,121,0
29,1,259,0
22,1,66,0
11,0,9,0
9,0,28,0
11,0,50,0
15,0,136,0
1,0,5,0
5,0,20,0
16,1,79,0
9,0,81,0
10,0,37,0
22,1,132,1
6,0,33,0
19,1,44,0
22,1,109,0
4,0,24,0
22,1,270,1
13,0,23,0
14,0,27,0
24,1,64,0
18,1,374,0
23,1,88,0
22,1,279,0
13,0,78,0
26,1,230,0
15,0,96,0
5,0,19,0
21,1,140,1
13,0,36,0
4,0,41,1
6,0,43,0
5,0,16,0
23,1,149,0
24,1,113,0
10,0,30,0
13,0,82,0
22,1,91,0
8,0,18,0
7,0,45,0
9,0,26,0
25,1,138,0
17,1,21,0
20,1,174,0
21,1,142,0
29,1,484,0
25,1,201,0
9,0,25,0
26,1,281,1
21,1,60,0
15,0,27,0
28,1,681,0
6,0,10,0
16,1,25,0
24,1,65,0
5,0,9,0
1,0,11,0
17,1,30,0
3,0,23,0
6,0,14,0
16,1,53,0
4,0,34,0
16,1,76,0
10,0,30,0
5,0,14,0
3,0,11,0
12,0,52,0
11,0,18,0
15,0,32,0
4,0,7,0
20,1,66,1
3,0,3,0
3,0,15,0
10,0,29,0
6,0,31,0
19,1,78,0
17,1,130,0
3,0,39,0
25,1,79,0
13,0,3,0
28,1,204,1
18,1,320,1
4,0,36,0
22,1,196,1
13,0,30,0
16,1,132,0
10,0,89,0
11,0,22,0
12,0,41,0
7,0,27,0
3,0,17,0
8,0,34,1
15,0,257,0
21,1,644,0
10,0,11,0
24,1,153,0
3,0,10,0
18,1,34,0
18,1,33,0
20,1,245,0
3,0,39,0
20,1,103,0
10,0,124,0
23,1,181,0
4,0,14,0
15,0,43,0
9,0,30,0
29,1,627,0
14,0,80,0
12,0,49,0
12,0,50,0
12,0,85,0
7,0,6,0
21,1,99,0
13,0,52,0
24,1,92,1
7,0,28,0
14,0,38,0
18,1,69,1
4,0,14,0
6,0,25,0
23,1,50,0
6,0,77,1
2,0,27,1
27,1,624,0
17,1,126,0
24,1,77,0
25,1,293,0
24,1,179,0
14,0,31,0
27,1,337,0
10,0,52,0
6,0,68,0
14,0,49,0
16,1,91,0
24,1,107,1
1,0,10,0
7,0,16,0
9,0,50,0
10,0,214,0
21,1,95,0
22,1,114,0
10,0,9,0
18,1,58,1
11,0,29,1
21,1,452,1
5,0,38,0
11,0,51,0
4,0,21,0
2,0,22,0
20,1,143,1
20,1,38,0
7,0,3,1
21,1,73,0
26,1,412,1
3,0,6,0
1,0,3,0
2,0,6,0
7,0,21,0
4,0,8,0
2,0,50,0
12,0,77,0
9,0,6,1
5,0,15,0
24,1,96,0
27,1,106,0
25,1,188,0
4,0,10,0
3,0,11,0
4,0,9,0
7,0,49,0
15,0,32,0
12,0,53,0
23,1,118,0
10,0,87,1
23,1,120,0
8,0,24,0
5,0,16,0
25,1,523,1
22,1,65,0
17,1,23,0
18,1,136,0
1,0,3,0
12,0,114,1
22,1,111,0
11,0,53,0
25,1,876,1
18,1,82,0
23,1,108,1
15,0,599,0
3,0,15,0
9,0,12,0
17,1,61,0
24,1,106,0
26,1,193,0
13,0,21,0
10,0,32,0
18,1,195,0
21,1,162,0
14,0,55,0
3,0,24,0
12,0,43,0
19,1,27,0
8,0,0,0
23,1,179,1
11,0,48,0
22,1,387,0
17,1,36,0
16,1,87,0
2,0,29,0
13,0,44,0
17,1,194,0
16,1,87,0
22,1,90,0
20,1,30,0
17,1,104,0
10,0,9,0
7,0,28,0
24,1,107,0
10,0,15,0
25,1,234,0
20,1,264,1
13,0,101,0
8,0,59,0
20,1,146,0
23,1,79,0
20,1,75,0
20,1,281,1
17,1,133,1
14,0,63,0
17,1,58,0
20,1,91,0
14,0,30,0
20,1,178,1
18,1,238,0
22,1,195,1
12,0,52,0
24,1,164,1
18,1,53,1
27,1,520,0
4,0,7,0
21,1,124,0
27,1,55,0
7,0,49,0
18,1,290,0
0,0,3,0
8,0,18,0
27,1,141,0
11,0,29,0
