"predictedValue","predictLabel","sloc","actualBugLabel"
14,1,394,1
10,1,97,0
3,0,1,0
16,1,344,0
7,0,46,0
10,1,52,0
12,1,101,0
12,1,350,0
11,1,328,1
9,0,154,0
12,1,88,1
4,0,7,0
7,0,37,0
16,1,244,0
2,0,10,0
9,0,56,0
5,0,213,0
13,1,165,0
4,0,12,0
5,0,52,0
8,0,317,0
1,0,25,0
3,0,31,0
1,0,0,0
5,0,27,0
12,1,45,1
9,0,82,0
10,1,52,0
13,1,152,0
6,0,32,0
11,1,96,1
4,0,46,0
1,0,21,0
10,1,297,0
13,1,81,0
3,0,28,1
4,0,21,0
3,0,39,0
6,0,88,0
11,1,118,0
5,0,29,0
11,1,96,0
12,1,129,0
6,0,15,0
5,0,54,0
9,0,292,1
17,1,287,0
3,0,43,0
6,0,12,0
9,0,19,1
11,1,150,0
9,0,86,0
17,1,230,0
6,0,31,0
10,1,120,1
12,1,70,0
13,1,183,0
11,1,83,0
2,0,39,0
4,0,2,0
9,0,55,1
11,1,202,0
2,0,23,0
8,0,41,0
11,1,140,0
3,0,31,0
9,0,48,0
17,1,555,1
2,0,18,0
12,1,94,1
4,0,30,0
3,0,28,0
2,0,53,0
4,0,1,0
11,1,105,1
11,1,172,0
6,0,72,0
3,0,1,0
17,1,323,0
9,0,378,0
4,0,25,0
7,0,11,0
10,1,138,0
2,0,20,0
14,1,123,0
12,1,183,1
6,0,24,0
4,0,45,0
4,0,1,0
17,1,603,1
4,0,1,0
3,0,15,0
3,0,24,0
11,1,218,0
6,0,52,0
5,0,37,0
1,0,0,0
6,0,42,0
2,0,6,0
13,1,176,0
4,0,1,0
13,1,126,0
13,1,95,0
6,0,16,0
17,1,301,1
4,0,16,0
6,0,12,0
3,0,2,0
4,0,1,0
6,0,16,0
13,1,229,0
3,0,59,0
11,1,151,1
2,0,32,0
3,0,26,0
10,1,80,0
11,1,59,0
4,0,57,0
10,1,193,1
4,0,1,0
10,1,139,0
13,1,115,1
8,0,68,0
12,1,224,0
7,0,34,0
7,0,22,0
14,1,672,0
5,0,2,0
7,0,57,0
2,0,12,0
11,1,112,1
9,0,52,0
3,0,2,0
13,1,620,0
10,1,46,0
11,1,923,1
10,1,45,0
13,1,111,0
10,1,738,0
13,1,162,1
14,1,167,1
7,0,71,0
3,0,1,0
8,0,63,0
4,0,23,0
12,1,334,0
9,0,84,0
4,0,11,0
11,1,207,0
4,0,1,0
3,0,1,0
12,1,113,0
5,0,4,0
3,0,34,0
11,1,200,1
4,0,31,0
2,0,0,1
9,0,28,0
6,0,57,0
3,0,1,0
5,0,52,1
1,0,0,0
7,0,88,0
3,0,56,1
6,0,24,0
9,0,75,0
1,0,0,0
5,0,32,0
5,0,23,0
5,0,33,0
11,1,138,0
4,0,41,0
12,1,461,0
6,0,26,0
2,0,13,0
11,1,52,0
12,1,120,0
4,0,21,0
2,0,12,0
12,1,216,0
5,0,21,0
15,1,303,1
6,0,5,1
10,1,125,0
6,0,69,0
12,1,68,0
3,0,2,0
9,0,166,0
12,1,799,1
5,0,41,0
3,0,1,0
11,1,758,0
12,1,82,1
9,0,78,0
5,0,3,0
12,1,251,1
14,1,571,0
13,1,99,0
3,0,7,0
12,1,94,0
5,0,1,0
11,1,80,0
12,1,342,1
13,1,218,1
5,0,14,0
12,1,297,0
10,1,54,0
8,0,143,0
5,0,1,0
12,1,49,0
8,0,44,0
12,1,102,0
1,0,28,0
16,1,299,0
8,0,93,0
7,0,17,0
6,0,9,0
4,0,5,0
4,0,16,0
10,1,249,0
11,1,189,0
9,0,93,0
10,1,79,0
6,0,12,0
8,0,20,0
2,0,18,0
6,0,24,0
3,0,1,0
3,0,22,0
10,1,192,0
13,1,587,0
13,1,204,0
6,0,106,0
9,0,67,0
10,1,61,0
3,0,1,0
5,0,2,0
5,0,22,0
9,0,131,0
10,1,235,0
11,1,99,0
12,1,272,0
13,1,177,1
16,1,1188,1
11,1,479,0
12,1,87,0
10,1,41,1
5,0,30,0
15,1,389,0
9,0,78,0
11,1,91,0
2,0,23,0
1,0,0,0
16,1,180,0
