"predictedValue","predictLabel","sloc","actualBugLabel"
10,1,786,1
10,1,141,0
13,1,451,1
11,1,254,1
5,0,148,1
4,0,106,1
6,0,24,0
9,1,267,0
7,0,156,1
11,1,278,1
9,1,250,1
14,1,417,1
13,1,390,1
10,1,1390,1
14,1,251,1
10,1,321,1
1,0,4,0
7,0,53,1
6,0,117,1
12,1,1441,1
4,0,1,0
17,1,1170,1
14,1,1831,1
10,1,536,1
11,1,372,1
10,1,324,0
3,0,4,0
7,0,127,1
9,1,61,1
11,1,933,1
7,0,107,0
6,0,117,1
10,1,284,1
8,0,182,1
8,0,84,1
9,1,201,1
8,0,241,0
5,0,128,1
7,0,62,0
7,0,153,1
3,0,4,0
7,0,230,1
5,0,13,0
6,0,129,0
8,0,141,1
1,0,62,1
7,0,154,1
6,0,138,0
11,1,258,0
4,0,264,0
9,1,212,0
5,0,26,1
9,1,250,0
9,1,2890,1
5,0,69,0
9,1,231,1
7,0,172,0
12,1,195,1
13,1,389,1
11,1,193,1
10,1,302,1
2,0,14,0
3,0,96,1
10,1,191,1
14,1,230,1
13,1,319,1
4,0,32,1
15,1,483,1
6,0,223,0
8,0,175,0
5,0,128,1
1,0,10,0
6,0,120,1
8,0,416,1
3,0,88,1
4,0,48,0
7,0,234,0
6,0,137,0
11,1,222,0
13,1,567,0
1,0,5,0
6,0,140,1
13,1,188,1
12,1,224,1
6,0,163,0
3,0,92,0
11,1,357,1
10,1,423,1
11,1,316,1
2,0,43,0
6,0,234,1
5,0,28,1
4,0,15,0
13,1,622,1
4,0,1,0
6,0,79,1
11,1,744,1
12,1,212,1
12,1,494,1
7,0,120,1
4,0,72,1
10,1,180,0
14,1,345,1
13,1,187,1
13,1,556,1
2,0,4,1
1,0,7,0
15,1,419,0
1,0,58,1
7,0,294,0
5,0,111,0
10,1,475,1
11,1,487,1
13,1,693,0
2,0,129,1
5,0,37,0
12,1,439,1
10,1,923,1
13,1,419,1
4,0,43,0
4,0,78,1
5,0,78,1
3,0,92,0
13,1,320,1
1,0,4,0
5,0,127,1
2,0,27,0
7,0,108,0
1,0,64,1
10,1,668,1
6,0,29,1
6,0,29,1
14,1,342,1
6,0,122,1
2,0,7,0
12,1,369,1
8,0,143,1
4,0,117,1
9,1,306,1
11,1,173,0
3,0,55,0
8,0,3581,0
13,1,1478,1
1,0,60,1
1,0,62,1
11,1,348,1
4,0,20,1
6,0,50,0
6,0,22,1
11,1,229,1
11,1,152,0
10,1,618,0
3,0,59,1
5,0,126,1
9,1,743,1
9,1,66,0
12,1,225,1
15,1,1216,1
11,1,388,0
4,0,4,0
10,1,195,1
4,0,20,1
6,0,27,0
8,0,961,1
4,0,32,0
6,0,231,0
6,0,149,0
11,1,429,1
5,0,106,1
3,0,1,0
10,1,505,1
9,1,144,1
14,1,402,1
6,0,49,0
8,0,86,1
5,0,143,1
13,1,9857,1
4,0,1,0
12,1,360,1
12,1,461,0
9,1,143,1
13,1,327,0
4,0,46,0
