"predictedValue","predictLabel","sloc","actualBugLabel"
2,0,40,0
8,0,63,0
8,0,104,1
13,1,133,0
15,1,1375,1
10,1,289,0
8,0,123,0
6,0,117,0
14,1,1400,1
6,0,12,0
4,0,101,0
4,0,68,0
9,1,136,0
12,1,73,0
7,0,82,0
11,1,247,0
4,0,61,0
11,1,245,0
11,1,326,1
2,0,31,0
13,1,604,0
10,1,427,1
10,1,274,0
6,0,101,0
4,0,101,0
7,0,68,1
8,0,123,0
4,0,107,0
9,1,93,1
4,0,34,0
9,1,156,0
2,0,6,0
13,1,414,1
1,0,13,0
10,1,75,0
1,0,65,0
4,0,4,0
5,0,86,0
15,1,1779,1
12,1,457,0
6,0,49,0
7,0,109,0
6,0,127,0
2,0,20,0
11,1,187,0
