"predictedValue","predictLabel","sloc","actualBugLabel"
10,1,54,0
18,1,5680,0
4,0,6,1
10,1,120,0
18,1,1120,1
3,0,17,0
1,0,1,1
9,0,60,0
9,0,39,0
14,1,97,0
11,1,867,0
18,1,1120,1
8,0,117,1
14,1,2128,0
6,0,13,0
7,0,51,0
14,1,579,1
9,0,39,0
6,0,720,0
4,0,12,0
9,0,583,0
7,0,18,0
10,1,200,0
4,0,14,0
10,1,191,0
3,0,8,1
8,0,90,0
7,0,42,0
11,1,486,0
12,1,239,0
4,0,17,0
14,1,1192,0
4,0,12,0
2,0,0,0
11,1,240,0
15,1,2890,0
11,1,498,1
1,0,4,0
0,0,4,0
17,1,1231,0
7,0,128,1
1,0,2,0
14,1,327,0
5,0,16,1
16,1,80,1
14,1,263,0
7,0,73,0
9,0,39,0
1,0,6,0
1,0,2,0
9,0,52,0
3,0,28,0
14,1,1937,0
11,1,1992,0
4,0,30,0
1,0,2,0
12,1,849,0
1,0,1,1
1,0,2,0
6,0,107,0
5,0,19,0
2,0,7,1
1,0,8,0
8,0,723,0
10,1,887,0
1,0,2,0
3,0,10,0
17,1,288,1
4,0,8,1
1,0,2,0
14,1,2197,0
3,0,13,1
5,0,20,0
12,1,136,0
12,1,72,0
9,0,64,0
0,0,0,0
0,0,4,0
3,0,17,0
18,1,200,0
1,0,3,0
10,1,547,0
11,1,50,0
1,0,9,0
1,0,4,0
6,0,6,0
17,1,115,0
18,1,598,1
4,0,26,0
14,1,90,1
17,1,962,0
10,1,436,0
6,0,1114,0
11,1,50,0
4,0,40,0
4,0,11,0
17,1,69,0
11,1,171,0
12,1,580,0
12,1,1528,0
0,0,0,0
3,0,17,0
5,0,11,0
1,0,2,0
5,0,24,1
17,1,1017,0
3,0,5,0
2,0,121,0
2,0,6,0
2,0,6,0
1,0,3,1
4,0,15,0
8,0,236,0
1,0,2,1
13,1,357,0
5,0,247,0
5,0,395,0
7,0,64,0
4,0,8,0
1,0,2,0
4,0,17,0
1,0,1,0
3,0,9,1
4,0,14,0
3,0,102,0
12,1,191,0
15,1,6637,0
5,0,8,1
3,0,1,0
1,0,2,0
15,1,192,1
11,1,123,0
13,1,120,0
7,0,28,0
12,1,1200,0
12,1,103,0
4,0,13,1
5,0,19,0
13,1,592,1
6,0,53,1
4,0,16,0
8,0,332,0
1,0,2,0
4,0,18,0
7,0,62,1
9,0,39,0
9,0,471,0
14,1,1405,0
3,0,5,0
4,0,35,0
4,0,19,0
12,1,83,0
15,1,7413,1
9,0,127,0
12,1,967,0
11,1,87,1
1,0,4,0
12,1,127,1
6,0,13,0
11,1,268,0
1,0,2,1
6,0,75,0
13,1,2272,1
1,0,3,1
11,1,50,0
12,1,93,0
4,0,34,0
11,1,264,0
6,0,31,0
2,0,6,0
6,0,208,1
13,1,223,0
0,0,0,0
1,0,2,0
12,1,366,0
13,1,2550,0
3,0,1,0
4,0,28,0
0,0,0,1
3,0,8,0
11,1,50,0
17,1,2553,0
5,0,19,0
4,0,22,0
9,0,39,0
12,1,61,0
10,1,76,0
6,0,224,0
12,1,7218,0
5,0,20,0
8,0,191,0
9,0,39,0
1,0,3,0
1,0,5,1
7,0,178,0
11,1,84,0
9,0,39,0
5,0,185,0
9,0,233,0
12,1,1265,0
5,0,16,0
0,0,0,0
10,1,2564,1
3,0,5,0
12,1,117,0
13,1,855,0
5,0,247,0
1,0,2,0
10,1,81,1
8,0,115,1
6,0,13,0
3,0,14,0
8,0,201,0
4,0,26,0
11,1,50,0
1,0,4,0
8,0,1019,0
9,0,39,0
10,1,85,0
1,0,1,0
1,0,4,0
0,0,14,1
6,0,16,0
11,1,77,0
11,1,126,0
1,0,2,0
3,0,5,0
15,1,1000,0
8,0,43,0
0,0,0,1
14,1,181,0
5,0,17,0
12,1,1444,1
6,0,31,0
4,0,8,0
12,1,184,0
9,0,52,0
11,1,50,0
5,0,18,0
3,0,8,0
14,1,284,0
3,0,12,0
6,0,8,0
14,1,149,0
10,1,140,0
4,0,10,0
12,1,176,0
4,0,34,0
4,0,29,0
0,0,0,0
13,1,6176,1
4,0,20,0
9,0,464,0
1,0,2,0
