"predictedValue","predictLabel","sloc","actualBugLabel"
18,1,32,1
14,1,10,1
3,0,2,1
8,0,16,1
4,0,9,1
14,1,24,1
14,1,14,1
17,1,2,1
18,1,26,1
18,1,26,1
18,1,40,1
19,1,74,1
15,1,16,1
13,1,6,1
4,0,2,1
17,1,23,1
18,1,29,1
16,1,22,1
6,0,15,1
2,0,9,1
16,1,37,1
4,0,7,1
16,1,31,1
6,0,8,1
18,1,53,1
16,1,20,1
2,0,5,1
18,1,29,1
19,1,60,1
2,0,5,1
18,1,29,1
16,1,20,1
15,1,16,1
19,1,31,1
17,1,41,1
18,1,27,1
17,1,35,1
18,1,33,1
12,1,17,1
15,1,23,1
2,0,11,1
6,0,14,1
19,1,50,1
18,1,22,1
14,1,133,1
4,0,6,1
18,1,25,1
4,0,11,1
15,1,2,1
19,1,51,1
18,1,30,1
5,0,11,1
3,0,2,1
13,1,15,1
16,1,18,1
18,1,28,1
13,1,155,1
3,0,3,1
15,1,27,1
17,1,12,1
17,1,18,1
19,1,39,1
17,1,51,1
18,1,54,1
5,0,7,1
16,1,6,1
2,0,5,1
2,0,7,1
2,0,7,1
4,0,7,1
3,0,10,1
3,0,7,1
11,1,15,1
4,0,11,1
17,1,96,1
18,1,36,1
19,1,82,1
8,0,18,1
17,1,49,1
17,1,26,1
19,1,52,1
18,1,36,1
5,0,9,1
13,1,13,1
16,1,20,1
18,1,23,1
18,1,29,1
16,1,28,1
6,0,9,1
4,0,4,1
2,0,3,1
18,1,105,1
2,0,6,1
14,1,38,1
14,1,16,1
17,1,155,1
13,1,19,1
14,1,64,1
15,1,55,1
6,0,13,1
11,1,18,1
13,1,23,1
8,0,11,1
15,1,28,1
18,1,37,1
15,1,196,1
4,0,5,1
18,1,26,1
2,0,9,1
18,1,56,1
5,0,12,1
17,1,23,1
15,1,20,1
19,1,92,1
12,1,9,1
17,1,24,1
19,1,23,1
18,1,13,1
17,1,31,1
19,1,52,1
18,1,19,1
11,1,18,1
18,1,66,1
19,1,28,1
18,1,31,1
18,1,41,1
18,1,33,1
11,1,18,1
16,1,32,1
15,1,33,1
18,1,51,1
5,0,8,1
19,1,60,1
17,1,25,1
17,1,19,1
2,0,9,1
17,1,19,1
2,0,3,1
2,0,3,1
2,0,3,1
14,1,40,1
16,1,10,1
17,1,28,1
14,1,31,1
19,1,73,1
17,1,53,1
16,1,51,1
15,1,21,1
19,1,64,1
2,0,4,1
18,1,44,1
19,1,27,1
14,1,20,1
17,1,20,1
19,1,38,1
18,1,35,1
18,1,51,1
15,1,18,1
18,1,41,1
16,1,22,1
15,1,37,1
18,1,33,1
5,0,15,1
5,0,7,1
18,1,39,1
4,0,5,1
7,0,10,1
6,0,10,1
17,1,31,1
13,1,7,1
14,1,33,1
15,1,30,1
12,1,8,1
14,1,32,1
16,1,30,1
18,1,21,1
3,0,17,1
16,1,22,1
2,0,7,0
3,0,10,0
3,0,10,0
1,0,4,0
3,0,8,0
1,0,6,0
1,0,7,0
13,1,17,0
2,0,10,0
1,0,6,0
2,0,10,0
1,0,7,0
3,0,8,0
1,0,10,0
2,0,7,0
5,0,12,0
3,0,7,0
2,0,8,0
2,0,7,0
1,0,8,0
4,0,10,0
1,0,7,0
18,1,26,0
1,0,2,0
1,0,3,0
9,0,11,0
4,0,8,0
1,0,4,0
17,1,41,0
17,1,25,0
16,1,33,0
2,0,4,0
16,1,33,0
1,0,4,0
17,1,30,0
16,1,21,0
7,0,17,0
1,0,10,0
15,1,22,0
11,1,18,0
12,1,16,0
1,0,7,0
2,0,11,0
0,0,2,0
11,1,18,0
3,0,10,0
1,0,2,0
16,1,31,0
2,0,10,0
3,0,12,0
2,0,8,0
3,0,5,0
18,1,47,0
14,1,22,0
19,1,33,0
0,0,0,0
1,0,6,0
2,0,10,0
2,0,11,0
2,0,7,0
18,1,42,0
3,0,8,0
3,0,8,0
2,0,5,0
1,0,7,0
19,1,29,0
2,0,4,0
1,0,5,0
1,0,3,0
1,0,3,0
1,0,3,0
0,0,2,0
1,0,3,0
1,0,3,0
1,0,3,0
14,1,28,0
1,0,10,0
2,0,10,0
14,1,27,0
14,1,26,0
15,1,32,0
3,0,8,0
5,0,11,0
4,0,9,0
11,1,15,0
1,0,8,0
1,0,4,0
1,0,8,0
8,0,14,0
8,0,14,0
4,0,11,0
2,0,8,0
1,0,8,0
5,0,15,0
1,0,8,0
