"predictedValue","predictLabel","sloc","actualBugLabel"
25,1,907,1
23,1,1096,1
12,0,122,1
24,1,245,1
1,0,0,1
20,1,840,1
5,0,39,1
24,1,2037,1
15,1,253,1
1,0,21,1
17,1,279,1
1,0,113,1
21,1,247,1
3,0,132,1
25,1,1468,1
19,1,206,1
16,1,159,1
24,1,588,1
19,1,308,1
20,1,158,1
21,1,249,1
15,1,232,1
9,0,139,1
24,1,853,1
25,1,548,1
25,1,1114,1
7,0,73,1
25,1,427,1
0,0,50,1
0,0,58,1
6,0,114,1
25,1,477,1
25,1,750,1
24,1,475,1
26,1,2130,1
25,1,399,1
14,1,390,1
1,0,65,1
20,1,186,1
25,1,403,1
4,0,108,1
18,1,250,1
25,1,2009,1
20,1,274,1
25,1,873,1
17,1,561,1
1,0,53,1
18,1,531,1
24,1,525,1
17,1,603,1
25,1,2017,1
24,1,245,1
6,0,203,1
22,1,441,1
1,0,47,1
12,0,101,1
18,1,185,1
23,1,216,1
14,1,196,1
1,0,0,1
21,1,938,1
0,0,35,1
0,0,37,1
25,1,510,1
25,1,630,1
26,1,878,1
26,1,833,1
25,1,467,1
26,1,707,1
10,0,130,1
10,0,129,1
25,1,641,1
17,1,556,1
16,1,474,1
26,1,744,1
26,1,771,1
1,0,30,1
2,0,50,1
26,1,319,1
19,1,368,1
1,0,71,1
23,1,243,1
20,1,533,1
15,1,194,1
25,1,752,1
22,1,210,1
23,1,893,1
7,0,128,1
19,1,981,1
26,1,764,1
16,1,231,1
25,1,675,1
0,0,0,1
1,0,0,1
24,1,269,1
8,0,50,1
23,1,354,1
23,1,866,1
1,0,0,0
23,1,522,0
1,0,26,0
1,0,0,0
1,0,2,0
0,0,60,0
3,0,78,0
3,0,105,0
6,0,20,0
10,0,95,0
10,0,68,0
0,0,0,0
0,0,0,0
1,0,25,0
8,0,128,0
9,0,37,0
2,0,36,0
16,1,160,0
22,1,828,0
1,0,3,0
0,0,40,0
12,0,140,0
1,0,80,0
6,0,60,0
3,0,85,0
4,0,137,0
1,0,38,0
6,0,98,0
0,0,92,0
1,0,39,0
16,1,244,0
26,1,392,0
3,0,123,0
26,1,1040,0
26,1,1104,0
0,0,0,0
20,1,555,0
1,0,14,0
1,0,16,0
1,0,12,0
1,0,15,0
9,0,99,0
25,1,189,0
6,0,91,0
15,1,136,0
1,0,0,0
1,0,16,0
1,0,50,0
24,1,578,0
18,1,245,0
23,1,203,0
5,0,80,0
0,0,46,0
1,0,1,0
1,0,1,0
26,1,1934,0
9,0,35,0
22,1,189,0
10,0,119,0
25,1,673,0
14,1,78,0
26,1,377,0
1,0,34,0
1,0,2,0
16,1,143,0
24,1,854,0
10,0,78,0
2,0,48,0
9,0,62,0
1,0,22,0
11,0,140,0
26,1,297,0
25,1,579,0
7,0,165,0
11,0,157,0
3,0,83,0
21,1,174,0
8,0,33,0
1,0,11,0
10,0,82,0
1,0,8,0
1,0,10,0
9,0,52,0
3,0,14,0
0,0,0,0
1,0,8,0
0,0,0,0
24,1,287,0
2,0,34,0
1,0,16,0
1,0,1,0
5,0,94,0
1,0,36,0
1,0,0,0
19,1,205,0
21,1,244,0
