Index,Score,Classification,Effort,BugCount
0,5.000000,0.000000,106.000000,0.000000
1,3.000000,0.000000,76.000000,0.000000
2,3.000000,0.000000,7.000000,0.000000
3,7.000000,0.000000,101.000000,0.000000
4,9.000000,0.000000,185.000000,1.000000
5,5.000000,0.000000,16.000000,0.000000
6,7.000000,0.000000,345.000000,1.000000
7,11.000000,1.000000,183.000000,0.000000
8,6.000000,0.000000,119.000000,0.000000
9,12.000000,1.000000,255.000000,0.000000
10,7.000000,0.000000,71.000000,0.000000
11,6.000000,0.000000,38.000000,0.000000
12,4.000000,0.000000,1.000000,0.000000
13,4.000000,0.000000,54.000000,0.000000
14,14.000000,1.000000,252.000000,0.000000
15,13.000000,1.000000,110.000000,0.000000
16,5.000000,0.000000,34.000000,0.000000
17,13.000000,1.000000,835.000000,0.000000
18,5.000000,0.000000,6.000000,0.000000
19,6.000000,0.000000,41.000000,1.000000
20,6.000000,0.000000,70.000000,0.000000
21,2.000000,0.000000,1.000000,0.000000
22,6.000000,0.000000,181.000000,0.000000
23,7.000000,0.000000,51.000000,0.000000
24,2.000000,0.000000,29.000000,0.000000
25,13.000000,1.000000,483.000000,1.000000
26,6.000000,0.000000,18.000000,0.000000
27,10.000000,1.000000,443.000000,0.000000
28,11.000000,1.000000,309.000000,0.000000
29,6.000000,0.000000,7.000000,0.000000
30,12.000000,1.000000,204.000000,0.000000
31,13.000000,1.000000,108.000000,0.000000
32,13.000000,1.000000,1286.000000,1.000000
33,10.000000,1.000000,249.000000,0.000000
34,3.000000,0.000000,4.000000,0.000000
35,7.000000,0.000000,57.000000,0.000000
36,1.000000,0.000000,53.000000,0.000000
37,15.000000,1.000000,1133.000000,0.000000
38,4.000000,0.000000,136.000000,0.000000
39,6.000000,0.000000,169.000000,0.000000
40,5.000000,0.000000,136.000000,0.000000
41,8.000000,0.000000,91.000000,0.000000
42,4.000000,0.000000,4.000000,0.000000
43,8.000000,0.000000,72.000000,0.000000
44,11.000000,1.000000,281.000000,0.000000
45,4.000000,0.000000,43.000000,0.000000
46,7.000000,0.000000,130.000000,0.000000
47,14.000000,1.000000,2303.000000,1.000000
48,9.000000,0.000000,56.000000,0.000000
49,3.000000,0.000000,2.000000,0.000000
50,13.000000,1.000000,365.000000,0.000000
51,13.000000,1.000000,137.000000,1.000000
52,15.000000,1.000000,804.000000,1.000000
53,8.000000,0.000000,245.000000,0.000000
54,12.000000,1.000000,128.000000,1.000000
55,15.000000,1.000000,920.000000,1.000000
56,13.000000,1.000000,271.000000,0.000000
57,17.000000,1.000000,586.000000,1.000000
58,6.000000,0.000000,19.000000,0.000000
59,1.000000,0.000000,16.000000,0.000000
60,7.000000,0.000000,76.000000,0.000000
61,10.000000,1.000000,76.000000,0.000000
62,8.000000,0.000000,187.000000,1.000000
63,16.000000,1.000000,1842.000000,1.000000
64,11.000000,1.000000,105.000000,0.000000
65,7.000000,0.000000,241.000000,0.000000
66,7.000000,0.000000,218.000000,0.000000
67,12.000000,1.000000,207.000000,1.000000
68,6.000000,0.000000,157.000000,0.000000
69,6.000000,0.000000,141.000000,0.000000
70,12.000000,1.000000,345.000000,1.000000
71,6.000000,0.000000,67.000000,0.000000
72,1.000000,0.000000,52.000000,0.000000
73,9.000000,0.000000,77.000000,0.000000
74,1.000000,0.000000,19.000000,0.000000
75,8.000000,0.000000,145.000000,0.000000
76,15.000000,1.000000,329.000000,0.000000
