Index,Score,Classification,Effort,BugCount
0,6.000000,0.000000,213.000000,0.000000
1,7.000000,0.000000,27.000000,1.000000
2,5.000000,0.000000,82.000000,0.000000
3,10.000000,1.000000,198.000000,0.000000
4,12.000000,1.000000,224.000000,1.000000
5,5.000000,0.000000,52.000000,0.000000
6,7.000000,0.000000,71.000000,0.000000
7,4.000000,0.000000,22.000000,1.000000
8,9.000000,0.000000,18.000000,0.000000
9,10.000000,1.000000,100.000000,0.000000
10,8.000000,0.000000,66.000000,0.000000
11,7.000000,0.000000,44.000000,1.000000
12,15.000000,1.000000,175.000000,1.000000
13,12.000000,1.000000,143.000000,0.000000
14,17.000000,1.000000,537.000000,1.000000
15,9.000000,0.000000,23.000000,1.000000
16,12.000000,1.000000,42.000000,1.000000
17,9.000000,0.000000,140.000000,1.000000
18,5.000000,0.000000,22.000000,0.000000
19,13.000000,1.000000,153.000000,1.000000
20,4.000000,0.000000,32.000000,1.000000
21,14.000000,1.000000,174.000000,0.000000
22,6.000000,0.000000,50.000000,0.000000
23,11.000000,1.000000,237.000000,1.000000
24,4.000000,0.000000,24.000000,0.000000
25,10.000000,1.000000,59.000000,0.000000
26,5.000000,0.000000,12.000000,0.000000
27,16.000000,1.000000,216.000000,1.000000
28,1.000000,0.000000,0.000000,0.000000
29,12.000000,1.000000,183.000000,0.000000
30,5.000000,0.000000,14.000000,1.000000
31,6.000000,0.000000,33.000000,1.000000
32,1.000000,0.000000,0.000000,0.000000
33,5.000000,0.000000,17.000000,0.000000
34,10.000000,1.000000,81.000000,0.000000
35,13.000000,1.000000,352.000000,0.000000
36,11.000000,1.000000,242.000000,1.000000
37,8.000000,0.000000,21.000000,1.000000
38,7.000000,0.000000,50.000000,0.000000
39,7.000000,0.000000,121.000000,1.000000
40,9.000000,0.000000,122.000000,0.000000
41,10.000000,1.000000,57.000000,1.000000
42,4.000000,0.000000,44.000000,0.000000
43,4.000000,0.000000,10.000000,1.000000
44,4.000000,0.000000,3.000000,0.000000
45,14.000000,1.000000,99.000000,0.000000
46,10.000000,1.000000,120.000000,0.000000
47,5.000000,0.000000,12.000000,0.000000
48,10.000000,1.000000,85.000000,0.000000
49,10.000000,1.000000,83.000000,0.000000
50,15.000000,1.000000,240.000000,1.000000
51,3.000000,0.000000,9.000000,0.000000
52,8.000000,0.000000,182.000000,1.000000
53,3.000000,0.000000,28.000000,1.000000
54,2.000000,0.000000,22.000000,0.000000
55,17.000000,1.000000,401.000000,1.000000
56,5.000000,0.000000,63.000000,0.000000
57,9.000000,0.000000,75.000000,1.000000
58,10.000000,1.000000,41.000000,0.000000
59,6.000000,0.000000,5.000000,1.000000
60,4.000000,0.000000,25.000000,0.000000
61,16.000000,1.000000,335.000000,1.000000
62,2.000000,0.000000,18.000000,0.000000
63,10.000000,1.000000,33.000000,0.000000
64,15.000000,1.000000,303.000000,1.000000
65,11.000000,1.000000,107.000000,0.000000
66,12.000000,1.000000,118.000000,1.000000
67,9.000000,0.000000,105.000000,1.000000
68,2.000000,0.000000,27.000000,0.000000
69,11.000000,1.000000,103.000000,0.000000
70,4.000000,0.000000,1.000000,0.000000
71,10.000000,1.000000,101.000000,1.000000
72,11.000000,1.000000,382.000000,0.000000
73,14.000000,1.000000,189.000000,0.000000
74,1.000000,0.000000,0.000000,0.000000
75,3.000000,0.000000,6.000000,0.000000
76,4.000000,0.000000,31.000000,0.000000
77,6.000000,0.000000,25.000000,0.000000
78,13.000000,1.000000,218.000000,0.000000
79,6.000000,0.000000,70.000000,0.000000
80,4.000000,0.000000,33.000000,1.000000
81,12.000000,1.000000,417.000000,0.000000
82,15.000000,1.000000,212.000000,1.000000
83,11.000000,1.000000,167.000000,0.000000
84,1.000000,0.000000,0.000000,0.000000
85,15.000000,1.000000,146.000000,0.000000
86,9.000000,0.000000,88.000000,0.000000
87,12.000000,1.000000,66.000000,0.000000
88,4.000000,0.000000,1.000000,1.000000
89,4.000000,0.000000,2.000000,1.000000
90,12.000000,1.000000,154.000000,1.000000
91,9.000000,0.000000,25.000000,1.000000
92,14.000000,1.000000,161.000000,1.000000
