Index,Score,Classification,Effort,BugCount
0,13.000000,1.000000,379.000000,1.000000
1,15.000000,1.000000,660.000000,1.000000
2,3.000000,0.000000,6.000000,0.000000
3,2.000000,0.000000,10.000000,0.000000
4,10.000000,1.000000,26.000000,1.000000
5,9.000000,1.000000,207.000000,1.000000
6,3.000000,0.000000,3.000000,0.000000
7,7.000000,0.000000,45.000000,1.000000
8,3.000000,0.000000,24.000000,0.000000
9,9.000000,1.000000,58.000000,0.000000
10,11.000000,1.000000,87.000000,1.000000
11,7.000000,0.000000,29.000000,1.000000
12,2.000000,0.000000,4.000000,0.000000
13,12.000000,1.000000,239.000000,1.000000
14,4.000000,0.000000,16.000000,0.000000
15,7.000000,0.000000,26.000000,0.000000
16,12.000000,1.000000,404.000000,1.000000
17,6.000000,0.000000,100.000000,0.000000
18,11.000000,1.000000,249.000000,0.000000
19,12.000000,1.000000,308.000000,1.000000
20,9.000000,1.000000,172.000000,0.000000
21,5.000000,0.000000,109.000000,0.000000
22,4.000000,0.000000,10.000000,0.000000
23,13.000000,1.000000,1815.000000,1.000000
24,11.000000,1.000000,220.000000,0.000000
25,5.000000,0.000000,28.000000,0.000000
26,8.000000,0.000000,159.000000,1.000000
27,9.000000,1.000000,114.000000,1.000000
28,3.000000,0.000000,1.000000,0.000000
29,10.000000,1.000000,644.000000,1.000000
30,4.000000,0.000000,47.000000,0.000000
31,9.000000,1.000000,73.000000,1.000000
32,5.000000,0.000000,46.000000,0.000000
