Index,Score,Classification,Effort,BugCount
0,2.000000,0.000000,40.000000,0.000000
1,8.000000,0.000000,63.000000,0.000000
2,8.000000,0.000000,104.000000,1.000000
3,13.000000,1.000000,133.000000,0.000000
4,15.000000,1.000000,1375.000000,1.000000
5,10.000000,1.000000,289.000000,0.000000
6,8.000000,0.000000,123.000000,0.000000
7,6.000000,0.000000,117.000000,0.000000
8,14.000000,1.000000,1400.000000,1.000000
9,6.000000,0.000000,12.000000,0.000000
10,4.000000,0.000000,101.000000,0.000000
11,4.000000,0.000000,68.000000,0.000000
12,9.000000,1.000000,136.000000,0.000000
13,12.000000,1.000000,73.000000,0.000000
14,7.000000,0.000000,82.000000,0.000000
15,11.000000,1.000000,247.000000,0.000000
16,4.000000,0.000000,61.000000,0.000000
17,11.000000,1.000000,245.000000,0.000000
18,11.000000,1.000000,326.000000,1.000000
19,2.000000,0.000000,31.000000,0.000000
20,13.000000,1.000000,604.000000,0.000000
21,10.000000,1.000000,427.000000,1.000000
22,10.000000,1.000000,274.000000,0.000000
23,6.000000,0.000000,101.000000,0.000000
24,4.000000,0.000000,101.000000,0.000000
25,7.000000,0.000000,68.000000,1.000000
26,8.000000,0.000000,123.000000,0.000000
27,4.000000,0.000000,107.000000,0.000000
28,9.000000,1.000000,93.000000,1.000000
29,4.000000,0.000000,34.000000,0.000000
30,9.000000,1.000000,156.000000,0.000000
31,2.000000,0.000000,6.000000,0.000000
32,13.000000,1.000000,414.000000,1.000000
33,1.000000,0.000000,13.000000,0.000000
34,10.000000,1.000000,75.000000,0.000000
35,1.000000,0.000000,65.000000,0.000000
36,4.000000,0.000000,4.000000,0.000000
37,5.000000,0.000000,86.000000,0.000000
38,15.000000,1.000000,1779.000000,1.000000
39,12.000000,1.000000,457.000000,0.000000
40,6.000000,0.000000,49.000000,0.000000
41,7.000000,0.000000,109.000000,0.000000
42,6.000000,0.000000,127.000000,0.000000
43,2.000000,0.000000,20.000000,0.000000
44,11.000000,1.000000,187.000000,0.000000
