Index,Score,Classification,Effort,BugCount
0,10.000000,1.000000,230.000000,0.000000
1,5.000000,0.000000,31.000000,0.000000
2,9.000000,0.000000,88.000000,1.000000
3,10.000000,1.000000,225.000000,0.000000
4,9.000000,0.000000,30.000000,1.000000
5,14.000000,1.000000,509.000000,1.000000
6,3.000000,0.000000,1.000000,0.000000
7,12.000000,1.000000,184.000000,0.000000
8,3.000000,0.000000,2.000000,0.000000
9,10.000000,1.000000,430.000000,1.000000
10,7.000000,0.000000,81.000000,0.000000
11,11.000000,1.000000,217.000000,0.000000
12,5.000000,0.000000,48.000000,0.000000
13,13.000000,1.000000,167.000000,0.000000
14,4.000000,0.000000,51.000000,0.000000
15,12.000000,1.000000,590.000000,1.000000
16,15.000000,1.000000,116.000000,0.000000
17,3.000000,0.000000,2.000000,0.000000
18,9.000000,0.000000,64.000000,0.000000
19,6.000000,0.000000,16.000000,0.000000
20,3.000000,0.000000,55.000000,1.000000
21,9.000000,0.000000,172.000000,1.000000
22,5.000000,0.000000,4.000000,0.000000
23,8.000000,0.000000,34.000000,0.000000
24,5.000000,0.000000,5.000000,0.000000
25,5.000000,0.000000,114.000000,1.000000
26,14.000000,1.000000,390.000000,1.000000
27,3.000000,0.000000,1.000000,0.000000
28,5.000000,0.000000,16.000000,0.000000
29,15.000000,1.000000,2353.000000,1.000000
30,6.000000,0.000000,72.000000,0.000000
31,4.000000,0.000000,16.000000,0.000000
32,6.000000,0.000000,16.000000,0.000000
33,11.000000,1.000000,693.000000,1.000000
34,3.000000,0.000000,2.000000,0.000000
35,8.000000,0.000000,168.000000,0.000000
36,10.000000,1.000000,151.000000,0.000000
37,6.000000,0.000000,8.000000,0.000000
38,3.000000,0.000000,40.000000,0.000000
39,12.000000,1.000000,540.000000,1.000000
40,13.000000,1.000000,92.000000,0.000000
41,9.000000,0.000000,215.000000,1.000000
