Index,Score,Classification,Effort,BugCount
0,15.000000,1.000000,467.000000,1.000000
1,7.000000,0.000000,16.000000,0.000000
2,11.000000,1.000000,530.000000,0.000000
3,17.000000,1.000000,417.000000,0.000000
4,14.000000,1.000000,151.000000,0.000000
5,12.000000,1.000000,245.000000,1.000000
6,17.000000,1.000000,376.000000,0.000000
7,5.000000,0.000000,17.000000,0.000000
8,8.000000,0.000000,120.000000,0.000000
9,6.000000,0.000000,12.000000,0.000000
10,14.000000,1.000000,218.000000,1.000000
11,12.000000,1.000000,337.000000,0.000000
12,13.000000,1.000000,103.000000,0.000000
13,13.000000,1.000000,184.000000,0.000000
14,9.000000,0.000000,116.000000,1.000000
15,13.000000,1.000000,438.000000,0.000000
16,12.000000,1.000000,316.000000,1.000000
17,3.000000,0.000000,1.000000,0.000000
18,12.000000,1.000000,129.000000,1.000000
19,14.000000,1.000000,207.000000,0.000000
20,13.000000,1.000000,8270.000000,1.000000
21,9.000000,0.000000,159.000000,1.000000
22,13.000000,1.000000,263.000000,0.000000
23,7.000000,0.000000,22.000000,1.000000
24,7.000000,0.000000,35.000000,0.000000
25,6.000000,0.000000,28.000000,1.000000
26,10.000000,1.000000,13175.000000,1.000000
27,2.000000,0.000000,37.000000,1.000000
28,11.000000,1.000000,48.000000,0.000000
29,15.000000,1.000000,427.000000,1.000000
30,10.000000,1.000000,71.000000,1.000000
31,12.000000,1.000000,342.000000,0.000000
32,4.000000,0.000000,53.000000,1.000000
33,5.000000,0.000000,17.000000,0.000000
34,14.000000,1.000000,476.000000,1.000000
35,3.000000,0.000000,5.000000,0.000000
36,12.000000,1.000000,340.000000,1.000000
37,4.000000,0.000000,1.000000,0.000000
38,12.000000,1.000000,133.000000,0.000000
39,14.000000,1.000000,388.000000,0.000000
40,6.000000,0.000000,30.000000,0.000000
41,9.000000,0.000000,116.000000,0.000000
42,13.000000,1.000000,296.000000,1.000000
43,13.000000,1.000000,129.000000,0.000000
44,14.000000,1.000000,197.000000,0.000000
45,9.000000,0.000000,236.000000,1.000000
46,10.000000,1.000000,278.000000,1.000000
47,8.000000,0.000000,110.000000,0.000000
48,6.000000,0.000000,52.000000,0.000000
49,10.000000,1.000000,62.000000,0.000000
50,7.000000,0.000000,121.000000,1.000000
51,11.000000,1.000000,79.000000,0.000000
52,3.000000,0.000000,1.000000,0.000000
53,13.000000,1.000000,198.000000,0.000000
54,11.000000,1.000000,151.000000,1.000000
55,7.000000,0.000000,23.000000,1.000000
56,11.000000,1.000000,731.000000,0.000000
57,9.000000,0.000000,37.000000,0.000000
58,9.000000,0.000000,32.000000,0.000000
59,7.000000,0.000000,247.000000,0.000000
60,5.000000,0.000000,84.000000,0.000000
61,12.000000,1.000000,830.000000,0.000000
62,12.000000,1.000000,46.000000,0.000000
63,13.000000,1.000000,199.000000,1.000000
64,8.000000,0.000000,41.000000,1.000000
65,8.000000,0.000000,149.000000,0.000000
66,5.000000,0.000000,5.000000,0.000000
67,12.000000,1.000000,206.000000,0.000000
68,6.000000,0.000000,28.000000,0.000000
69,5.000000,0.000000,6.000000,0.000000
70,14.000000,1.000000,288.000000,0.000000
71,5.000000,0.000000,50.000000,0.000000
72,6.000000,0.000000,12.000000,0.000000
73,10.000000,1.000000,163.000000,0.000000
74,16.000000,1.000000,405.000000,1.000000
75,17.000000,1.000000,1221.000000,1.000000
76,10.000000,1.000000,239.000000,1.000000
77,3.000000,0.000000,1.000000,0.000000
78,9.000000,0.000000,94.000000,0.000000
79,9.000000,0.000000,53.000000,0.000000
80,6.000000,0.000000,43.000000,0.000000
81,4.000000,0.000000,13.000000,1.000000
82,10.000000,1.000000,239.000000,1.000000
83,4.000000,0.000000,10.000000,0.000000
84,11.000000,1.000000,854.000000,0.000000
85,13.000000,1.000000,425.000000,0.000000
86,9.000000,0.000000,208.000000,1.000000
87,2.000000,0.000000,3.000000,0.000000
88,2.000000,0.000000,1.000000,0.000000
89,5.000000,0.000000,37.000000,1.000000
90,3.000000,0.000000,3.000000,0.000000
91,5.000000,0.000000,5.000000,1.000000
92,7.000000,0.000000,66.000000,1.000000
93,6.000000,0.000000,11.000000,0.000000
94,3.000000,0.000000,3.000000,0.000000
95,6.000000,0.000000,12.000000,0.000000
96,6.000000,0.000000,23.000000,0.000000
97,6.000000,0.000000,12.000000,0.000000
98,9.000000,0.000000,53.000000,0.000000
99,8.000000,0.000000,253.000000,0.000000
100,5.000000,0.000000,4.000000,0.000000
101,10.000000,1.000000,211.000000,0.000000
102,10.000000,1.000000,344.000000,1.000000
103,6.000000,0.000000,45.000000,0.000000
104,9.000000,0.000000,74.000000,0.000000
105,9.000000,0.000000,54.000000,1.000000
106,4.000000,0.000000,6.000000,0.000000
107,5.000000,0.000000,31.000000,1.000000
108,9.000000,0.000000,128.000000,1.000000
109,12.000000,1.000000,297.000000,1.000000
110,2.000000,0.000000,1.000000,0.000000
111,7.000000,0.000000,16.000000,0.000000
