Index,Score,Classification,Effort,BugCount
0,4.000000,0.000000,68.000000,0.000000
1,8.000000,1.000000,274.000000,1.000000
2,12.000000,1.000000,992.000000,1.000000
3,2.000000,0.000000,21.000000,0.000000
4,10.000000,1.000000,245.000000,1.000000
5,10.000000,1.000000,387.000000,1.000000
6,6.000000,0.000000,265.000000,1.000000
7,9.000000,1.000000,412.000000,1.000000
8,7.000000,0.000000,148.000000,1.000000
9,1.000000,0.000000,88.000000,0.000000
10,4.000000,0.000000,14.000000,0.000000
11,10.000000,1.000000,227.000000,1.000000
12,8.000000,1.000000,355.000000,1.000000
13,6.000000,0.000000,103.000000,0.000000
14,4.000000,0.000000,251.000000,1.000000
15,10.000000,1.000000,639.000000,1.000000
16,9.000000,1.000000,764.000000,1.000000
17,9.000000,1.000000,432.000000,0.000000
