Index,Score,Classification,Effort,BugCount
0,3.000000,0.000000,9.000000,0.000000
1,2.000000,0.000000,14.000000,0.000000
2,2.000000,0.000000,11.000000,0.000000
3,2.000000,0.000000,11.000000,0.000000
4,1.000000,0.000000,7.000000,0.000000
5,1.000000,0.000000,5.000000,0.000000
6,1.000000,0.000000,11.000000,0.000000
7,9.000000,0.000000,35.000000,0.000000
8,1.000000,0.000000,11.000000,0.000000
9,17.000000,1.000000,43.000000,0.000000
10,0.000000,0.000000,9.000000,0.000000
11,10.000000,1.000000,28.000000,0.000000
12,7.000000,0.000000,16.000000,0.000000
13,16.000000,1.000000,28.000000,0.000000
14,2.000000,0.000000,7.000000,0.000000
15,8.000000,0.000000,17.000000,0.000000
16,1.000000,0.000000,13.000000,0.000000
17,15.000000,1.000000,28.000000,0.000000
18,4.000000,0.000000,17.000000,0.000000
19,16.000000,1.000000,31.000000,0.000000
20,1.000000,0.000000,3.000000,0.000000
21,2.000000,0.000000,4.000000,0.000000
22,1.000000,0.000000,3.000000,0.000000
23,2.000000,0.000000,4.000000,0.000000
24,17.000000,1.000000,46.000000,0.000000
25,1.000000,0.000000,4.000000,0.000000
26,1.000000,0.000000,6.000000,0.000000
27,13.000000,1.000000,55.000000,0.000000
28,2.000000,0.000000,20.000000,0.000000
29,2.000000,0.000000,18.000000,0.000000
30,1.000000,0.000000,7.000000,0.000000
31,2.000000,0.000000,12.000000,0.000000
32,12.000000,1.000000,28.000000,0.000000
33,1.000000,0.000000,3.000000,0.000000
34,8.000000,0.000000,24.000000,0.000000
35,1.000000,0.000000,6.000000,0.000000
36,12.000000,1.000000,30.000000,0.000000
37,1.000000,0.000000,6.000000,0.000000
38,1.000000,0.000000,3.000000,0.000000
39,15.000000,1.000000,31.000000,0.000000
40,17.000000,1.000000,43.000000,0.000000
41,1.000000,0.000000,2.000000,0.000000
42,15.000000,1.000000,68.000000,0.000000
43,17.000000,1.000000,163.000000,0.000000
44,1.000000,0.000000,18.000000,0.000000
45,14.000000,1.000000,50.000000,0.000000
46,1.000000,0.000000,10.000000,0.000000
47,18.000000,1.000000,39.000000,0.000000
48,1.000000,0.000000,8.000000,0.000000
49,5.000000,0.000000,19.000000,0.000000
50,11.000000,1.000000,29.000000,0.000000
51,8.000000,0.000000,23.000000,0.000000
52,4.000000,0.000000,26.000000,0.000000
53,14.000000,1.000000,41.000000,0.000000
54,11.000000,1.000000,22.000000,0.000000
55,12.000000,1.000000,35.000000,0.000000
56,18.000000,1.000000,66.000000,0.000000
57,19.000000,1.000000,79.000000,0.000000
58,18.000000,1.000000,74.000000,0.000000
59,14.000000,1.000000,43.000000,0.000000
60,1.000000,0.000000,18.000000,0.000000
61,19.000000,1.000000,100.000000,0.000000
62,1.000000,0.000000,13.000000,0.000000
63,3.000000,0.000000,12.000000,0.000000
64,1.000000,0.000000,8.000000,0.000000
65,17.000000,1.000000,91.000000,0.000000
66,9.000000,0.000000,23.000000,0.000000
67,10.000000,1.000000,30.000000,0.000000
