sloc,wmc,dit,cbo,rfc,lcom,ca,npm,lcom3,dam,moa,mfa,cam,amc,max_cc,avg_cc,bug
2384,120,1,365,288,6692,352,103,0.97547127,0.594594595,5,0,0.090084034,18.55833333,6,1.4167,1
2937,49,4,31,210,844,1,28,0.877403846,1,2,0.624,0.127314815,58.40816327,13,1.449,1
881,26,4,12,109,233,1,20,0.892,1,1,0.709302326,0.157051282,32.11538462,4,1.0769,1
598,17,1,13,73,82,8,10,0.8203125,1,0,0,0.183823529,33.70588235,3,0.9412,1
1842,56,2,51,169,1200,37,35,0.848863636,0.875,2,0.409638554,0.155844156,31.60714286,14,2.1964,1
4541,41,2,6,60,402,3,8,0.889166667,0.933333333,2,0.11627907,0.191666667,109.0243902,47,5.5854,1
1561,39,1,25,150,625,8,24,0.878718535,0.913043478,1,0,0.111111111,38.43589744,27,2.2308,1
1413,31,5,24,152,349,2,13,0.857407407,1,8,0.811688312,0.115789474,44,7,1.4839,1
1828,45,3,25,157,744,4,27,0.902097902,0.846153846,2,0.4625,0.13986014,39.04444444,19,2.2444,1
1100,46,4,39,135,17,2,40,0.883760684,1,3,0.639344262,0.074666667,22.63043478,16,1.6739,1
2328,63,3,36,267,1715,4,36,0.922939068,0.861111111,9,0.37755102,0.091642229,35.38095238,21,2.0794,1
856,23,4,13,96,181,0,16,0.715909091,1,1,0.655737705,0.227272727,35.86956522,5,1.2609,1
345,9,4,11,54,10,1,7,0.803571429,1,0,0.870967742,0.314814815,36.55555556,1,0.8889,1
741,24,4,14,85,180,0,13,0.782608696,1,0,0.710526316,0.326086957,29.54166667,7,1.625,1
379,5,2,7,69,8,1,2,1,1,0,0.857142857,0.416666667,74.4,12,3.2,1
1752,58,1,142,158,1627,134,56,0.949874687,0.642857143,1,0,0.160233918,28.96551724,17,2.6379,1
879,29,3,25,109,268,1,20,0.851190476,1,6,0.578125,0.125,28.68965517,29,3,1
968,11,1,8,75,53,7,9,0.825,0.5,0,0,0.183333333,86.27272727,17,3.1818,1
2098,35,1,32,120,417,20,24,0.927893738,0.387096774,0,0,0.290441176,58.05714286,19,2.5143,1
631,16,3,18,80,86,1,11,0.878787879,0.909090909,3,0.725490196,0.188888889,37.75,4,1.1875,1
105,7,1,5,19,21,2,7,2,0,0,0,0.2,14,8,2.4286,1
941,32,3,16,97,362,2,32,0.941935484,0.76,3,0.544117647,0.201388889,27.625,45,2.625,1
2117,23,1,17,126,161,2,5,0.770833333,0.791666667,0,0,0.148760331,90,53,4.5217,1
1224,22,4,25,172,151,1,10,0.921768707,0.285714286,2,0.787878788,0.178030303,54,12,2.2273,1
549,18,3,12,80,61,1,12,0.647058824,1,2,0.685185185,0.181818182,29.38888889,8,1.9444,1
487,7,2,11,74,15,0,2,0.722222222,0.333333333,0,0.727272727,0.367346939,68.14285714,13,3.1429,1
2704,92,3,34,261,3726,8,81,0.960245637,0.970588235,11,0.291338583,0.11247576,28.02173913,15,1.5543,1
2303,63,1,61,144,1603,51,31,0.874288425,1,2,0,0.213709677,35.01587302,35,3.2381,1
586,34,5,15,67,295,4,29,0.842975207,0.818181818,1,0.745901639,0.173202614,15.91176471,5,1.7941,1
725,15,3,10,77,41,0,12,0.785714286,1,3,0.74,0.25,46.8,2,1.2667,1
185,8,1,5,22,6,4,6,0.678571429,1,0,0,0.625,21.125,4,1.875,1
