sloc,wmc,dit,cbo,rfc,lcom,ca,npm,lcom3,dam,moa,mfa,cam,amc,max_cc,avg_cc,bug
156,10,1,6,31,1,0,9,0.5,1,1,0,0.355555556,14.4,1,0.8,1
901,25,1,13,74,0,0,23,0.444444444,1,2,0,0.204545455,34.92,1,0.92,1
224,13,1,19,56,54,0,11,0.898148148,1,4,0,0.173076923,15.53846154,4,1.1538,1
10,10,1,6,10,45,2,10,2,0,0,0,0.4,0,1,1,1
7,7,1,6,7,21,3,7,2,0,0,0,0.464285714,0,1,1,1
616,16,4,19,79,114,0,13,0.933333333,1,1,0.788732394,0.265625,37.375,34,4.1875,1
85,3,1,8,14,3,3,3,2,0,0,0,0.5,27.33333333,9,3.3333,1
1564,38,1,30,155,485,0,34,0.922604423,1,7,0,0.138314785,39.57894737,7,1.4737,1
1250,35,1,29,121,373,0,31,0.910294118,1,5,0,0.165966387,34.14285714,5,1.2286,1
277,18,1,17,46,97,0,17,0.898395722,1,4,0,0.211764706,13.77777778,3,1.0556,1
14,3,1,3,5,3,0,3,2,0,0,0,0.5,3.666666667,1,0.6667,1
111,8,1,16,21,14,13,8,0.80952381,1,0,0,0.34375,12.5,7,1.875,1
14,3,1,3,5,3,0,3,2,0,0,0,0.5,3.666666667,1,0.6667,1
7,7,1,4,7,21,2,7,2,0,0,0,0.357142857,0,1,1,1
746,22,1,16,114,165,0,11,0.898809524,1,3,0,0.13968254,32.54545455,5,1.1818,1
679,22,1,18,72,47,0,16,0.666666667,1,3,0,0.179487179,29.63636364,3,1.0909,1
56,4,4,8,12,6,0,4,2,0,0,0.949152542,0.875,13,1,0.75,1
26,4,1,4,6,6,0,4,1,1,1,0,0.4,5.25,3,1.25,1
175,9,4,19,36,34,0,9,2,0,0,0.875,0.314814815,18.44444444,1,0.8889,1
641,29,1,24,91,238,0,19,0.899159664,1,6,0,0.16091954,20.51724138,4,1.4483,1
11,11,1,10,11,55,3,11,2,0,0,0,0.337662338,0,1,1,1
134,23,1,5,29,223,3,23,0.954545455,1,2,0,0.204968944,4.347826087,2,1,1
3,3,1,3,3,3,2,3,2,0,0,0,1,0,1,1,1
20,20,1,13,20,190,7,20,2,0,0,0,0.328571429,0,1,1,1
112,14,1,5,21,63,4,14,0.91025641,1,1,0,0.285714286,6.571428571,6,1.3571,1
389,21,1,16,53,154,0,16,0.892307692,1,4,0,0.176870748,16.9047619,1,0.9524,1
506,19,1,30,93,139,0,16,0.931623932,1,7,0,0.138888889,24.94736842,8,1.5789,1
117,7,1,6,19,7,0,6,0.75,1,2,0,0.366666667,15.14285714,3,1.1429,0
117,13,1,1,17,64,0,12,0.916666667,1,0,0,0.461538462,7.461538462,3,1.3846,0
44,7,4,48,12,19,47,6,0.944444444,0.333333333,0,0.866666667,0.458333333,4.857142857,1,0.2857,0
4,4,1,4,4,6,2,4,2,0,0,0,1,0,1,1,0
20,4,5,2,8,6,1,4,2,0,0,1,0.666666667,4,0,0,0
25,5,1,2,6,6,1,5,0.916666667,1,1,0,0.466666667,3.4,1,0.8,0
9,9,1,6,9,36,3,9,2,0,0,0,0.425925926,0,1,1,0
123,15,1,6,19,83,4,15,0.928571429,1,2,0,0.20952381,6.733333333,7,1.4,0
266,30,1,1,34,389,0,29,0.946708464,1,0,0,0.433333333,7.5,3,1.4667,0
115,10,1,4,19,0,2,10,0.694444444,1,3,0,0.35,10.1,5,1.3,0
40,3,1,3,9,3,0,3,2,0,0,0,0.5,12.33333333,5,2,0
130,11,1,8,18,13,7,11,0.775,1,1,0,0.287878788,10.45454545,7,1.3636,0
150,10,1,14,29,21,5,6,0.777777778,1,0,0,0.44,13.6,2,1.2,0
33,3,4,3,10,3,0,3,2,0,0,0.965517241,0.833333333,10,1,0.6667,0
254,13,1,6,35,64,0,13,0.9375,1,0,0,0.259615385,17.92307692,2,1,0
4,1,4,2,2,0,0,1,2,0,0,1,1,3,0,0,0
7,7,1,13,7,21,13,7,2,0,0,0,0.464285714,0,1,1,0
101,9,1,6,15,4,6,9,0.791666667,1,1,0,0.361111111,9.888888889,7,1.5556,0
82,8,1,4,15,6,4,8,0.80952381,1,0,0,0.34375,8.875,6,1.625,0
122,4,2,3,7,4,3,2,0.966666667,0.1,10,0.846153846,0.444444444,27,1,0.5,0
157,5,4,18,41,10,0,4,2,0,0,0.933333333,0.5,30.4,12,3.6,0
5,1,4,1,2,0,1,1,2,0,0,1,1,4,0,0,0
280,14,1,8,42,27,0,13,0.769230769,1,3,0,0.241758242,18.64285714,1,0.8571,0
4,1,4,2,2,0,0,1,2,0,0,1,1,3,0,0,0
1,1,1,3,1,0,2,1,2,0,0,0,1,0,1,1,0
122,8,1,5,14,0,3,8,0.666666667,1,2,0,0.40625,13.875,10,2.125,0
2,2,1,4,2,1,2,2,2,0,0,0,0.666666667,0,1,1,0
138,5,1,11,27,6,0,5,0.75,1,2,0,0.333333333,26.2,11,2.8,0
242,19,1,12,23,137,8,18,0.946296296,1,2,0,0.37037037,10.15789474,1,0.8947,0
1,1,1,4,1,0,1,1,2,0,0,0,1,0,1,1,0
239,18,1,9,38,103,6,15,0.811764706,1,2,0,0.242647059,12,6,1.3333,0
9,9,1,7,9,36,4,9,2,0,0,0,0.285714286,0,1,1,0
103,6,4,11,26,15,0,4,2,0,0,0.918032787,0.5,16.16666667,6,1.6667,0
33,3,2,5,11,3,4,3,2,0,0,0.882352941,0.555555556,10,1,0.6667,0
68,4,2,4,14,4,0,4,0.666666667,1,0,0.8125,0.4375,15.75,4,1.5,0
318,55,1,74,63,1417,71,55,0.98005698,1,5,0,0.113286713,4.309090909,6,1.0909,0
439,23,1,23,66,159,0,21,0.915584416,1,6,0,0.165584416,17.47826087,5,1.2609,0
28,28,1,27,28,378,24,28,2,0,0,0,0.228571429,0,1,1,0
49,4,2,1,10,4,0,4,0.666666667,1,0,0.8125,0.4375,11,3,1.25,0
236,5,3,1,41,2,0,2,0.833333333,1,0,0.888888889,0.35,45.6,2,0.8,0
12,12,1,6,12,66,3,12,2,0,0,0,0.333333333,0,1,1,0
122,16,1,18,23,98,15,16,0.923809524,1,3,0,0.1796875,6.1875,6,1.3125,0
11,3,1,2,5,3,0,3,2,0,0,0,0.5,2.666666667,1,0.6667,0
20,2,1,1,6,1,1,2,2,0,0,0,0.5,9,1,0.5,0
2,2,1,5,2,1,3,2,2,0,0,0,1,0,1,1,0
73,4,2,4,14,4,1,4,0.666666667,1,0,0.8125,0.4375,17,4,1.5,0
153,21,1,4,25,182,4,21,0.95,1,0,0,0.210884354,5.80952381,7,1.2857,0
0,0,1,3,0,0,2,0,2,0,0,0,0,0,0,0,0
161,14,2,4,21,55,2,14,0.846153846,0,0,0.409090909,0.476190476,10.07142857,13,1.7857,0
4,4,1,5,4,6,4,4,2,0,0,0,0.45,0,1,1,0
7,1,1,1,2,0,0,1,2,1,1,0,1,3,0,0,0
14,3,1,3,5,3,0,3,2,0,0,0,0.5,3.666666667,1,0.6667,0
4,1,4,2,2,0,0,1,2,0,0,1,1,3,0,0,0
6,6,1,2,6,15,2,6,2,0,0,0,0.916666667,0,1,1,0
73,3,4,11,21,3,0,3,2,0,0,0.965517241,0.833333333,23.33333333,3,1.3333,0
13,13,1,8,13,78,2,13,2,0,0,0,0.326923077,0,1,1,0
124,12,1,3,22,30,1,12,0.696969697,1,1,0,0.277777778,9.083333333,7,1.4167,0
34,2,4,5,10,1,0,2,2,0,0,0.98245614,0.75,16,1,0.5,0
11,2,2,2,5,1,1,2,2,0,0,0.9375,0.75,4.5,1,0.5,0
3,3,1,6,3,3,6,3,2,0,0,0,0.666666667,0,1,1,0
118,5,1,6,24,8,2,4,0.875,0.5,0,0,0.416666667,21.8,2,1,0
3,3,1,7,3,3,4,3,2,0,0,0,0.583333333,0,1,1,0
21,2,2,3,6,1,2,2,2,0,0,0.9375,0.75,9.5,3,1.5,0
61,7,1,3,11,17,0,6,0.666666667,1,0,0,0.541666667,7.428571429,1,0.7143,0
