sloc,wmc,dit,cbo,rfc,lcom,ca,npm,lcom3,dam,moa,mfa,cam,amc,max_cc,avg_cc,bug
1012,94,1,63,186,4361,28,86,0.967741935,0.8,3,0,0.067131328,9.712765957,2,1.0745,1
485,15,1,11,43,37,3,11,0.980952381,0.133333333,0,0,0.214814815,30.33333333,3,1.1333,1
224,8,2,10,28,0,1,3,0.357142857,1,3,0.684210526,0.371428571,26.5,2,1,1
614,13,1,23,77,48,1,5,0.738095238,1,4,0,0.314814815,45.69230769,8,2.6154,1
147,9,1,20,27,6,1,8,0.416666667,1,3,0,0.265625,15,2,1.1111,1
248,13,2,22,47,44,6,10,0.797619048,0.857142857,3,0.590909091,0.229166667,17.53846154,2,0.8462,1
335,37,3,21,61,598,8,34,0.932539683,1,2,0.375,0.143939394,7.675675676,6,1.2162,1
693,30,1,73,92,429,69,28,0.896551724,1,1,0,0.103448276,22.06666667,8,2.7333,1
401,22,3,20,65,151,5,15,0.846560847,0.777777778,6,0.457142857,0.155844156,16.81818182,10,1.5455,1
993,52,2,36,112,1166,4,38,0.91349481,1,8,0.213114754,0.08875129,17.76923077,7,1.3846,1
1056,47,2,23,100,943,9,38,0.87458194,1,1,0.274193548,0.104859335,21.19148936,6,1.3617,1
43,4,3,11,19,6,3,4,2,0,0,0.97029703,0.4375,9.75,1,0.75,1
175,13,2,12,37,42,4,13,0.611111111,1,1,0.885714286,0.276923077,12.23076923,3,1.1538,1
507,12,1,7,62,28,2,7,0.545454545,1,1,0,0.329545455,41,6,2.3333,1
396,16,4,14,52,72,3,7,0.780952381,0.714285714,2,0.708333333,0.225,23.3125,10,2.3125,1
105,14,1,4,21,91,0,13,0.538461538,1,2,0,0.964285714,6.357142857,2,1,1
212,11,3,8,30,37,1,10,0.525,1,1,0.907407407,0.272727273,17.90909091,6,1.6364,1
82,8,2,8,23,8,2,5,0.285714286,1,0,0.65,0.375,9.125,1,0.875,1
388,8,1,13,64,12,2,2,0.785714286,0.75,2,0,0.321428571,47,11,2.125,1
275,24,2,16,56,218,3,20,0.753623188,1,2,0.808695652,0.284722222,10.20833333,4,1.0417,1
275,17,1,26,45,136,14,16,2,0,0,0,0.303921569,15.17647059,4,1.4706,1
154,14,3,13,32,37,3,14,0.692307692,1,1,0.910714286,0.223214286,9.785714286,1,0.7143,1
244,24,1,11,47,226,1,23,0.850931677,1,1,0,0.154166667,8.875,1,0.9583,1
537,20,2,16,74,68,2,11,0.864661654,0.714285714,3,0.419354839,0.173684211,25.15,12,1.55,1
216,19,1,32,38,139,21,16,0.822222222,1,3,0,0.175438596,10.10526316,5,1.4737,1
14,6,1,6,7,15,1,6,2,0,0,0,0.361111111,1.333333333,1,0.8333,1
405,39,1,23,67,687,13,31,0.897368421,1,7,0,0.13377193,9.128205128,4,1.3846,1
257,17,2,12,45,56,2,11,0.84375,0.8,5,0.464285714,0.1796875,13.52941176,2,1,1
295,8,3,9,50,14,1,5,0.642857143,1,2,0.76,0.285714286,35.625,5,1.375,1
68,5,2,4,14,0,1,5,0.333333333,1,2,0.777777778,0.36,12,3,1.2,1
