sloc,wmc,dit,cbo,rfc,lcom,ca,npm,lcom3,dam,moa,mfa,cam,amc,max_cc,avg_cc,bug
340,10,3,16,42,37,0,5,0.925925926,1,1,0.5,0.366666667,32.4,2,1.1,1
291,10,2,17,38,35,0,7,0.722222222,1,1,0.384615385,0.37037037,27.5,1,0.8,1
364,7,2,15,48,5,2,4,0.9375,0.5,2,0.454545455,0.371428571,49.85714286,2,1,1
144,4,1,9,24,0,1,4,0.5,1,0,0,0.5,34.5,4,1.5,1
104,7,1,4,16,21,2,5,1.166666667,0,0,0,0.238095238,13.71428571,5,1.4286,1
247,3,2,24,43,0,0,3,0.75,1,0,0.714285714,0.428571429,80.66666667,1,0.6667,0
216,3,3,13,30,0,2,3,0.625,1,2,0.818181818,0.444444444,69.66666667,1,0.6667,0
81,14,1,7,19,69,7,14,0.897435897,1,0,0,0.785714286,4.357142857,1,0.9286,0
235,5,3,14,34,2,4,3,0.666666667,1,2,0.692307692,0.333333333,45.4,1,0.8,0
305,8,5,19,43,8,1,8,0.821428571,0.25,0,0.65,0.3,36.625,2,1.125,0
97,3,2,10,14,0,0,3,0,0,0,0.714285714,0.466666667,31,2,1,0
1,1,1,7,1,0,5,1,2,0,0,0,1,0,1,1,0
43,2,5,5,12,1,0,2,2,0,0,0.933333333,0.75,20.5,1,0.5,0
138,5,2,13,28,6,4,3,0.625,1,0,0.555555556,0.48,26.2,1,0.8,0
88,5,4,12,20,6,0,3,0.5,1,0,0.789473684,0.4,16.2,1,0.8,0
62,2,4,5,13,1,0,1,2,0,0,0.9,0.666666667,30,4,2,0
234,3,3,13,33,0,2,3,0.6,1,2,0.818181818,0.444444444,75.33333333,1,0.6667,0
10,2,4,2,4,1,0,1,2,0,0,0.9,0.666666667,4,1,0.5,0
62,2,4,5,13,1,0,1,2,0,0,0.9,0.666666667,30,4,2,0
276,3,5,4,24,3,0,3,2,0,0,0.931034483,0.5,91,1,0.6667,0
45,3,3,11,12,1,2,3,0.75,1,1,0.818181818,0.444444444,13.33333333,1,0.6667,0
23,3,1,5,7,1,1,3,0.5,1,0,0,0.555555556,6.333333333,2,1,0
52,3,1,5,9,1,1,3,0.5,1,0,0,0.555555556,15.66666667,6,2.3333,0
532,17,6,13,62,88,0,9,0.671875,1,0,0.76119403,0.25,30.05882353,17,2.8235,0
215,7,4,5,45,21,3,7,2,0,0,0.9,0.30952381,29.71428571,5,1.7143,0
410,13,6,16,49,38,0,10,0.604166667,1,0,0.80952381,0.213675214,30.23076923,2,1,0
84,3,1,5,13,1,1,3,0.5,1,0,0,0.555555556,26.33333333,9,3.3333,0
90,3,1,4,13,1,0,3,0.5,1,0,0,0.555555556,28.33333333,11,4,0
141,7,2,11,26,0,0,7,0.583333333,0,0,0.454545455,0.485714286,18.85714286,2,1,0
