sloc,wmc,dit,cbo,rfc,lcom,ca,npm,lcom3,dam,moa,mfa,cam,amc,max_cc,avg_cc,bug
8095,205,1,154,583,20326,84,179,0.969309463,0.97826087,7,0,0.068627451,38.26341463,20,2.122,1
179,7,1,6,33,19,3,5,0.666666667,0,0,0,0.444444444,24.42857143,1,0.7143,1
255,20,1,14,44,112,7,10,0.614035088,1,1,0,0.177272727,11.6,3,1.2,1
99,8,2,12,29,26,3,6,0.714285714,1,1,0.142857143,0.238095238,11.25,1,0.75,1
125,7,2,5,18,0,1,7,0,1,0,0.538461538,0.464285714,16.71428571,3,1.8571,1
669,18,4,29,96,85,5,12,0.588235294,1,1,0.861788618,0.205882353,36.05555556,10,2.1111,1
564,35,4,11,78,439,2,35,0.909926471,1,0,0.642105263,0.371428571,14.65714286,3,1.0286,1
4,4,1,12,4,6,11,4,2,0,0,0,0.5,0,1,1,1
936,7,1,10,60,21,2,6,2,0,0,0,0.285714286,132.7142857,11,5.1429,1
451,25,4,12,51,234,2,22,0.875,1,1,0.717647059,0.35,16.6,12,1.48,1
15,2,1,8,5,1,3,2,2,0,0,0,0.625,6.5,1,0.5,1
242,9,2,12,29,30,3,5,0.90625,0.75,3,0.125,0.21875,25.44444444,4,1.1111,1
948,21,1,5,79,58,3,18,0.7,1,0,0,0.292857143,43.95238095,18,2.619,1
691,26,3,32,87,303,19,4,0.933333333,0.666666667,0,0.606557377,0.285,25.46153846,7,2.1923,1
1203,7,2,13,94,0,1,5,0.729166667,1,2,0.739130435,0.357142857,169.7142857,1,0.8571,1
877,3,1,16,65,3,5,2,2,0,0,0,0.416666667,291.3333333,4,1.6667,1
4,1,1,4,2,0,1,0,2,0,0,0,1,3,0,0,0
67,7,4,2,20,21,1,7,2,0,0,0.910447761,0.571428571,8.571428571,2,1,0
483,27,6,14,67,273,1,20,0.730769231,0.666666667,0,0.826666667,0.145061728,16.66666667,8,1.8519,0
9,1,3,5,2,0,1,1,2,0,0,1,1,7,0,0,0
29,5,1,8,9,8,4,3,0.75,1,1,0,0.5,4.6,2,0.8,0
568,18,2,25,85,133,2,6,0.781512605,1,1,0.272727273,0.31372549,30.16666667,11,2.0556,0
29,5,1,5,9,8,1,3,0.75,1,1,0,0.5,4.6,2,0.8,0
22,2,3,5,5,0,1,2,1,0.5,1,0.933333333,0.625,9,1,0.5,0
222,12,1,3,24,0,1,11,0.303030303,1,1,0,0.316666667,17,2,1,0
297,13,1,9,51,24,7,12,0.65,1,0,0,0.346153846,21.46153846,4,1.8462,0
1,1,1,4,1,0,2,1,2,0,0,0,1,0,1,1,0
685,20,2,19,84,88,1,14,0.719298246,1,0,0.672413793,0.166666667,33.1,5,1.75,0
16,3,1,4,4,1,3,2,0,1,0,0,0.666666667,4,1,0.6667,0
27,3,2,3,9,3,1,3,2,0,0,0.777777778,0.833333333,8,1,0.6667,0
610,23,1,16,74,171,7,22,0.828282828,1,2,0,0.147826087,25.13043478,4,1.8261,0
191,13,4,3,34,68,0,12,0.833333333,1,0,0.835616438,0.487179487,13.30769231,3,1.0769,0
15,2,3,3,5,0,1,1,0,1,0,1,1,6,0,0,0
1,1,1,6,1,0,5,1,2,0,0,0,1,0,1,1,0
212,3,1,11,40,1,1,3,0,1,0,0,0.416666667,69.33333333,4,1.6667,0
143,9,1,16,43,36,4,9,2,0,0,0,0.181818182,14.88888889,3,1.6667,0
43,5,2,5,14,10,1,5,2,0,0,0.636363636,0.666666667,7.6,2,1.2,0
14,2,4,4,4,0,2,2,0,1,1,0.944444444,0.75,5.5,1,0.5,0
4,2,1,4,2,1,4,2,2,0,0,0,0.666666667,0,1,1,0
28,3,2,7,8,1,3,2,0.5,1,1,0.857142857,0.583333333,8,1,0.6667,0
957,10,1,26,111,45,5,9,2,0,0,0,0.3,94.7,25,3.7,0
1,1,1,6,1,0,6,1,2,0,0,0,1,0,1,1,0
189,10,2,7,30,25,2,8,0.518518519,1,1,0.703703704,0.55,17.6,2,0.9,0
213,20,2,7,29,154,4,13,0.967418546,0.428571429,2,0.413793103,0.233333333,8.6,4,1.05,0
89,6,1,6,22,0,2,5,0.466666667,1,0,0,0.55,13.33333333,4,1.1667,0
40,6,1,2,9,9,1,6,0.4,1,0,0,0.666666667,5.5,2,1,0
32,3,1,10,4,1,10,1,0.75,0.25,3,0,0.75,8.333333333,1,0.3333,0
67,12,5,3,25,66,0,12,2,0,0,0.917910448,0.472222222,4.583333333,1,0.9167,0
926,28,1,20,83,374,15,25,1.012345679,0.166666667,0,0,0.226337449,31.64285714,22,2.4643,0
14,3,1,1,4,1,1,3,0.5,1,0,0,0.666666667,3.333333333,1,0.6667,0
1207,7,1,6,25,15,6,5,0.5,1,0,0,0.291666667,171.2857143,4,2.4286,0
67,10,1,8,15,29,2,8,0.777777778,1,1,0,0.65,5.3,2,1,0
20,3,1,10,4,0,10,3,0.5,1,1,0,0.555555556,5,1,0.6667,0
27,4,2,6,10,4,1,2,0.666666667,1,1,0.5,0.5,5.5,1,0.5,0
9,1,3,3,2,0,1,1,2,0,0,1,1,7,0,0,0
469,22,1,22,72,121,14,22,0.87755102,1,1,0,0.166666667,20,8,1.8182,0
88,10,1,2,16,23,1,9,0.5,1,1,0,0.433333333,7.2,2,1,0
144,5,2,4,21,0,0,4,0.166666667,1,0,0.636363636,0.533333333,27.2,5,2.4,0
440,14,3,17,65,91,3,7,2,0,0,0.74,0.276785714,30.42857143,1,0.9286,0
121,12,4,7,23,30,0,12,0.8,1,0,0.847222222,0.708333333,8.666666667,1,0.9167,0
152,3,5,13,34,3,2,1,2,0,0,0.977011494,1,49.66666667,1,0.6667,0
1,1,1,22,1,0,22,1,2,0,0,0,1,0,1,1,0
78,3,3,8,15,0,1,3,0.833333333,0.666666667,2,0.875,0.444444444,24,1,0.6667,0
20,3,1,4,4,0,4,3,0.5,1,0,0,0.666666667,5,1,0.6667,0
45,9,1,11,12,28,6,9,0.75,1,1,0,0.333333333,3.777777778,1,0.7778,0
43,7,1,4,13,21,2,7,2,0,0,0,0.761904762,5.142857143,1,0.8571,0
198,8,1,10,27,28,5,4,2,0,0,0,0.71875,23.75,2,1,0
2,2,1,11,2,1,10,2,2,0,0,0,0.75,0,1,1,0
34,4,1,5,9,0,4,4,0.333333333,1,1,0,0.5,7,1,0.75,0
63,4,1,6,10,6,4,4,2,0,0,0,0.333333333,14.75,2,1.25,0
20,11,1,13,12,55,11,10,1,0,1,0,0.52,0.727272727,1,0.9091,0
27,4,2,6,10,4,1,2,0.666666667,1,1,0.5,0.5,5.5,1,0.5,0
228,5,2,9,39,4,2,5,0.666666667,1,2,0.826086957,0.6,44,1,0.8,0
67,11,1,3,19,1,2,11,0.45,1,1,0,0.318181818,4.909090909,1,0.9091,0
28,6,1,8,7,7,5,6,0.7,1,1,0,0.444444444,3.333333333,1,0.8333,0
8,2,1,6,4,1,3,2,2,0,0,0,0.625,3,1,0.5,0
205,16,1,10,51,70,2,11,0.5,1,0,0,0.28125,11.6875,5,1.4375,0
243,22,4,7,36,161,0,22,0.895238095,1,0,0.743902439,0.363636364,9.590909091,1,0.9545,0
40,7,1,9,12,0,7,7,0.5,1,1,0,0.428571429,4.428571429,1,0.8571,0
58,4,1,6,17,0,4,2,0.666666667,0.5,1,0,0.833333333,13,2,0.75,0
43,2,1,4,9,1,1,2,2,0,0,0,0.5,20.5,7,3.5,0
150,12,2,9,21,34,4,12,0.772727273,1,2,0.473684211,0.316666667,10.83333333,2,0.9167,0
21,4,2,5,6,4,1,2,0.666666667,1,1,0.5,0.5,4,1,0.5,0
77,11,1,16,16,31,14,8,0.8,0.833333333,3,0,0.26,5.454545455,1,0.8182,0
2,2,1,15,2,1,15,2,2,0,0,0,1,0,1,1,0
108,5,6,8,31,4,0,5,0.5,1,0,0.956043956,0.466666667,20.4,2,1,0
620,37,4,17,91,506,0,31,0.905555556,1,0,0.628865979,0.412162162,15.35135135,1,0.973,0
380,13,6,17,61,72,1,11,0.666666667,1,0,0.920289855,0.207692308,28.15384615,5,1.3846,0
10,2,2,3,4,1,1,2,2,0,0,0.833333333,0.666666667,4,1,0.5,0
206,13,2,10,33,52,6,13,0.333333333,1,2,0.45,0.282051282,14.69230769,5,1.1538,0
1,1,1,6,1,0,4,1,2,0,0,0,1,0,1,1,0
127,15,1,14,20,49,12,15,0.765306122,1,2,0,0.26,7,1,0.7333,0
489,5,1,10,48,10,1,4,2,0,0,0,0.314285714,96.8,13,3.4,0
20,20,1,37,20,190,32,20,2,0,0,0,0.3625,0,1,1,0
180,6,1,6,38,13,2,5,0.2,1,0,0,0.666666667,28.83333333,1,0.6667,0
110,8,5,6,28,0,0,8,0.619047619,1,0,0.923913043,0.458333333,12.375,1,0.875,0
41,5,1,11,11,0,9,5,0.375,1,1,0,0.466666667,6.8,1,0.8,0
1,1,1,6,1,0,4,1,2,0,0,0,1,0,1,1,0
29,5,1,5,9,8,1,3,0.75,1,1,0,0.5,4.6,2,0.8,0
347,12,1,17,58,66,12,11,1.090909091,1,0,0,0.183333333,27.83333333,4,1.5833,0
31,4,1,4,7,0,1,4,0.333333333,1,2,0,0.4375,6.25,2,1,0
83,10,2,5,21,0,4,9,0,1,1,0.968253968,0.5,7.2,1,0.2,0
76,6,2,5,13,0,3,6,0.2,1,0,0.6,0.458333333,11.5,7,1.6667,0
31,5,2,4,9,10,3,5,2,0,0,0.75,0.5,5.2,1,0.6,0
21,4,3,2,8,6,2,4,1.333333333,1,0,1,0.666666667,4,0,0,0
660,32,4,15,86,348,0,27,0.888337469,1,0,0.663043478,0.35,19.21875,1,0.9688,0
78,5,5,4,18,8,1,4,0.5,1,0,0.976190476,0.625,14.2,3,1,0
162,13,1,21,33,44,17,6,0.555555556,1,1,0,0.188034188,11.23076923,5,1.2308,0
127,9,2,11,28,22,4,7,0.5,1,1,0.125,0.25,12.88888889,2,1,0
102,2,4,2,18,0,1,2,0,1,0,0.983870968,0.666666667,49,3,1.5,0
101,3,1,11,22,3,0,3,2,0,0,0,0.416666667,32.66666667,2,1.3333,0
75,5,1,14,21,0,11,5,0,1,0,0,0.4,13.8,2,1,0
155,3,1,8,20,1,2,3,0,1,0,0,0.444444444,50,4,2,0
107,11,1,11,24,17,7,10,0.54,1,0,0,0.393939394,8.272727273,2,1.1818,0
59,2,1,9,12,1,1,1,2,0,0,0,0.5,28.5,1,0.5,0
335,8,2,15,52,16,1,5,0.666666667,1,1,0.730769231,0.46875,40.5,2,1,0
60,9,1,4,11,28,3,9,0.875,1,2,0,0.481481481,5.222222222,2,1.1111,0
223,3,1,5,31,3,1,3,2,0,0,0,0.555555556,73.33333333,8,5.3333,0
201,3,1,13,23,0,4,2,1,1,3,0,0.583333333,64,6,3.3333,0
1,1,1,8,1,0,6,1,2,0,0,0,1,0,1,1,0
95,11,5,6,28,49,2,10,0.8,1,0,0.92481203,0.431818182,7.545454545,2,1.0909,0
145,7,4,7,26,0,0,7,0.611111111,1,0,0.910447761,0.357142857,19.28571429,1,0.8571,0
141,8,1,9,21,28,4,8,2,0,0,0,0.3125,16.625,6,2.75,0
558,22,4,9,54,149,0,18,0.851190476,1,0,0.743902439,0.53030303,24,13,2.0455,0
7,2,1,24,2,1,23,2,2,0,0,0,0.75,0,1,1,0
190,4,4,9,37,0,0,4,0,1,0,0.953125,0.625,46.25,1,0.75,0
38,3,2,7,10,0,2,2,0.5,1,2,0.857142857,0.466666667,11,1,0.6667,0
65,9,1,6,18,0,2,9,0.5,0.5,2,0,0.407407407,6,1,0.8889,0
17,3,6,3,7,3,0,3,2,0,0,0.985185185,1,4.666666667,1,0.6667,0
311,19,2,7,45,129,3,15,0.817460317,1,0,0.513513514,0.315789474,15,8,1.4211,0
22,3,1,2,5,0,1,3,0,1,1,0,0.555555556,6,2,1,0
60,3,1,4,13,0,1,3,0.5,1,4,0,0.666666667,17.66666667,3,1.3333,0
508,40,1,28,80,726,4,30,0.829059829,1,3,0,0.1078125,11.475,6,1.5,0
8,8,1,52,8,28,49,8,2,0,0,0,1,0,1,1,0
42,6,1,6,11,13,2,4,0.8,1,1,0,0.6,5.833333333,3,1.1667,0
548,20,2,102,55,174,99,20,0.729323308,1,1,0.36,0.283333333,26.05,10,2,0
242,13,3,12,26,48,10,12,0.633333333,1,1,0.545454545,0.222222222,17.23076923,6,1.5385,0
172,16,4,7,26,68,0,16,0.847619048,1,0,0.802631579,0.71875,9.3125,1,0.9375,0
217,15,2,11,39,0,1,15,0.547619048,1,2,0.735849057,0.222222222,13.26666667,3,1.2,0
382,21,1,72,47,168,70,19,0.95,0.5,0,0,0.1375,16.71428571,8,1.8571,0
85,12,1,8,19,44,4,12,0.833333333,1,3,0,0.236111111,5.583333333,2,1,0
25,23,1,63,23,253,55,23,1.045454545,0,0,0,0.168478261,0,1,1,0
413,17,4,15,78,84,0,15,0.8515625,1,0,0.792207792,0.254901961,22.82352941,6,1.2353,0
542,25,3,15,85,210,1,10,0.75,1,0,0.783018868,0.192307692,20.52,6,1.6,0
349,11,1,11,51,37,4,5,0.566666667,1,1,0,0.383333333,30.45454545,8,1.8182,0
53,10,1,2,12,25,1,10,0.805555556,1,0,0,0.7,3.9,1,0.9,0
35,4,1,2,6,0,1,4,0.333333333,1,2,0,0.5,7.25,3,1.25,0
214,10,2,10,41,15,0,8,0.694444444,1,0,0.5,0.4,20,7,1.6,0
37,2,3,8,7,0,1,2,1,0.5,1,0.933333333,0.6,16.5,1,0.5,0
207,14,1,10,34,65,1,13,0.355769231,1,0,0,0.404761905,13.21428571,3,1.1429,0
274,7,1,3,33,17,2,4,0.666666667,1,0,0,0.375,37.85714286,4,1.2857,0
149,15,1,16,29,81,14,11,0.836734694,1,2,0,0.193877551,8.466666667,2,1.2,0
61,6,6,3,20,15,0,6,2,0,0,0.963768116,0.833333333,9.166666667,3,1.1667,0
265,16,4,8,37,86,0,16,0.857142857,1,0,0.802631579,0.359375,15.125,1,0.9375,0
267,13,2,10,50,46,0,10,0.783333333,1,0,0.428571429,0.323076923,19.15384615,8,1.5385,0
20,4,4,2,8,6,2,4,2,0,0,1,0.666666667,4,0,0,0
6,6,1,4,6,15,4,6,2,0,0,0,0.75,0,1,1,0
214,15,1,8,36,35,2,15,0.666666667,1,3,0,0.25,12.86666667,3,1.0667,0
