sloc,wmc,dit,cbo,rfc,lcom,ca,npm,lcom3,dam,moa,mfa,cam,amc,max_cc,avg_cc,bug
561,22,6,23,115,167,10,11,0.813852814,1,4,0.971385542,0.188311688,24,8,1.3636,1
687,18,1,16,55,0,11,13,0.647058824,1,0,0,0.426470588,36.88888889,12,2.5,1
12,2,1,4,4,1,0,2,2,0,0,0,0.75,5,1,0.5,1
4045,119,1,90,279,5913,72,97,0.886101695,0.84,8,0,0.103641457,32.78151261,17,2.9076,1
3081,90,6,234,339,3509,207,65,0.969731713,0.551020408,12,0.878746594,0.069082126,32.68888889,10,2.7667,1
1783,39,5,79,244,231,46,30,0.702631579,1,8,0.945007236,0.118343195,44.46153846,27,4.0513,1
12,2,1,4,4,1,0,2,2,0,0,0,0.75,5,1,0.5,1
956,55,4,31,132,1121,23,52,0.969907407,0.15,6,0.924177396,0.121082621,15.65454545,9,1.5091,1
12,2,1,4,4,1,0,2,2,0,0,0,0.75,5,1,0.5,1
377,12,5,18,61,36,6,3,0.690909091,1,1,0.983433735,0.3,30,6,1.5,1
12,2,1,4,4,1,0,2,2,0,0,0,0.75,5,1,0.5,1
113,2,3,9,16,1,1,2,2,0,0,0.933333333,0.583333333,55.5,9,4.5,0
82,4,3,1,8,4,1,4,1,0,0,0.857142857,0.35,18.5,1,0.75,0
464,6,6,4,36,1,1,1,0.8875,0.6875,0,0.992581602,0.5,73.66666667,7,2.1667,0
213,4,1,26,29,6,25,3,2,0,0,0,0.291666667,52.25,15,4.75,0
26,5,2,22,6,10,17,5,2,0,0,0.636363636,0.9,4.2,1,0.8,0
34,5,1,14,13,10,4,5,1,1,1,0,0.292307692,5.6,1,0.8,0
1243,51,4,22,125,1041,10,41,0.948333333,0.833333333,6,0.92816092,0.100490196,22.66666667,30,2.1569,0
53,2,2,11,11,1,5,1,2,0,0,0.944444444,0.625,25.5,1,0.5,0
2699,89,2,141,269,3550,119,66,0.961229947,0.588235294,2,0.570731707,0.103620474,28.94382022,35,3.2135,0
32,2,2,7,7,1,1,1,2,0,0,0.944444444,0.625,15,1,0.5,0
54,4,1,2,15,0,1,3,0.333333333,1,0,0,0.75,12.25,4,1.5,0
50,9,1,16,14,28,16,8,0.916666667,0.333333333,1,0,0.296296296,4.222222222,3,1.1111,0
173,11,4,0,26,55,0,11,1.1,1,0,0.886075949,0.257575758,14.63636364,4,1.4545,0
62,7,1,8,15,1,4,7,0.416666667,1,0,0,0.523809524,7.571428571,3,1.2857,0
8,8,1,6,8,28,6,8,2,0,0,0,0.325,0,1,1,0
49,4,1,4,9,0,4,3,0.555555556,1,0,0,0.555555556,10.5,2,0.75,0
601,9,2,16,56,24,6,3,1.0625,0.3,3,0.428571429,0.174603175,63.55555556,1,0.8889,0
84,18,2,6,36,153,1,18,1.058823529,0,0,0.5,0.268518519,3.611111111,1,0.9444,0
3,3,1,7,3,3,5,3,2,0,0,0,0.5,0,1,1,0
2003,22,1,34,114,219,1,6,0.962406015,0,5,0,0.159090909,89.18181818,18,5.4545,0
5,5,1,7,5,10,7,5,2,0,0,0,1,0,1,1,0
37,4,1,3,12,0,1,4,0,1,0,0,0.5,8,1,0.75,0
26,4,2,4,6,2,1,4,0.666666667,1,0,0.5,0.4375,5,1,0.75,0
160,8,1,16,17,22,16,4,1,0,0,0,0.5,18.5,8,2.125,0
16,1,1,12,2,0,10,1,2,0,1,0,1,12,0,0,0
12,5,1,3,6,10,1,5,2,0,0,0,0.733333333,1.4,1,0.8,0
301,5,2,4,25,2,1,4,0.416666667,1,0,0.25,0.44,58.6,28,6.4,0
962,43,1,52,116,805,40,35,0.977513228,0.277777778,0,0,0.215873016,20.95348837,7,1.4884,0
14,2,2,1,4,1,0,1,2,0,0,0.8,0.666666667,6,1,0.5,0
23,3,1,4,4,3,4,3,1.4375,0,2,0,0.5,4,2,1,0
105,4,1,3,22,6,2,2,2,0,0,0,0.666666667,25.25,4,2,0
709,17,1,5,27,10,1,15,0.6796875,1,1,0,0.388235294,40.23529412,17,3.5294,0
120,6,1,3,20,0,3,4,0.6,0.666666667,1,0,0.416666667,18.5,3,1.6667,0
1888,75,1,58,156,2419,46,49,0.912483912,0.666666667,5,0,0.106821107,23.89333333,6,1.72,0
438,5,7,11,57,0,2,2,0,1,1,0.995061728,0.44,86.4,21,8.4,0
1844,59,1,73,163,1389,60,47,0.800862069,0.25,5,0,0.117647059,29.91525424,25,1.4915,0
828,7,3,16,73,1,1,2,2,0,0,0.7,0.238095238,117.2857143,6,1.5714,0
405,4,3,10,43,4,1,2,2,0,0,0.823529412,0.375,100.25,26,7.75,0
13,13,1,2,13,78,2,13,2,0,0,0,0.430769231,0,1,1,0
721,14,1,9,63,0,4,1,0.269230769,0.5,1,0,0.30952381,50.35714286,19,4.1429,0
590,17,5,28,105,100,17,2,0.909722222,1,3,0.976083707,0.215686275,33.17647059,2,1,0
318,4,1,7,54,4,1,3,1,1,0,0,0.5,77.75,9,4.5,0
496,25,1,9,60,62,6,19,0.729166667,1,1,0,0.205714286,18.6,6,1.92,0
401,19,1,17,56,157,2,7,0.977777778,1,2,0,0.342105263,19.57894737,12,2.8947,0
322,22,1,24,47,231,19,18,1,0,1,0,0.227272727,13.59090909,5,1.6818,0
529,33,1,47,67,444,41,31,0.929166667,0.2,0,0,0.215909091,14.57575758,9,1.8182,0
485,16,1,167,55,58,166,8,0.873684211,0.631578947,1,0,0.161904762,28.125,7,2.3125,0
15,4,1,3,5,6,1,3,1,0,1,0,0.533333333,2.5,1,0.5,0
281,13,2,5,35,6,3,9,0.333333333,1,0,0.571428571,0.564102564,20.53846154,4,1.8462,0
16,3,1,13,4,3,12,2,1,0,2,0,0.666666667,3.666666667,1,0.6667,0
220,7,7,7,41,21,3,6,2,0,0,0.995447648,0.5,30.42857143,1,0.4286,0
79,2,2,10,7,1,1,1,1,0,0,0.944444444,0.625,38,1,0.5,0
23,1,5,10,10,0,1,1,2,0,0,1,1,22,0,0,0
12,2,1,3,3,0,1,2,0,1,1,0,0.75,4.5,1,0.5,0
148,2,5,4,24,0,2,0,0.333333333,1,1,0.998470948,0.75,71.5,4,2,0
221,5,2,12,35,6,1,1,0.625,0,0,0.80952381,0.4,42.8,1,0.8,0
2,2,1,5,2,1,5,2,2,0,0,0,1,0,1,1,0
121,8,6,6,31,20,3,1,0.761904762,0.666666667,1,0.991111111,0.428571429,13.75,1,0.75,0
128,5,2,11,10,2,5,3,0.625,0.25,0,0.80952381,0.44,23.8,3,1.6,0
596,21,5,20,99,130,6,5,0.816666667,1,3,0.971181556,0.323809524,26.66666667,10,1.7143,0
378,8,1,15,43,14,6,7,0.821428571,1,1,0,0.357142857,45.75,16,2.875,0
218,10,1,28,37,45,26,9,2,0,0,0,0.17,20.8,9,2.5,0
525,12,2,5,72,0,1,11,0.563636364,1,1,0.266666667,0.285714286,42.33333333,6,2.5833,0
115,13,2,1,20,30,1,9,0.805555556,1,0,0.571428571,0.269230769,7.384615385,2,1.0769,0
411,22,1,21,52,201,15,19,0.947619048,0.9,1,0,0.2,17.22727273,6,1.9545,0
411,21,1,30,67,0,15,18,0.5,1,1,0,0.2875,18.47619048,6,1.3333,0
155,5,2,7,22,4,1,2,0.5,0,0,0.80952381,0.366666667,29.8,10,4,0
55,2,1,2,4,1,2,2,2,0,0,0,0.5,26.5,5,2.5,0
239,4,1,5,8,2,4,1,1,0.2,3,0,0.5,56.25,6,3.25,0
3,3,1,28,3,3,28,3,2,0,0,0,1,0,1,1,0
388,8,2,11,55,12,4,4,0.771428571,1,0,0.897058824,0.3125,46.875,15,2.875,0
2,2,1,6,2,1,6,2,2,0,0,0,1,0,1,1,0
421,10,1,10,44,23,7,10,0.805555556,1,1,0,0.257142857,40.7,13,2.9,0
119,4,2,15,22,6,2,1,2,0,0,0.85,0.4375,28.75,1,0.75,0
3,3,1,5,3,3,5,3,2,0,0,0,0.666666667,0,1,1,0
2224,17,1,3,82,106,0,13,0.5625,1,0,0,0.18487395,129.5882353,46,8,0
113,6,2,14,16,15,3,2,1,0,1,0.772727273,0.466666667,17.66666667,2,1,0
104,9,1,4,13,0,4,8,0.725,0.2,0,0,0.35,10,3,0.7778,0
5,5,1,11,5,10,11,5,2,0,0,0,0.666666667,0,1,1,0
88,8,1,12,16,12,6,7,0.75,0.5,0,0,0.285714286,9.5,2,1.125,0
5,1,3,2,2,0,2,1,2,0,0,1,1,4,0,0,0
2302,39,1,49,181,469,34,26,0.805555556,1,4,0,0.150641026,57.56410256,17,3.1795,0
191,3,1,13,38,3,4,3,2,0,0,0,0.666666667,62.66666667,9,3.3333,0
203,5,1,10,37,0,3,1,0.5,0,0,0,0.36,39.2,1,0.8,0
37,4,2,10,8,4,4,2,0.666666667,0,0,0.85,0.5,8,2,1,0
1482,41,1,25,120,820,15,14,2,0,0,0,0.142276423,35.14634146,7,1.7073,0
12,2,1,4,4,1,0,2,2,0,0,0,0.75,5,1,0.5,0
557,14,6,7,56,51,2,1,0.890688259,1,0,0.980938416,0.5,37.42857143,5,1.4286,0
419,8,5,5,33,0,4,8,0.571428571,1,0,0.989393939,0.625,51,12,3.375,0
1257,23,1,6,57,41,2,7,0.935992579,0.306122449,10,0,0.222727273,51.52173913,12,3.0435,0
564,15,5,27,107,67,17,2,0.907142857,0.8,4,0.98048048,0.183673469,35.93333333,3,1.0667,0
290,6,1,6,48,0,0,4,0.3,1,0,0,0.2,47,8,3.1667,0
557,16,6,10,72,74,2,1,0.833333333,1,6,0.978070175,0.375,33.1875,8,1.9375,0
1,1,1,3,1,0,3,1,2,0,0,0,1,0,1,1,0
12535,351,1,51,443,41713,1,88,0.602857143,0.538461538,8,0,0.126305793,34.67521368,18,2.8091,0
294,3,2,12,20,3,1,1,1,0,0,0.894736842,0.533333333,96.66666667,1,0.6667,0
16,3,7,2,6,3,0,1,2,0,0,0.997088792,0.666666667,4.333333333,1,0.6667,0
86,4,2,4,17,6,2,4,2,0,0,0.928571429,0.6,20.5,2,1,0
333,7,1,0,48,21,0,3,2,0,0,0,0.285714286,46.57142857,3,1.2857,0
5,1,2,18,2,0,16,1,2,0,0,1,1,4,0,0,0
507,17,5,25,39,102,23,14,0.734375,1,0,0.976083707,0.470588235,28.58823529,3,1.2353,0
707,18,1,13,94,39,4,9,0.705882353,0.875,0,0,0.111111111,37.83333333,14,2.5556,0
24,3,1,3,8,0,3,3,0,0,0,0,0.666666667,6.666666667,1,0.6667,0
97,3,2,6,16,1,1,3,0.5,1,0,0.666666667,0.428571429,31,8,3.3333,0
109,5,2,4,17,0,1,4,0.416666667,1,2,0.5,0.4,20.2,4,1.6,0
105,8,6,9,26,16,8,5,0.285714286,1,0,0.9921875,0.35,12,2,1,0
157,3,1,10,29,3,2,3,2,0,0,0,0.666666667,51.33333333,10,3.6667,0
159,7,1,8,31,19,3,5,0.833333333,0,0,0,0.208333333,21.57142857,5,1.8571,0
1802,44,1,49,156,632,15,32,0.773784355,1,4,0,0.104651163,39.70454545,30,3.25,0
551,11,1,10,47,41,5,9,0.7,0.5,0,0,0.1375,48.36363636,25,5.8182,0
427,6,2,20,46,15,2,1,1.114285714,0,0,0.772727273,0.619047619,69,1,0.8333,0
28,4,1,21,5,0,21,4,0.666666667,1,0,0,0.5,5.25,1,0.75,0
672,11,6,11,70,47,3,8,0.911111111,1,11,0.985272459,0.272727273,57.63636364,3,1.3636,0
191,10,1,19,38,0,15,8,0.222222222,1,0,0,0.203703704,18,3,1.3,0
466,9,1,20,43,0,12,3,0.798076923,0,1,0,0.365079365,49.33333333,4,0.6667,0
5,1,2,5,2,0,3,1,2,0,0,1,1,4,0,0,0
32,3,2,4,6,0,1,2,0.5,0.5,1,0.75,0.666666667,9,1,0.3333,0
4,4,1,1,4,6,1,4,2,0,0,0,1,0,1,1,0
589,34,1,21,70,507,14,20,0.868686869,1,1,0,0.127272727,16.05882353,5,1.5882,0
75,6,1,2,13,0,2,6,0,1,0,0,0.5,11.33333333,2,1,0
5,1,2,3,2,0,1,1,2,0,0,1,1,4,0,0,0
698,31,5,79,111,273,62,29,0.95,0.25,1,0.967948718,0.189516129,21.38709677,8,2.4516,0
1,1,1,48,1,0,48,1,2,0,0,0,1,0,1,1,0
403,23,6,29,73,201,21,7,0.870629371,0.923076923,5,0.967016492,0.173913043,15.95652174,6,1.5652,0
3,3,1,7,3,3,6,3,2,0,0,0,0.888888889,0,1,1,0
182,12,1,10,24,26,5,7,0.75,0,2,0,0.333333333,13.5,3,0.8333,0
81,3,2,11,10,3,4,2,2,0,0,0.894736842,0.533333333,26,1,0.6667,0
99,10,2,11,24,45,4,7,2,0,0,0.8875,0.328571429,8.9,2,1.1,0
4,4,1,5,4,6,4,4,2,0,0,0,0.833333333,0,1,1,0
1,1,1,8,1,0,7,1,2,0,0,0,1,0,1,1,0
83,4,2,4,6,0,4,3,2,0,0,0.842105263,0.5625,19.75,3,1.25,0
130,7,4,4,25,19,2,4,0.333333333,0,1,0.953488372,0.326530612,17.42857143,1,0.5714,0
2,2,1,9,2,1,9,2,2,0,0,0,0.75,0,1,1,0
12,2,1,4,4,1,0,2,2,0,0,0,0.75,5,1,0.5,0
57,2,1,4,9,1,1,2,2,0,0,0,0.625,27.5,7,3.5,0
79,4,2,7,21,0,2,3,0,1,0,0.7,0.5,18.5,3,1.25,0
1,1,1,5,1,0,5,1,2,0,0,0,1,0,1,1,0
559,21,1,10,36,96,5,14,0.754166667,1,8,0,0.204081633,25.04761905,8,2.5714,0
82,4,5,9,23,0,6,2,0.5,1,1,0.995856354,0.416666667,19,2,1,0
11,2,1,4,4,1,0,2,2,0,0,0,0.75,4.5,1,0.5,0
190,4,2,12,24,6,3,2,2,0,0,0.85,0.625,46.5,1,0.75,0
172,3,2,9,26,0,1,2,0,1,1,0.888888889,1,56,7,3.3333,0
2,2,1,8,2,1,4,2,2,0,0,0,0.625,0,1,1,0
212,8,7,12,41,22,2,7,0.542857143,1,3,0.994206257,0.46875,24.875,8,1.5,0
68,6,2,8,15,5,7,5,0.866666667,0.333333333,0,0.428571429,0.4,9.333333333,1,0.6667,0
930,8,1,15,76,0,3,2,0.745341615,1,4,0,0.296703297,112.375,16,3.5,0
254,10,6,7,47,19,4,4,0.592592593,1,1,0.987860395,0.271428571,23.8,4,1.3,0
294,10,2,11,38,13,4,9,0.694444444,0.75,1,0.829787234,0.377777778,28,3,1.6,0
12,2,1,4,4,1,0,2,2,0,0,0,0.75,5,1,0.5,0
193,6,1,6,26,15,6,6,2,0,0,0,0.233333333,31.16666667,5,2.3333,0
133,5,1,2,17,4,1,3,0.5,1,0,0,0.433333333,24.8,3,2,0
32,2,2,6,9,1,1,1,1,1,0,0.954545455,0.75,14.5,2,1,0
360,16,1,17,39,74,4,7,0.85,1,3,0,0.266666667,21.25,3,1,0
2017,70,1,77,187,2409,64,65,0.996376812,0,1,0,0.05736715,27.7,21,3.1286,0
445,12,5,16,73,6,2,6,0.618181818,1,4,0.983433735,0.25,35.66666667,11,2.5,0
136,2,2,12,10,1,1,1,1.125,0.625,4,0.944444444,0.625,63,1,0.5,0
72,2,1,27,4,1,26,1,1,0,0,0,1,24,0,0,0
1,1,1,4,1,0,4,1,2,0,0,0,1,0,1,1,0
1283,31,1,3,44,139,3,25,0.470588235,0.705882353,0,0,0.301075269,39.83870968,7,1.4516,0
9460,262,4,81,540,19801,54,218,0.935644157,0.625,12,0.713024283,0.06248158,34.86259542,29,3.458,0
135,13,3,17,28,52,15,13,0.8,1,1,0.764705882,0.261538462,9,5,1.6923,0
10,4,1,9,5,6,5,4,2,0,0,0,0.4375,1.5,1,0.75,0
403,10,7,10,69,19,4,3,0.740740741,1,2,0.986466165,0.26,38.7,4,1.7,0
61,3,2,11,14,3,3,2,1,0,0,0.894736842,0.466666667,19,1,0.6667,0
749,24,1,1,41,198,1,18,0.824275362,0.166666667,9,0,0.149758454,29.20833333,13,2.5833,0
35,4,2,6,12,0,2,4,0,1,0,0.5,0.5,7.5,1,0.75,0
523,5,6,6,42,0,1,3,0.727272727,1,10,0.994056464,0.5,99.2,3,1.4,0
552,19,2,13,47,79,5,17,0.638888889,0.75,1,0.470588235,0.378947368,27.84210526,6,2.1053,0
31,2,4,5,10,0,1,2,0,1,1,0.857142857,0.666666667,14,1,0.5,0
52,3,2,7,10,3,2,2,2,0,0,0.714285714,0.555555556,16.33333333,3,1.3333,0
12,2,1,4,4,1,0,2,2,0,0,0,0.75,5,1,0.5,0
46,4,1,3,12,0,2,4,0,1,0,0,0.5,10.25,1,0.75,0
923,15,1,3,30,79,1,14,0.795238095,0.666666667,4,0,0.25,59.53333333,12,2.7333,0
42,5,1,3,12,8,1,4,0.75,0,0,0,0.25,7.2,1,0.6,0
2884,32,1,6,53,0,2,17,0.853046595,0.925925926,13,0,0.204301075,88.28125,40,6.5,0
541,11,2,7,38,23,1,7,0.8,1,4,0.62962963,0.285714286,46.09090909,12,3.4545,0
657,12,6,9,72,32,3,1,0.843434343,1,9,0.983823529,0.5,52.25,7,1.6667,0
216,12,3,57,25,14,56,9,0.606060606,0,2,0.607142857,0.395833333,16.75,3,1.6667,0
1240,27,1,20,65,65,9,0,0.683760684,1,4,0,0.25462963,44.59259259,24,3.7407,0
75,8,1,5,10,4,5,8,0.5,1,0,0,0.75,8.125,2,0.875,0
47,4,2,9,9,4,3,2,1,0,0,0.894736842,0.6,10,2,0.75,0
177,6,8,10,26,13,1,4,0.8,1,1,0.997028232,0.5,28.33333333,7,1.3333,0
665,21,2,19,87,208,10,20,1,0.5,0,0.672413793,0.344444444,30.57142857,8,2.8095,0
1,1,1,3,1,0,3,1,2,0,0,0,1,0,1,1,0
119,3,1,11,21,3,1,1,2,0,0,0,0.555555556,38.66666667,16,6,0
8,2,2,4,4,1,2,2,2,0,0,0.75,0.75,3,1,0.5,0
139,6,5,11,30,5,4,1,0.7,1,3,0.992401216,0.388888889,21.5,2,1,0
12,2,1,4,4,1,0,2,2,0,0,0,0.75,5,1,0.5,0
248,7,1,8,29,0,2,0,0,1,0,0,0.404761905,34.28571429,3,2.2857,0
101,3,1,8,23,3,1,3,2,0,0,0,0.666666667,32.66666667,5,2,0
300,23,2,3,51,195,3,13,0.809090909,1,0,0.24137931,0.166007905,11.82608696,7,1.5652,0
232,12,1,16,39,20,11,1,0.666666667,1,0,0,0.202380952,18.08333333,8,2,0
94,4,2,4,17,4,1,4,0.5,0,0,0.769230769,0.4,22,4,1.5,0
86,3,2,5,13,3,1,2,2,0,0,0.909090909,0.833333333,27.66666667,4,2.3333,0
203,5,6,7,34,2,3,1,0.8,1,2,0.99389313,0.35,38.6,1,0.8,0
113,7,1,9,29,21,5,7,1.166666667,1,0,0,0.25,15,3,1.2857,0
7,7,1,40,7,21,40,7,2,0,0,0,0.523809524,0,1,1,0
5209,118,1,1,180,6075,0,27,0.921125975,0.717391304,1,0,0.138067061,42.36440678,9,1.5678,0
5,1,4,3,2,0,2,1,2,0,0,1,1,4,0,0,0
261,13,1,7,33,26,5,12,0.604166667,1,0,0,0.252747253,18.76923077,7,1.4615,0
94,5,2,12,13,0,2,4,0.666666667,0,4,0.733333333,0.28,16.6,2,1,0
87,9,1,7,21,0,5,7,0.5,1,0,0,0.240740741,8.444444444,3,1,0
312,5,7,9,64,6,3,3,0.75,1,0,0.993939394,0.3,61,1,0.8,0
148,10,2,3,21,15,2,7,0.444444444,0,0,0.666666667,0.36,13.7,4,1.9,0
427,7,4,3,64,5,1,5,0.794871795,1,0,0.990797546,0.464285714,58.14285714,3,1.2857,0
675,12,1,12,66,0,1,8,0.519480519,1,3,0,0.5,54.66666667,15,4.9167,0
610,7,5,16,56,7,6,2,0.625,1,1,0.991678225,0.314285714,85.57142857,5,1.7143,0
82,4,1,4,19,4,1,3,0.666666667,1,0,0,0.333333333,19.25,7,3.25,0
695,22,7,8,85,187,4,3,0.761904762,1,1,0.97473997,0.174603175,30.04545455,5,1,0
437,7,1,1,19,1,1,6,0.75,0.5,0,0,0.5,60,6,3,0
229,3,6,3,23,1,0,1,0.5,1,1,0.997019374,1,72.33333333,1,0.6667,0
400,14,2,10,33,29,6,12,0.721153846,1,1,0.824324324,0.224489796,27,3,1.2143,0
