sloc,wmc,dit,cbo,rfc,lcom,ca,npm,lcom3,dam,moa,mfa,cam,amc,max_cc,avg_cc,bug
609,7,2,10,57,9,0,2,0.848484848,1,10,0.625,0.4,84.42857143,40,6.4286,1
220,2,4,4,17,0,1,2,0,1,1,0.983870968,0.75,105.5,1,0.5,1
138,1,4,4,10,0,1,1,2,1,2,1,1,129,0,0,1
139,2,4,3,23,0,1,2,0.2,1,2,0.983870968,0.75,66,1,0.5,1
24,1,4,1,5,0,1,1,2,0,0,1,1,23,0,0,1
132,5,4,3,19,0,1,5,0.5,0,1,0.938461538,0.45,25,1,0.8,1
170,54,1,13,56,1411,4,54,0.924528302,0,1,0,0.140432099,2.12962963,2,0.9815,0
42,1,4,1,6,0,1,1,2,0,0,1,1,41,0,0,0
16,2,2,3,5,1,0,2,1,0,0,1,0.75,6.5,0,0,0
232,5,1,10,31,0,3,5,0,1,0,0,0.366666667,45.2,1,0.6,0
45,2,4,1,10,0,1,2,0,1,0,0.983870968,0.75,21,1,0.5,0
98,7,2,4,10,1,2,7,0.416666667,0,1,0.545454545,0.571428571,12.71428571,2,0.8571,0
266,6,3,17,35,15,6,6,2,0,0,0.902439024,0.444444444,43.33333333,3,1,0
152,8,2,12,25,0,6,7,0.428571429,0.2,2,0.807692308,0.285714286,17.375,1,0.625,0
98,7,2,4,9,1,2,7,0.416666667,0,1,0.545454545,0.571428571,12.71428571,2,0.8571,0
302,6,2,14,26,0,6,6,0,1,0,0.84,0.416666667,49.16666667,1,0.6667,0
55,2,3,1,12,1,1,1,2,0,0,0.978723404,0.75,26.5,1,0.5,0
216,69,1,25,70,2326,2,67,0.965686275,0,0,0,0.105263158,2.086956522,2,0.9855,0
148,6,1,3,18,0,1,6,0.633333333,1,1,0,0.5,22.66666667,1,0.8333,0
129,4,4,2,17,0,1,4,0.222222222,1,1,0.968253968,0.5,30.5,1,0.5,0
166,54,1,13,56,1419,4,54,0.943396226,0,1,0,0.140432099,2.055555556,2,0.9815,0
4,1,3,1,2,0,0,1,2,0,0,1,1,3,0,0,0
24,1,4,1,5,0,1,1,2,0,0,1,1,23,0,0,0
62,2,1,2,3,1,2,1,1,0,0,0,1,29,0,0,0
118,5,2,10,14,0,7,5,0.25,0,0,0.875,0.36,21.4,1,0.6,0
23,2,1,1,8,1,1,2,2,0,0,0,0.5,10.5,2,1,0
394,7,3,18,35,21,7,3,2,0,0,0.880952381,0.428571429,55.28571429,5,1.7143,0
