sloc,wmc,dit,cbo,rfc,lcom,ca,npm,lcom3,dam,moa,mfa,cam,amc,max_cc,avg_cc,bug
1394,27,1,13,122,283,7,11,0.880769231,1,1,0,0.190883191,50.25925926,2,1.037,1
2390,74,1,18,185,2517,6,21,0.894216134,1,2,0,0.152296535,31.05405405,5,1.2297,1
446,7,1,9,39,13,3,6,0.75,1,0,0,0.404761905,62.42857143,27,5.1429,1
73,4,2,3,13,6,1,2,2,0,0,0.945454545,0.458333333,17.25,2,1,1
96,4,1,7,21,0,1,4,0.333333333,1,0,0,0.583333333,22.5,1,0.75,1
5,1,2,2,2,0,1,1,2,0,0,1,1,4,0,0,1
34,7,1,2,8,15,1,6,0.833333333,1,2,0,0.357142857,3.428571429,1,0.8571,1
202,7,1,5,24,9,3,7,0,1,1,0,0.428571429,27.71428571,1,0.8571,1
62,4,2,3,13,6,1,2,2,0,0,0.945454545,0.357142857,14.5,3,1.5,1
33,2,2,3,7,1,1,1,2,0,0,0.981132075,0.6,15.5,1,0.5,1
25,2,2,2,4,1,0,2,2,0,0,0.944444444,1,11.5,1,0.5,1
8,8,1,7,8,28,5,8,2,0,0,0,0.339285714,0,1,1,1
43,6,1,8,7,9,8,6,0.4,1,0,0,0.433333333,5.666666667,1,0.5,1
235,8,1,2,24,0,2,4,0.642857143,1,0,0,0.375,27.625,1,0.875,1
97,7,1,4,15,5,4,7,0.25,1,0,0,0.371428571,12.57142857,4,1.1429,1
6,6,1,6,6,15,2,6,2,0,0,0,0.5,0,1,1,1
106,9,1,2,15,10,2,9,0.416666667,1,0,0,0.4,10.44444444,5,1.1111,1
159,12,1,0,25,48,0,12,0.787878788,1,0,0,0.333333333,12,1,0.8333,1
11,2,2,4,4,1,0,2,2,0,0,0.944444444,0.75,4.5,1,0.5,1
0,0,1,9,0,0,9,0,2,0,0,0,0,0,0,0,1
1,1,1,3,1,0,2,1,2,0,0,0,1,0,1,1,0
1,1,1,5,1,0,5,1,2,0,0,0,1,0,1,1,0
18,3,4,3,6,3,2,3,2,0,0,1,0.777777778,5,0,0,0
75,3,1,0,17,3,0,3,2,0,0,0,0.5,24,1,0.6667,0
18,3,3,7,6,3,7,3,2,0,0,1,0.777777778,5,0,0,0
34,6,1,3,7,3,2,6,0.6,1,0,0,0.555555556,4.333333333,1,0.6667,0
