sloc,wmc,dit,cbo,rfc,lcom,ca,npm,lcom3,dam,moa,mfa,cam,amc,max_cc,avg_cc,bug
1149,21,1,7,56,0,0,19,0.52,1,2,0,0.307142857,53.47619048,16,3,1
367,6,2,22,50,0,1,2,1.066666667,0.222222222,0,0.857142857,0.5,58.66666667,3,1.6667,1
307,5,2,23,36,0,1,2,1.145833333,0.166666667,0,0.888888889,0.5,58,3,1.2,1
140,4,2,11,14,0,1,2,1.166666667,0.25,0,0.923076923,0.666666667,32,2,0.75,1
420,4,2,25,37,0,1,2,1.238095238,0.142857143,0,0.923076923,0.666666667,100.5,3,1,1
193,5,2,10,9,0,8,3,0.5625,1,0,0.714285714,0.583333333,36.8,7,1.6,1
529,14,1,8,38,0,1,9,0.714285714,0.857142857,3,0,0.307692308,36.28571429,5,2.2143,1
134,4,2,12,14,0,2,2,1.066666667,0.4,0,0.923076923,0.666666667,31.25,2,0.75,1
362,11,1,11,36,0,1,6,0.55,1,0,0,0.5,31.72727273,3,1.2727,1
127,4,2,11,15,0,1,2,1,0.5,0,0.923076923,0.666666667,29.75,2,0.75,1
341,11,1,5,22,0,1,8,0.74,0.8,1,0,0.35,29.54545455,4,1.8182,1
321,6,2,17,42,0,1,2,1.028571429,0.285714286,0,0.857142857,0.5,51.33333333,3,1.5,1
1478,24,1,8,69,0,0,22,0.47826087,1,1,0,0.246376812,60.41666667,20,3.4167,1
74,4,2,5,7,0,3,2,1.066666667,1,0,0.714285714,0.666666667,16.25,2,0.75,1
74,4,2,5,7,0,3,2,1.066666667,1,0,0.714285714,0.666666667,16.25,2,0.75,1
237,4,2,17,21,0,1,2,1.2,0.2,0,0.923076923,0.666666667,55.75,2,0.75,1
125,4,2,10,13,0,1,2,1.066666667,0.4,0,0.923076923,0.666666667,29,2,0.75,1
117,4,2,9,12,0,1,2,1,0.5,0,0.923076923,0.666666667,27.25,2,0.75,1
93,4,2,7,8,0,5,2,1.066666667,1,0,0.714285714,0.666666667,21,4,1.25,1
68,4,2,5,6,0,3,2,0.666666667,1,0,0.846153846,0.666666667,15.5,2,0.75,1
460,18,1,13,26,0,12,16,0.816176471,1,0,0,0.338235294,24.11111111,7,2.0556,1
448,13,1,11,44,0,1,8,0.7,1,1,0,0.316666667,33.07692308,4,1.9231,1
175,4,2,11,15,0,1,2,1.066666667,0.4,0,0.923076923,0.5,41.5,2,0.75,1
132,4,2,10,13,0,1,2,1.142857143,0.285714286,0,0.923076923,0.666666667,30.25,2,0.75,1
854,34,1,35,44,0,31,32,0.878787879,1,3,0,0.148148148,23.73529412,7,2.0882,1
217,9,1,13,23,0,1,6,0.5625,1,0,0,0.458333333,22.88888889,2,1.2222,1
416,16,1,13,24,0,11,14,0.79047619,1,1,0,0.222222222,24.5625,7,2.0625,1
803,13,1,18,47,0,17,10,0.541666667,1,0,0,0.2,60.61538462,5,2.6154,0
3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
302,9,1,15,32,0,1,6,0.5625,1,0,0,0.458333333,32.33333333,3,1.3333,0
520,13,1,13,52,0,1,6,0.541666667,1,0,0,0.291666667,38.84615385,4,1.4615,0
404,15,2,14,36,0,8,10,0.464285714,1,1,0.235294118,0.196428571,25.8,4,1.7333,0
185,8,1,6,18,0,1,6,0.571428571,1,0,0,0.428571429,21.875,2,1.25,0
816,36,1,13,71,0,0,34,0.782142857,1,6,0,0.182857143,21.44444444,2,1.8611,0
312,9,1,11,34,0,1,6,0.5625,1,0,0,0.458333333,33.44444444,4,1.4444,0
123,5,2,8,12,0,6,3,0.625,1,0,0.8125,0.75,23.2,2,1,0
199,9,2,6,15,0,3,7,0.65,1,0,0.65,0.34375,20.55555556,2,1.4444,0
102,5,2,7,11,0,4,3,0.583333333,1,0,0.8125,0.5,18.8,2,1,0
178,7,2,3,9,0,1,5,0.583333333,1,0,0.6875,0.666666667,24.14285714,5,2.2857,0
324,11,1,12,35,0,1,6,0.55,1,0,0,0.5,28.27272727,2,1.1818,0
210,5,2,12,29,0,1,2,1,0.4,0,0.888888889,0.75,40,3,1.2,0
537,13,1,11,52,0,1,6,0.541666667,1,0,0,0.35,40.15384615,2,1.3077,0
115,6,3,39,11,0,38,4,0.6,1,0,0.928571429,0.533333333,17.83333333,1,0.1667,0
83,4,2,6,8,0,3,2,0.666666667,0.5,2,0.714285714,0.555555556,18.75,2,0.75,0
518,14,1,13,44,0,1,9,0.692307692,0.714285714,3,0,0.256410256,35.5,5,1.9286,0
383,4,1,57,53,0,11,2,0.333333333,1,0,0,0.333333333,94.25,2,0.75,0
92,4,2,5,8,0,3,2,1,1,0,0.714285714,0.666666667,21,4,1.25,0
93,4,2,5,8,0,3,2,1.066666667,1,0,0.714285714,0.666666667,21,4,1.25,0
819,14,1,13,62,0,0,12,0.769230769,1,7,0,0.323076923,56.78571429,6,2.8571,0
309,9,1,20,38,0,1,6,0.5625,1,0,0,0.458333333,33.11111111,3,1.3333,0
118,4,2,4,11,0,1,2,1.066666667,1,0,0.714285714,0.666666667,27.25,5,1.5,0
746,13,1,7,62,0,0,11,0.604166667,1,1,0,0.277777778,56.07692308,6,2.6154,0
131,5,2,11,9,0,10,2,0.75,0.4,4,0.785714286,0.333333333,24.2,2,1,0
222,5,1,6,19,0,0,2,1.041666667,0.333333333,0,0,0.375,42.2,1,0.6,0
7,7,1,5,7,21,4,7,2,0,0,0,0.333333333,0,1,1,0
181,4,2,6,12,0,4,2,0.666666667,1,0,0.866666667,0.666666667,43.75,4,1.25,0
1,1,1,2,1,0,2,1,2,0,0,0,1,0,1,1,0
5,5,1,61,5,10,59,5,2,0,0,0,0.533333333,0,1,1,0
281,9,1,15,30,0,2,6,0.5625,1,0,0,0.458333333,30,2,1.2222,0
145,6,1,1,12,0,0,4,0.75,1,0,0,0.32,22.5,2,0.8333,0
5,5,1,6,5,10,5,5,2,0,0,0,0.6,0,1,1,0
455,15,1,29,24,0,28,13,0.883116883,0.454545455,0,0,0.238095238,28.6,7,2.3333,0
10,10,1,9,10,45,7,10,2,0,0,0,0.316666667,0,1,1,0
429,15,1,52,36,0,47,13,0.535714286,1,0,0,0.357142857,27.46666667,8,2.1333,0
93,4,2,5,8,0,3,2,1.066666667,1,0,0.714285714,0.666666667,21,4,1.25,0
127,4,2,6,12,0,1,2,0.666666667,1,0,0.714285714,0.555555556,30,5,1.5,0
217,9,1,13,23,0,1,6,0.5625,1,0,0,0.458333333,22.88888889,2,1.2222,0
287,9,1,14,29,0,1,6,0.5625,1,0,0,0.458333333,30.66666667,2,1.2222,0
504,20,1,15,28,0,12,18,0.83625731,0.777777778,3,0,0.195488722,23.75,7,2.05,0
68,4,2,3,6,0,1,2,0.666666667,1,0,0.846153846,0.666666667,15.5,2,0.75,0
291,9,1,10,29,0,1,6,0.5625,1,0,0,0.458333333,31.11111111,3,1.3333,0
591,13,1,13,63,0,1,6,0.541666667,1,0,0,0.35,44.30769231,4,1.4615,0
4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
313,9,1,9,28,0,1,6,0.5625,1,0,0,0.458333333,33.55555556,6,1.6667,0
382,16,2,12,42,0,6,11,0.466666667,1,1,0.222222222,0.306666667,22.75,2,1.625,0
409,12,1,8,29,0,2,9,0.681818182,0.5,1,0,0.424242424,32.75,4,1.8333,0
1030,29,1,13,54,0,11,27,0.792207792,1,0,0,0.292857143,34.13793103,10,2.4828,0
267,9,1,9,27,0,1,6,0.5625,1,0,0,0.458333333,28.44444444,2,1.2222,0
