sloc,wmc,dit,cbo,rfc,lcom,ca,npm,lcom3,dam,moa,mfa,cam,amc,max_cc,avg_cc,bug
306,8,6,8,48,18,3,4,0.785714286,1,3,0.983568075,0.40625,36.5,5,1.375,1
85,6,2,6,26,3,3,6,0.7,1,2,0.642857143,0.285714286,12.83333333,1,0.8333,1
370,21,1,5,50,210,4,20,1.05,0,0,0,0.299319728,16.52380952,8,2.619,1
198,2,6,7,25,1,1,1,0,1,7,0.997690531,1,93,1,0.5,1
994,30,1,10,53,333,5,24,0.844827586,0.75,1,0,0.235632184,31.86666667,19,1.9,1
315,9,1,8,27,28,1,4,0.75,1,1,0,0.45,33.77777778,1,0.7778,1
501,11,1,8,53,0,7,9,0.64,0.6,1,0,0.385714286,44.09090909,3,1.0909,1
1172,15,5,9,80,91,4,3,0.847619048,1,2,0.970893971,0.247619048,76.13333333,3,1.4,1
599,11,5,5,61,19,2,5,0.675,1,0,0.979035639,0.272727273,52.36363636,7,1.4545,1
10,10,1,4,10,45,2,10,2,0,0,0,0.271428571,0,1,1,0
1,1,1,3,1,0,2,1,2,0,0,0,1,0,1,1,0
772,12,5,14,67,60,4,5,0.761363636,1,0,0.976987448,0.35,62,1,0.9167,0
2,2,1,1,2,1,1,2,2,0,0,0,1,0,1,1,0
125,4,1,8,22,4,1,3,0.833333333,1,2,0,0.5,29.75,1,0.75,0
4,1,1,0,2,0,0,0,2,0,0,0,1,3,0,0,0
478,13,5,7,60,74,3,8,0.841666667,0.9,1,0.974947808,0.292307692,35,2,1,0
182,5,1,2,16,10,1,5,2,0,0,0,0.9,35.4,1,0.8,0
2,2,1,3,2,1,3,2,2,0,0,0,1,0,1,1,0
5,1,3,5,2,0,5,1,2,0,0,1,1,4,0,0,0
258,8,5,8,60,22,3,1,0.571428571,1,2,0.985232068,0.5,30.75,4,1.25,0
56,4,2,25,7,4,25,2,0.916666667,0.25,4,0.846153846,0.444444444,12,1,0.5,0
3,3,1,4,3,3,3,3,2,0,0,0,0.666666667,0,1,1,0
162,2,1,6,30,0,1,2,0,1,3,0,0.6,78.5,8,4,0
5,1,3,6,2,0,6,0,2,0,0,1,1,4,0,0,0
13,2,1,1,5,1,0,2,2,0,0,0,0.5,5.5,1,0.5,0
575,3,1,15,46,0,1,2,0.5,1,0,0,0.666666667,190,1,0.3333,0
5,1,3,5,2,0,5,0,2,0,0,1,1,4,0,0,0
606,19,1,17,57,123,1,11,0.822222222,1,1,0,0.233918129,30.36842105,1,0.9474,0
261,4,1,7,23,6,1,4,1.333333333,1,0,0,0.6875,64,1,0.75,0
1541,29,5,10,109,318,7,8,0.763736264,1,1,0.94534413,0.214285714,51.24137931,16,3.1034,0
526,4,1,5,32,6,2,3,2,0,0,0,0.416666667,130.5,1,0.75,0
177,17,1,3,25,44,2,15,0.675,1,2,0,0.3,9.117647059,6,1.1176,0
4,1,3,3,2,0,3,1,2,0,0,1,1,3,0,0,0
323,4,1,2,10,4,1,3,0.666666667,1,0,0,0.75,79.5,1,0.75,0
1410,12,5,11,67,48,4,5,0.775119617,1,0,0.976987448,0.333333333,113.3333333,3,1.3333,0
2,2,1,5,2,1,2,2,2,0,0,0,0.625,0,1,1,0
139,5,2,1,8,6,1,3,0.931818182,0.181818182,10,0.785714286,0.416666667,24.6,1,0.6,0
174,4,1,3,22,6,1,4,2,0,0,0,0.875,42.5,1,0.75,0
9,9,1,5,9,36,2,9,2,0,0,0,0.361111111,0,1,1,0
69,11,1,1,12,25,1,11,0.8,1,0,0,0.431818182,4.818181818,1,0.9091,0
3,3,1,5,3,3,2,3,2,0,0,0,0.666666667,0,1,1,0
797,11,2,4,30,31,2,8,0.733333333,1,0,0.64,0.575757576,71.18181818,29,5.2727,0
7,7,1,2,7,21,2,7,2,0,0,0,0.428571429,0,1,1,0
1356,16,1,12,74,68,1,12,0.816666667,1,2,0,0.1875,83.25,5,1.3125,0
427,23,1,12,40,7,11,21,0.962566845,0.264705882,2,0,0.220779221,16.08695652,14,1.6087,0
