sloc,wmc,dit,cbo,rfc,lcom,ca,npm,lcom3,dam,moa,mfa,cam,amc,max_cc,avg_cc,bug
620,9,1,38,102,30,1,3,0.625,1,0,0,0.196428571,67.77777778,6,2.2222,1
844,20,2,31,107,104,3,14,0.872807018,0.833333333,1,0.40625,0.185,40.6,39,3.5,1
229,15,1,23,33,7,18,5,0.476190476,1,0,0,0.380952381,14.06666667,4,2.3333,1
78,4,2,7,19,4,1,1,0.666666667,1,1,0.818181818,0.444444444,18.25,5,1.5,1
976,50,1,46,108,697,27,48,0.871985158,0.909090909,2,0,0.135007849,18.3,8,2.1,1
106,2,1,14,6,1,11,1,1.977777778,0,0,0,1,7,0,0,1
828,28,2,31,106,216,2,20,0.877492877,0.692307692,3,0.325,0.203571429,28.10714286,17,3.2143,1
740,25,1,32,86,174,11,22,0.868055556,1,2,0,0.333333333,28.12,11,2.48,1
1449,67,1,44,172,1931,9,60,0.952101662,0.967741935,5,0,0.109090909,20.1641791,49,1.9104,1
89,4,1,9,14,0,3,3,0.5,1,0,0,0.583333333,20.75,5,1.75,1
455,8,1,33,105,28,5,7,2,0,0,0,0.2,55.875,6,2.875,1
33,2,1,6,8,1,2,2,2,0,0,0,0.5,15.5,3,1.5,1
444,17,2,14,58,100,2,11,0.90625,1,2,0.464285714,0.3,24.64705882,12,2.0588,1
176,10,2,14,35,0,7,10,0,1,0,0.590909091,0.283333333,16.5,3,1.5,1
507,15,1,28,84,99,0,6,0.357142857,1,0,0,0.314285714,32.73333333,19,2.6,1
151,5,1,13,26,0,7,4,0.5,1,0,0,0.583333333,28.8,5,1.4,1
428,16,3,34,52,60,24,16,0.828571429,1,0,0.594594595,0.25,25.3125,29,2.8125,1
219,8,2,8,32,0,2,8,0.571428571,1,2,0.65,0.375,26,15,2.625,1
171,6,1,4,26,9,1,3,0.9,1,0,0,0.2,27.16666667,1,0.6667,1
488,7,1,13,50,0,1,5,0.625,0.75,1,0,0.270833333,68.14285714,39,6.4286,1
268,4,2,18,38,0,2,4,0,1,1,0.8125,0.5,65.75,27,7.25,1
351,9,1,11,45,22,0,6,0.75,1,0,0,0.4,37.77777778,1,0.7778,1
677,20,2,14,71,90,3,18,0.837320574,1,3,0.419354839,0.190789474,32.3,34,3.1,1
232,3,2,11,32,3,0,3,1.5,1,0,0.75,0.555555556,75.33333333,16,5.6667,1
88,2,1,4,5,1,4,1,1.689655172,0,0,0,1,28.5,0,0,1
68,7,1,5,11,13,2,7,0.766666667,1,2,0,0.4,8,3,1,1
165,5,1,22,45,8,2,3,0.25,1,0,0,0.3,31.8,15,3.4,1
709,8,2,12,60,12,4,1,0.75,0,0,0.333333333,0.678571429,86.125,23,5,1
406,9,1,14,39,0,4,5,0.5,1,1,0,0.3125,43.66666667,7,1.7778,1
442,14,2,19,71,47,8,11,0.666666667,0.666666667,0,0.5,0.255102041,30.35714286,7,1.5,1
265,7,1,9,28,0,3,3,0.541666667,1,1,0,0.333333333,36.28571429,3,1.1429,1
753,25,2,26,87,168,2,22,0.854166667,1,1,0.351351351,0.188,28.64,16,1.6,1
371,4,2,9,36,2,0,3,0.866666667,1,0,0.6,0.666666667,89.25,23,6,1
940,15,1,23,75,49,10,10,0.285714286,1,0,0,0.154761905,61.6,12,3.4667,1
271,15,1,18,52,37,3,14,0.75,1,4,0,0.255102041,16.53333333,13,2.0667,1
2,2,1,11,2,1,8,2,2,0,0,0,0.833333333,0,1,1,1
183,2,3,5,30,1,3,1,2,0,0,0.962962963,0.666666667,90.5,9,4.5,1
319,5,3,20,51,0,4,5,0,1,1,0.818181818,0.666666667,62.6,23,6.4,1
542,11,3,18,71,1,3,9,0.814285714,0.857142857,1,0.6875,0.303030303,47.63636364,16,2.7273,1
319,12,1,12,37,2,5,8,0.772727273,1,0,0,0.25974026,24.75,7,2.5833,1
76,4,1,7,16,4,1,2,0.333333333,1,0,0,0.333333333,17.75,5,1.5,1
219,6,3,71,45,13,50,3,0.9,1,0,0.870967742,0.366666667,35.16666667,8,2.1667,1
17,3,4,83,6,3,83,3,1.5,1,0,1,0.777777778,4.333333333,0,0,1
202,8,3,3,42,8,0,3,0.785714286,1,0,0.806451613,0.357142857,24,1,0.75,1
242,6,1,17,32,11,1,2,1.044444444,0.777777778,1,0,0.333333333,37.83333333,13,2.8333,1
493,5,1,22,66,4,2,4,0.25,1,0,0,0.416666667,96.8,1,0.6,1
40,3,1,5,7,1,1,3,0.5,1,2,0,0.5,11.66666667,3,1,1
388,22,2,4,44,135,1,20,0.878787879,1,1,0.130434783,0.201058201,16.13636364,16,2,1
167,8,2,10,29,0,2,8,0.5,1,1,0.65,0.270833333,19.625,6,2.125,1
313,8,1,27,64,20,0,6,0.785714286,1,1,0,0.333333333,37.875,2,0.875,1
606,6,3,12,56,13,1,3,0.7,1,0,0.848484848,0.4,99.33333333,15,5.5,1
210,10,2,15,39,0,2,9,0.5,1,0,0.590909091,0.242857143,19.8,9,1.9,1
511,14,1,30,69,51,1,12,0.820512821,1,2,0,0.192307692,35.07142857,17,2.5,1
235,9,1,24,45,32,0,3,0.875,1,0,0,0.270833333,24.66666667,7,1.8889,1
88,2,2,13,16,1,1,1,2,0,0,0.857142857,0.75,43,6,3,1
7,7,1,48,7,21,48,7,2,0,0,0,0.428571429,0,1,1,1
50,3,1,9,15,1,1,2,0.5,1,0,0,0.5,15.33333333,3,1,1
144,3,2,12,31,3,0,3,2,0,0,0.75,0.555555556,47,11,4,1
390,12,2,10,37,14,2,12,0.831168831,0.714285714,1,0.541666667,0.3,30.91666667,30,3.3333,1
558,7,1,7,42,9,3,4,0.333333333,1,0,0,0.3,78.57142857,12,3.2857,1
918,16,2,17,66,58,3,14,0.8,1,0,0.464285714,0.333333333,56,16,2.6875,1
248,10,1,11,33,0,4,6,0.746031746,1,0,0,0.314814815,23.1,6,2.4,1
235,9,1,10,30,6,7,5,0.671875,0.125,0,0,0.34375,24.22222222,3,1.1111,1
214,6,1,11,37,3,1,3,0.4,1,0,0,0.266666667,34.5,8,1.8333,1
535,17,3,11,39,52,2,17,0.794642857,1,3,0.578947368,0.218487395,30.05882353,21,2.5294,1
145,2,2,16,21,1,1,1,2,0,0,0.857142857,0.75,71.5,8,4,1
342,8,1,28,44,26,10,3,0.928571429,1,0,0,0.371428571,41.5,19,3.75,1
357,15,2,21,53,27,2,14,0.728571429,1,3,0.481481481,0.192592593,22.46666667,13,1.8667,1
544,22,2,25,64,135,2,20,0.865800866,0.818181818,2,0.393939394,0.304761905,23.22727273,22,1.9545,1
74,3,3,7,16,3,2,3,2,0,0,0.916666667,0.833333333,23.66666667,8,3.3333,1
80,5,3,7,18,8,1,2,0.75,1,1,0.8125,0.5,14.8,3,1.2,1
48,4,4,7,16,4,0,3,1,1,0,0.964285714,0.555555556,10.75,1,0.5,1
245,7,1,8,43,15,1,2,0.166666667,1,0,0,0.4,33.85714286,12,2.2857,1
139,6,2,7,28,13,2,2,0.8,1,1,0.692307692,0.45,22,6,1.8333,1
117,4,2,11,23,4,1,1,0.666666667,1,1,0.818181818,0.444444444,28,6,1.75,1
106,2,3,5,18,1,2,1,2,0,0,0.962962963,0.666666667,52,7,3.5,1
150,4,2,9,27,4,0,3,0.666666667,1,0,0.6,0.666666667,36.25,11,3,1
435,12,2,16,51,10,2,10,0.818181818,0.666666667,1,0.541666667,0.238095238,34.75,27,3.5833,1
50,2,2,11,16,1,5,2,2,0,0,0.928571429,0.75,24,5,2.5,1
114,2,3,10,23,1,2,2,2,0,0,0.956521739,0.75,56,11,5.5,1
620,6,1,34,105,0,2,3,0.5,1,0,0,0.371428571,102,7,1.8333,1
79,8,1,7,18,8,3,7,0.714285714,1,1,0,0.314285714,8.5,3,1.125,1
776,61,1,46,136,378,25,61,0.881666667,1,2,0,0.111241218,11.55737705,11,1.541,1
483,16,2,13,60,34,4,9,0.866666667,0.375,0,0.464285714,0.258928571,28.6875,8,2.4375,1
1312,11,1,5,59,25,1,2,1.075609756,0.975609756,0,0,0.271428571,114.5454545,10,4.1818,1
70,3,3,7,16,3,2,3,2,0,0,0.916666667,0.833333333,22.33333333,8,3,1
60,3,3,2,8,3,1,3,1.5,0,0,1,0.555555556,15,0,0,0
14,2,3,6,5,1,2,2,2,0,0,0.8,0.5,6,1,0.5,0
141,4,2,8,29,4,0,3,0.666666667,1,0,0.6,0.666666667,34,6,1.75,0
481,51,1,4,71,1025,1,47,0.86,1,0,0,0.236666667,8.274509804,3,1.2157,0
544,14,1,14,46,0,5,9,0.730769231,1,0,0,0.285714286,37.28571429,8,3.2857,0
179,4,1,4,31,0,4,2,0.5,1,0,0,0.333333333,42.75,4,2,0
373,2,2,16,30,1,2,1,2,0,0,0.857142857,0.666666667,185.5,25,12.5,0
673,17,1,23,77,34,4,15,0.848214286,0.714285714,6,0,0.2421875,37.76470588,30,3.4118,0
139,3,2,10,25,3,0,3,2,0,0,0.75,0.555555556,45.33333333,10,3.6667,0
10,10,1,33,10,45,30,10,2,0,0,0,0.283333333,0,1,1,0
609,15,2,12,73,67,0,11,0.761904762,1,0,0.277777778,0.276785714,39.4,9,2.4,0
114,3,2,8,24,3,0,3,2,0,0,0.75,0.555555556,37,7,2.6667,0
156,3,2,11,25,3,0,3,2,0,0,0.75,0.555555556,51,12,4.3333,0
46,3,3,7,15,3,0,3,2,0,0,0.777777778,0.555555556,14.33333333,3,1.3333,0
12,12,1,10,12,66,7,12,2,0,0,0,0.285714286,0,1,1,0
570,8,2,21,64,0,1,4,0.535714286,1,1,0.333333333,0.404761905,69.75,4,1.625,0
3,3,1,4,3,3,2,3,2,0,0,0,0.666666667,0,1,1,0
21,3,1,5,8,1,0,2,0.5,1,0,0,0.5,5.666666667,1,0.3333,0
193,26,1,17,31,245,13,24,0.943333333,0.666666667,1,0,0.194285714,5.961538462,4,1.3462,0
142,3,3,13,28,3,0,3,2,0,0,0.777777778,0.555555556,46.33333333,9,3.3333,0
537,23,1,18,70,143,2,22,0.878787879,0,0,0,0.181818182,21.95652174,5,2.2174,0
695,5,1,14,67,0,1,2,0.25,1,0,0,0.3125,137.8,50,10.4,0
274,43,1,18,44,781,18,43,0.953514739,1,0,0,0.297674419,4.88372093,1,0.9767,0
46,3,3,7,15,3,0,3,2,0,0,0.777777778,0.555555556,14.33333333,3,1.3333,0
194,6,1,12,22,3,2,5,0.4,1,0,0,0.6,31,9,3.3333,0
1,1,1,2,1,0,2,1,2,0,0,0,1,0,1,1,0
97,4,2,6,16,2,0,3,1.047619048,1,0,0.6,0.666666667,21.5,7,2,0
133,4,2,10,29,4,0,3,0.666666667,1,0,0.6,0.666666667,32,6,1.75,0
18,3,5,6,6,3,2,3,2,0,0,0.991150442,0.5,5,1,0.3333,0
151,7,1,8,17,9,3,5,0.5,1,0,0,0.566666667,19.57142857,5,1.8571,0
1,1,1,10,1,0,9,1,2,0,0,0,1,0,1,1,0
178,4,2,13,21,0,1,2,2,0,0,0.666666667,0.5,43.5,9,3.25,0
35,6,1,10,13,15,0,6,2,0,0,0,0.361111111,4.833333333,1,0.8333,0
200,3,1,11,35,1,0,2,0.625,1,0,0,0.666666667,64.33333333,11,3.6667,0
242,5,1,21,47,0,2,2,0.25,1,0,0,0.5,47,4,1.6,0
