sloc,wmc,dit,cbo,rfc,lcom,ca,npm,lcom3,dam,moa,mfa,cam,amc,max_cc,avg_cc,bug
992,32,6,27,118,390,15,3,0.908113392,0.666666667,11,0.933045356,0.46875,28.96875,2,1.25,1
148,7,6,7,35,21,5,2,0.833333333,0.5,2,0.98630137,0.428571429,19.57142857,1,0.8571,1
265,7,6,6,51,13,4,2,0.685185185,1,2,0.988558352,0.428571429,35.57142857,1,0.7143,1
355,4,1,8,41,0,2,1,0.333333333,1,1,0,0.625,85.5,5,2,1
274,9,1,8,28,2,8,7,0.55,1,0,0,0.722222222,28.88888889,2,1,1
245,8,6,9,57,28,4,3,0.885714286,0.8,0,0.98405467,0.35,29,2,1,1
227,8,6,7,46,18,5,3,0.693877551,1,2,0.98630137,0.325,26.5,1,0.75,1
764,8,6,4,52,18,3,1,0.532967033,0.961538462,1,0.98405467,0.5,91.25,7,1.625,1
387,8,6,5,55,26,4,3,0.795918367,1,0,0.98405467,0.375,46.5,6,1.5,1
412,12,6,7,70,40,4,3,0.692307692,0.769230769,2,0.977375566,0.316666667,32.25,1,0.8333,1
251,7,6,4,40,21,4,2,0.833333333,1,0,0.98630137,0.314285714,33.71428571,1,0.8571,1
639,7,1,18,57,0,1,7,0.5,1,1,0,0.571428571,90,3,1.5714,1
68,3,1,2,11,1,1,3,0.5,1,0,0,0.666666667,21.33333333,3,1.3333,0
21,2,1,0,3,1,0,2,1,1,0,0,0.75,7.5,1,0.5,0
88,4,6,3,23,6,2,1,0.666666667,1,0,0.993103448,0.5,20.75,1,0.75,0
14,3,1,1,4,3,1,3,1,1,0,0,0.666666667,3,1,0.6667,0
103,2,2,2,15,0,1,2,0,0,0,0.666666667,0.75,50,2,1,0
432,8,6,6,65,8,4,1,0.728571429,0.9,1,0.98405467,0.583333333,51.75,1,0.875,0
