sloc,wmc,dit,cbo,rfc,lcom,ca,npm,lcom3,dam,moa,mfa,cam,amc,max_cc,avg_cc,bug
3057,74,2,23,189,1615,4,44,0.855541719,0.727272727,3,0.54375,0.154440154,40.01351351,12,1.6216,1
2125,5,3,18,16,8,18,3,1.246296296,0,0,0.926829268,0.333333333,397,2,0.8,1
3531,133,2,114,409,7774,63,125,0.944507576,0.725,17,0.090277778,0.052807487,25.2481203,5,1.3383,1
4331,5,3,18,16,8,18,3,1.247983871,0,0,0.926829268,0.333333333,815.6,2,0.8,1
2737,38,3,15,120,509,2,27,0.88030888,0.857142857,3,0.824390244,0.184275184,70.84210526,3,1.1053,1
797,23,3,19,75,167,7,20,0.909090909,0.222222222,0,0.487804878,0.207070707,33.26086957,17,1.6087,1
616,16,3,10,82,52,2,13,0.866666667,0.5,1,0.923497268,0.4,37.375,2,0.9375,1
1173,43,2,13,143,573,1,41,0.755102041,0.785714286,2,0.236363636,0.153100775,25.95348837,3,1.0698,1
1758,33,3,17,151,322,6,23,0.901442308,0.576923077,0,0.392156863,0.142857143,51.48484848,17,2.1212,1
958,67,1,12,111,1771,3,47,0.931515152,0.96,4,0,0.138059701,12.92537313,10,1.4776,1
2384,42,3,29,135,617,5,27,0.860310421,1,9,0.830508475,0.136298422,55.5,26,2.0952,1
3337,58,1,12,96,0,3,5,0.679425837,0.454545455,2,0,0.163793103,56.34482759,6,1.4828,1
269,82,1,5,83,3321,2,81,1.012345679,1,0,0,0.097560976,2.268292683,1,0.9878,1
81,9,1,1,18,36,1,9,2,0,0,0,0.111111111,8,2,1.1111,1
1185,47,2,59,111,1021,22,15,0.648550725,0.666666667,1,0.323076923,0.173913043,24.08510638,12,1.2128,1
484,25,3,5,50,192,2,23,2,0,0,0.875647668,0.366666667,18.36,1,0.96,1
1322,70,2,44,152,2107,22,33,0.93812709,0.730769231,5,0.2,0.108695652,17.51428571,7,1.3,1
2601,69,1,36,198,2330,20,64,1.005793226,0.303030303,0,0,0.102076125,36.2173913,49,4.2464,1
740,49,3,42,100,1176,33,46,1,0,1,0.606837607,0.122222222,14.08163265,16,1.8571,1
851,6,3,13,51,3,0,6,2,0,0,0.615384615,0.388888889,140.8333333,5,1.6667,1
304,10,5,21,52,39,4,6,1.022222222,0,1,0.963709677,0.333333333,28.9,5,1.7,1
462,4,5,18,73,6,2,3,2,0,0,0.986111111,0.5,114.5,3,1.25,1
686,32,4,18,88,354,6,28,0.88172043,1,2,0.86695279,0.180555556,20.15625,10,1.8438,1
1123,83,2,11,178,0,1,76,0.843089431,1,1,0.514792899,0.115662651,12.34939759,10,1.2048,1
250,7,1,12,37,21,5,7,2,0,0,0,0.404761905,34.71428571,4,1.2857,1
163,8,3,12,33,8,1,8,0.428571429,1,1,0.965517241,0.3,19.25,16,2.75,1
2494,75,4,25,190,2297,5,65,0.908361486,0.9375,11,0.56626506,0.134234234,31.82666667,13,2.2933,1
2326,94,1,16,141,4141,4,68,0.922341697,0.777777778,14,0,0.173835125,23.45744681,15,2.4681,1
3305,76,1,97,205,2560,86,59,0.933777778,1,9,0,0.093421053,42.09210526,13,2.25,1
3124,31,1,41,149,327,4,12,0.853968254,1,7,0,0.163306452,99.09677419,41,5.7097,1
429,11,1,10,49,31,5,8,0.925,0.5,1,0,0.266666667,37.27272727,12,3.1818,1
987,50,5,53,121,1069,45,34,0.939909297,0.944444444,11,0.853658537,0.079130435,18.38,10,1.6,1
861,6,3,12,48,0,0,6,0.2,1,0,0.615384615,0.388888889,142.1666667,6,2,1
1326,3,3,1,4,1,1,2,0.5,1,0,0.974358974,1,440.6666667,1,0.3333,1
2307,37,5,34,111,284,20,26,0.797979798,1,2,0.830845771,0.206018519,60.75675676,20,3.5135,1
