sloc,wmc,dit,cbo,rfc,lcom,ca,npm,lcom3,dam,moa,mfa,cam,amc,max_cc,avg_cc,bug
3157,46,1,51,178,461,6,28,0.897916667,0.375,21,0,0.157142857,66.23913043,51,4.8913,1
1373,31,1,28,98,301,9,24,0.949425287,0.965517241,6,0,0.16969697,42.35483871,39,2.9032,1
1567,24,3,17,122,0,1,21,0.856071964,0.931034483,7,0.651515152,0.25,63.08333333,4,1.0833,1
1258,78,4,42,166,2643,39,49,0.944805195,0.833333333,3,0.519736842,0.129058442,14.97435897,9,1.3333,1
3191,25,1,41,137,122,15,3,0.863095238,0.642857143,22,0,0.177777778,124.4,31,7.08,1
1128,14,2,5,86,41,1,10,2,0,0,0.848484848,0.246031746,79.57142857,7,1.2143,1
1419,31,2,25,116,177,3,12,0.945736434,1,14,0.369565217,0.126190476,43.38709677,2,0.9677,1
683,30,4,16,79,57,10,24,0.735632184,0.666666667,1,0.738317757,0.333333333,21.66666667,11,2.7333,1
3317,36,2,21,124,134,1,11,0.851612903,1,9,0.333333333,0.187301587,90.27777778,2,1.0556,1
1804,18,1,14,68,0,2,7,0.882352941,1,8,0,0.227272727,97.72222222,3,1.0556,1
1645,15,3,24,60,87,3,0,0.964285714,1,1,0.535714286,0.344155844,108.5333333,12,2.0667,1
1159,25,1,57,66,190,18,17,0.901515152,0.409090909,14,0,0.136111111,44.48,3,1.08,1
410,15,3,20,50,79,6,9,0.988095238,1,7,0.779661017,0.205357143,24.73333333,2,0.9333,1
127,6,1,2,19,13,1,5,0.8,0,1,0,0.533333333,20,11,3,1
196,6,3,3,21,3,2,4,0.9,0.5,0,0.947368421,0.611111111,31,3,1.3333,1
1100,38,2,13,98,421,10,24,0.817567568,0.75,1,0.556962025,0.174174174,27.84210526,11,2.6053,1
531,63,1,22,79,1617,22,36,0.956575682,0.846153846,1,0,0.147619048,7.222222222,5,1.4127,1
318,8,1,1,14,0,0,5,1.095238095,0.098039216,0,0,0.142857143,32.375,2,1.375,1
2036,57,1,10,126,920,3,38,0.771428571,0.933333333,4,0,0.136302294,34.45614035,7,1.2456,1
3050,69,3,25,129,1784,15,50,0.891304348,0.956521739,0,0.571428571,0.181716834,42.86956522,12,2.6232,1
1394,42,5,20,101,457,13,12,0.832752613,0.714285714,1,0.8,0.163865546,32.02380952,33,3.7381,1
255,6,3,4,21,3,3,4,0.96,0.4,0,0.9375,0.611111111,40.66666667,3,1.3333,1
1328,44,3,17,131,588,1,39,0.925581395,1,7,0.5,0.101674641,28.84090909,2,1,1
4202,12,1,35,75,14,16,7,0.965786901,0.559139785,19,0,0.20979021,341.4166667,31,6.6667,1
424,8,1,1,13,4,1,7,0.571428571,1,0,0,0.5,51.75,1,0.75,1
3681,66,1,38,230,489,1,49,0.933687003,1,25,0,0.116742081,53.45454545,11,1.5758,1
558,12,1,24,34,66,7,10,2,0,0,0,0.179487179,45.5,13,6.4167,1
139,8,2,3,25,0,1,6,0.714285714,1,2,0.730769231,0.35,15.875,1,0.875,1
1494,42,2,18,89,673,2,35,0.951219512,0.75,7,0.601941748,0.177489177,33.80952381,5,1.2619,1
975,31,3,16,71,227,14,14,0.6,0.75,3,0.632911392,0.17921147,30.32258065,17,2.5806,1
781,6,1,18,39,1,8,5,0.8,1,2,0,0.333333333,128.1666667,3,1.3333,1
1209,11,1,29,59,5,9,0,0.926666667,0.8,5,0,0.212121212,107.5454545,40,9,1
870,15,1,26,41,37,7,12,0.825396825,1,4,0,0.181818182,55.8,11,2.4,1
1017,34,3,59,83,541,55,29,0.96969697,0.8,5,0.733333333,0.284848485,28.61764706,7,2.2059,1
706,6,2,22,48,5,2,0,0.933333333,0.666666667,2,0.666666667,0.375,116.1666667,52,10.3333,1
2660,55,1,3,99,473,1,26,0.798941799,0,7,0,0.246464646,47.10909091,20,3.8182,1
310,10,1,15,20,19,10,9,0.901234568,0.111111111,5,0,0.4,28.2,3,1.4,1
953,7,2,19,40,9,4,0,0.611111111,1,1,0.625,0.30952381,134.7142857,67,11.8571,1
719,12,2,6,50,24,1,5,2,0,0,0.52173913,0.321428571,58.91666667,10,3.1667,1
691,8,1,16,21,26,3,2,0.928571429,1,3,0,0.3125,84.875,15,7.875,1
440,7,1,15,16,0,8,6,0.738095238,0.142857143,2,0,0.261904762,60.85714286,19,5.7143,1
47,7,1,14,10,1,11,7,0.666666667,1,2,0,0.314285714,5.285714286,1,0.8571,1
313,8,1,13,22,12,7,6,0.761904762,0.333333333,2,0,0.357142857,37.75,9,3.875,1
