sloc,wmc,dit,cbo,rfc,lcom,ca,npm,lcom3,dam,moa,mfa,cam,amc,max_cc,avg_cc,bug
665,20,6,20,67,118,17,5,0.857585139,1,3,0.972093023,0.23,31.4,2,1.5,1
1412,33,6,8,93,330,4,2,0.878125,1,3,0.952887538,0.218181818,40.87878788,3,1.5152,1
276,8,6,5,44,14,5,1,0.761904762,1,0,0.988958991,0.5,32.75,5,1.875,1
1760,19,1,15,44,97,12,14,0.711111111,1,2,0,0.315789474,91.36842105,1,0.9474,1
938,26,6,10,80,189,6,3,0.834,0.85,4,0.964615385,0.230769231,34.30769231,2,1.5,1
1791,47,6,11,95,707,6,1,0.913647343,1,4,0.931649331,0.237588652,36.34042553,7,2.234,1
836,19,6,11,63,87,8,2,0.827777778,1,2,0.973602484,0.231578947,41.94736842,3,1.3684,1
424,15,6,7,49,73,3,1,0.863095238,0.916666667,2,0.978159126,0.355555556,26.46666667,3,1.6,1
1910,30,6,6,72,199,3,2,0.871352785,1,3,0.957251908,0.344444444,61.8,15,3.9333,1
169,23,1,4,32,171,3,23,0.880681818,1,0,0,0.229813665,6,1,0.913,1
4,1,1,0,2,0,0,1,2,0,0,0,1,3,0,0,1
105,5,1,10,28,10,5,5,1.25,0,0,0,0.35,19.8,1,0.8,1
1606,18,6,10,56,83,7,2,0.819327731,1,3,0.975116641,0.277777778,85.88888889,2,1.4444,1
177,6,6,0,27,7,0,1,0.7,1,0,0.992088608,1,27.5,2,1.5,0
72,10,1,14,11,3,14,10,0.666666667,1,0,0,0.533333333,5.8,1,0.8,0
86,5,1,2,19,0,0,5,0,1,0,0,0.466666667,16,2,1,0
95,2,1,3,17,1,0,2,2,0,0,0,0.5,46.5,2,1,0
347,25,1,42,40,150,39,23,0.791666667,1,0,0,0.182222222,12.56,3,0.96,0
69,11,1,3,12,25,3,11,0.8,1,0,0,0.545454545,4.818181818,1,0.9091,0
841,16,6,0,42,92,0,1,0.875362319,1,0,0.976635514,1,50.125,2,1.8125,0
4,1,1,0,2,0,0,1,2,0,0,0,1,3,0,0,0
66,8,1,1,14,0,0,8,0.619047619,1,1,0,0.458333333,6.875,1,0.875,0
375,13,1,8,36,0,3,10,0.765151515,0.545454545,3,0,0.461538462,27,7,2,0
160,12,1,2,17,56,1,11,0.836363636,1,0,0,0.375,11.91666667,1,0.9167,0
66,8,1,6,14,0,5,8,0.619047619,1,1,0,0.458333333,6.875,1,0.875,0
10,2,3,0,4,1,0,2,2,1,0,1,0.75,3.5,0,0,0
69,4,1,2,6,0,2,4,0,0,1,0,0.583333333,16,2,1,0
11,11,1,12,11,55,12,11,2,0,0,0,0.515151515,0,1,1,0
77,6,1,5,18,0,4,6,0,1,0,0,0.375,11.66666667,2,1.1667,0
