"","community","source","target","tp","fp","tn","fn","f1","g1","pf","pci","pii","recall","mcc","ifa","ifap","mdd","ifap2","ifa_pii","ifa_pci","ifap3","roi","roi2","roi3","codeSizePercentage"
"0",NA,NA,NA,3,1,154.5,65.5,0.0906976744186047,0.105479584627692,0.00633992444337272,0.193651389391598,0.0222222222222222,0.0557271960949599,0.0965432429911176,0,0,0.34165786778924,0,0,0,0,2.148070907195,0.502826418093611,0.830428208529765,0
"5",NA,NA,NA,3,2,153.5,64.5,0.0962301587301587,0.117381974088779,0.00968528680643497,0.192088910723468,0.0261039234607877,0.0625,0.0973051244603115,0,0,0.408929326197785,0,0,0,0,2.10828945133345,0.568494315723056,0.797247284193071,5
"10",NA,NA,NA,4,2.5,153,65,0.106363636363636,0.119227875935863,0.0122611026225484,0.19296598567882,0.0314598444775269,0.0634682916752737,0.0922140871489062,0,0,0.413209211690744,0,0,0,0,1.88928571428572,0.56775978178516,0.846448967698254,10
"15",NA,NA,NA,5,3,153.5,64.5,0.122898498606491,0.13617497936564,0.0191145210575262,0.192021160995275,0.0361305361305361,0.0732142857142857,0.115849796825358,0,0,0.456947976596594,0,0,0,0,1.95900182033973,0.619847644878392,0.908031886627049,15
"20",NA,NA,NA,5.5,3.5,152.5,64,0.150228365025821,0.172078749828687,0.0243604148603594,0.19454015920539,0.044407336726039,0.0944825099170573,0.128317513108757,0,0,0.555837236358978,0,0,0,0,1.9988235061187,0.843318164615777,0.986122612718324,20
"25",NA,NA,NA,6,4.5,152,63,0.157378740970072,0.183225946180085,0.0274455077086656,0.195502993251181,0.054093567251462,0.101020408163266,0.143698506908835,0,0,0.655280005029651,0,0,0,0,2.10927887901572,0.878492584726959,1.10040482392095,25
"30",NA,NA,NA,7,5,151,62,0.185064935064935,0.224356986917131,0.0337572373862697,0.196487180501163,0.0675615212527964,0.126723975061402,0.15782527403659,0,0,0.834457037511992,0,0,0,0,2.08302913302914,0.994746575439789,1.1853328099247,30
"35",NA,NA,NA,8,7,151,60.5,0.18916827852998,0.237777983863489,0.0416666666666667,0.19610489134389,0.0751192117713959,0.135749385749385,0.147291307136397,0,0,0.813413775981542,0,0,0,0,1.98074185617903,1.0576622618456,1.19787855922853,35
"40",NA,NA,NA,7,8,149,59,0.21009079416159,0.253502790841484,0.0545634920634921,0.196750586682184,0.085914711196665,0.146055437100214,0.129100739266148,0,0,0.955983171256962,0,0,0,0,1.69241852146263,1.05352111868985,1.19743024288677,40
"45",NA,NA,NA,8.5,9.5,147.5,59,0.213395638629284,0.273346527749412,0.0683760683760684,0.197784903131732,0.0998575498575499,0.160156506871835,0.111882116046086,0,0,0.929770380639432,0,0,0,0,1.55604579969714,1.02163037522494,1.114542693061,45
"50",NA,NA,NA,8,10.5,147,57,0.220489188231124,0.293858168412883,0.0828431372549019,0.197879567370518,0.112908496732026,0.175265957446809,0.0971450833954841,1,2.97387872156477e-06,1.21262092116406,0.00186701087069928,0.00107489900895346,0.00249262457397503,0.00172360257141202,1.47883342526199,1.12595176382156,1.17057393435381,50
"55",NA,NA,NA,9.5,15.5,145.5,53.5,0.239110707803993,0.307781706825261,0.0909681867428346,0.198100846268291,0.133618233618233,0.186342592592593,0.109028596033376,1,5.99644199955228e-06,1.23151812946646,0.00253298895680408,0.00187777981664055,0.00318819809696762,0.00244153028069376,1.3680601590651,1.17544439432571,1.1963904779329,55
"60",NA,NA,NA,13.5,19.5,143.5,50.5,0.244789405123751,0.346293491462846,0.132360097323601,0.198505324167845,0.15977207977208,0.216960866722704,0.0784510582047908,0,0,1.41543298218653,0,0,0,0,1.32134203795935,1.2093657652977,1.21166650977362,60
"65",NA,NA,NA,15.5,24.5,135.5,50,0.254496402877698,0.353540328823913,0.166666666666667,0.198866347423704,0.193808954430716,0.223470661672908,0.0634291949575101,1,2.77728810307976e-06,1.40235305023955,0.00188742452461486,0.0014643469203783,0.00264575327543592,0.00164950811932822,1.19710157988778,1.17140169372838,1.17199546660819,65
"70",NA,NA,NA,14.5,35,126.5,50,0.247832652496435,0.372235544897415,0.222761596548004,0.199328100438597,0.23843703950183,0.249031007751938,0.0104699609079198,1,2.94917488689943e-05,1.50394395001298,0.00550718144033641,0.0042566512062357,0.00592566157839903,0.0054301466003597,1.03009343539905,1.12665591279046,1.13818525113423,70
"75",NA,NA,NA,16,45,118,48.5,0.259041394335512,0.407592581610558,0.307692307692308,0.19925706135019,0.309153216084865,0.284060846560847,-0.0165972458297053,1,1.85798486217598e-05,1.76774392296057,0.00431355992386688,0.00418439343803071,0.00434497067360228,0.0043086417042967,0.955256150183685,1.15777410315647,1.19922686394772,75
"80",NA,NA,NA,24,94,67,42,0.246037463976945,0.384282669960975,0.560364145658264,0.199946452771992,0.515216049382716,0.352083333333334,-0.137181619117753,1,1.26525877967737e-05,2.11970860628574,0.0035776215494486,0.00395713301603206,0.00329427186349604,0.00355704015630347,0.769097055519993,1.11528639108677,1.23444547428651,80
"85",NA,NA,NA,24,111.5,41,36,0.206730769230769,0.287435456110155,0.73078612209047,0.198625187156265,0.644590643274854,0.380014262791942,-0.26192576935989,1,1.4438936569345e-05,2.32974197501931,0.00384641284250737,0.00472060833902939,0.00301267066878176,0.00373201588084566,0.666666666666666,0.990090064604372,1.13283752750965,85
"90",NA,NA,NA,25.5,111.5,36.5,36,0.209777227722772,0.292931753096507,0.735205314009662,0.198744959517721,0.644590643274854,0.38417807320593,-0.262233252889773,2,4.44106687400959e-05,2.69843026405709,0.00704642992241252,0.00909166046780726,0.0046981331126714,0.00666077374649135,0.669416770444167,1.00141834982571,1.15621846463331,90
"95",NA,NA,NA,24.5,111.5,36.5,36,0.209777227722772,0.273376614603986,0.738071504518873,0.198787034157914,0.648489932885906,0.385890151515151,-0.26645829307355,4,3.93696153666267e-05,3.26024894529709,0.00686698004069,0.00969481592318961,0.00367966110024551,0.00622745502212468,0.64368675640352,0.993470006727248,1.1244701652328,95
"100",NA,NA,NA,26,115.5,35.5,30.5,0.222277227722772,0.257931325397593,0.765564620008587,0.19919906596924,0.666097838452787,0.417089195172463,-0.244715302878918,13,3.93192393049098e-05,6.26031131173509,0.0333293081815173,0.0661654828442789,0.000532253568850183,0.00625936179528831,0.669416770444167,1,1.0222774229329,100
