"","CamargoCruz09.NB","Amasaki15.NB","Peters15.NB","EASC_E","EASC_NE","SC","CLA","FCM","ManualDown","ManualUp","Bellwether"
"1",0,5,5,0,0,6,0,0,0,13,0
"2",0,0,2,3,0,1,0,0,0,42,3
"3",1,0,0,0,1,11,0,0,1,53,1
"4",8,1,11,2,3,21,3,7,3,39,2
"5",0,1,7,2,0,0,0,0,0,5,0
"6",2,2,0,6,0,2,1,0,0,31,1
"7",3,3,1,7,6,11,3,0,9,2,4
"8",1,1,0,4,2,1,3,2,2,40,11
"9",0,0,0,0,1,1,1,1,1,55,2
"10",1,1,2,8,0,0,0,2,0,66,5
"11",3,3,2,6,1,5,18,4,1,25,11
"12",0,0,0,0,0,0,0,0,0,24,0
"13",2,2,1,0,2,8,15,28,2,22,19
"14",0,0,1,1,0,2,0,0,0,41,2
"15",0,0,0,2,0,0,2,1,0,15,4
"16",0,0,0,2,0,0,14,1,0,80,2
"17",0,0,0,1,0,0,0,0,0,4,0
"18",1,1,0,1,0,0,4,0,0,46,2
"19",2,2,0,9,4,4,3,6,2,13,2
"20",0,0,0,0,0,0,0,0,0,3,1
"21",0,0,0,6,0,11,1,0,0,20,3
"22",1,1,1,14,0,0,0,0,0,38,1
"23",0,0,0,1,1,0,0,0,1,5,2
"24",0,0,0,10,1,0,0,0,1,19,5
"25",0,0,0,4,1,0,0,0,1,9,1
"26",0,0,1,10,1,0,3,0,1,32,4
"27",2,2,2,38,5,70,10,77,5,75,18
"28",0,0,5,3,0,9,5,7,0,4,4
"29",0,0,1,0,0,0,1,1,0,15,0
"30",0,0,4,0,0,0,0,0,0,3,0
"31",0,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,1,0,1,1,0,0,1,0
"33",0,0,0,0,1,0,0,0,1,4,0
"34",0,0,0,0,0,0,0,0,0,1,0
"35",0,0,0,0,0,0,1,0,0,12,0
"36",0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,12,0
"38",0,0,0,0,0,1,0,0,0,9,0
"39",0,0,0,1,0,0,0,0,0,18,2
"40",0,0,1,7,0,0,7,0,0,25,0
"41",0,0,0,1,0,1,0,1,0,22,1
"42",0,0,0,2,0,1,0,0,0,10,0
"43",2,3,4,3,2,2,7,17,2,26,22
"44",0,0,0,0,0,3,0,0,0,13,0
"45",1,1,0,1,3,2,5,2,3,17,0
"46",0,0,0,0,0,0,1,0,0,1,0
"47",1,1,13,4,0,0,3,0,0,11,7
"48",0,0,4,4,0,6,0,0,0,5,5
"49",0,0,0,1,0,0,2,1,0,14,0
"50",0,0,0,0,0,4,2,0,0,6,2
"51",0,0,0,0,0,1,0,2,0,0,0
"52",0,0,0,0,0,3,1,0,0,12,0
"53",0,0,1,18,0,0,0,5,0,102,5
"54",0,0,1,0,3,2,0,2,3,0,0
"55",0,0,0,1,0,2,1,0,0,2,0
"56",0,0,0,1,0,0,2,0,0,22,1
"57",0,0,0,0,0,0,0,0,0,2,2
"58",0,0,0,0,0,0,0,0,0,5,0
"59",0,0,0,14,0,0,3,7,0,30,2
"60",0,0,0,1,0,0,0,1,0,21,2
"61",0,0,0,6,0,3,0,0,0,23,0
"62",0,0,0,0,0,0,0,0,0,0,0
"63",0,0,0,5,1,0,0,1,1,0,3
"64",0,0,0,2,0,0,2,1,0,8,1
"65",0,0,0,0,0,49,4,0,0,20,2
"66",0,0,0,0,0,0,0,0,0,4,0
"67",0,0,0,0,0,2,0,0,0,1,0
"68",6,50,2,16,1,2,35,49,1,47,5
"69",181,764,7,1,0,1,252,1,0,168,2
"70",23,30,2,0,0,0,38,0,0,519,0
"71",1,11,2,0,1,0,8,4,1,9,14
"72",176,79,32,22,0,241,220,4899,0,4897,68
"73",0,8,0,0,0,0,3,0,0,5,0
"74",0,11,5,7,0,2,3,14,0,49,0
"75",12,71,0,8,0,0,44,1,0,250,2
"76",14,58,5,2,1,38,75,11,1,876,3
"77",27,91,8,0,14,5,77,11,14,10,126
"78",14,79,0,4,0,2,76,21,0,114,27
"79",98,63,21,4,0,206,140,1,0,3178,0
"80",0,12,0,0,0,0,0,13,0,13,0
"81",2,102,16,1,0,0,0,2,0,4,0
"82",22,597,691,7,0,2,3,0,0,17,0
"83",17,100,40,1,0,0,0,0,0,2,0
"84",2,4,2,1,0,0,6,0,0,9,4
"85",1,1,0,0,0,1,0,0,0,7,0
"86",21,10,0,3,0,5,0,6,0,9,0
