"cutoff","recall_mean","pii_mean","pci_mean","roi3_mean","ifap3_mean"
10,0.06079059395234,0.0373313549523482,0.0829861547013225,1.03580220883746,0.0187417092171421
20,0.136718222819378,0.0795196863573965,0.178642812638281,1.1559123419831,0.0187417092171421
30,0.219899249371733,0.120469455232019,0.274982218641845,1.25010481510847,0.0187417092171421
40,0.305764385670164,0.165254021905603,0.376028496588501,1.25115608988899,0.0187417092171421
50,0.381797220590164,0.216342681474461,0.481863289215724,1.22196814391444,0.0187417092171421
60,0.465832922601627,0.274600877966661,0.57865734858407,1.20532214191182,0.0187417092171421
70,0.541181803212649,0.335740944032702,0.678103112053843,1.16395096302805,0.0187417092171421
80,0.651734554795443,0.430037777039625,0.790696574495966,1.13948677577001,0.0187417092171421
90,0.785014676600743,0.582971754093788,0.894024501879097,1.09664256596863,0.0187417092171421
100,1,1,1,1,0.0187417092171421
