"","community","source","target","tp","fp","tn","fn","f1","g1","pf","pci","pii","recall","mcc","ifa","ifap","mdd","ifap2","ifa_pii","ifa_pci","ifap3","roi2","roi3","cutoff","roi"
"1","Amasaki15","Amasaki15-NB","AEEEM-eclipse.csv",9,2,789,197,0.0829493087557604,0.083712047532316,0.00252844500632111,0.0977170783959296,0.0110330992978937,0.0436893203883495,0.159540759192004,0,0,0.364867469006395,0,0,0,0,0.80348044140862,1.33058091158446,10,3.95984112974403
"2","Amasaki15","Amasaki15-NB","AEEEM-equinox.csv",4,0,195,125,0.0601503759398496,0.0601503759398496,0,0.0915161633024738,0.0123456790123457,0.0310077519379845,0.137460353692289,0,0,1.0192546095911,0,0,0,0,0.597096127834816,0.922494718015552,10,2.51162790697674
"3","Amasaki15","Amasaki15-NB","AEEEM-lucene.csv",1,7,620,63,0.0277777777777778,0.0307638871660009,0.0111642743221691,0.0996939221687801,0.0115774240231548,0.015625,0.0120885421254828,0,0,0.349563896395207,0,0,0,0,0.280844989024363,0.459917267110827,10,1.34960937500001
"4","Amasaki15","Amasaki15-NB","AEEEM-mylyn.csv",10,22,1595,235,0.0722021660649819,0.0783889714826328,0.0136054421768707,0.0990185904088352,0.0171858216970999,0.0408163265306122,0.0707750483442001,7,9.31288131155424e-05,0.387318570570837,0.0142658313924874,0.0037593984962406,0.0247722642887343,0.00965032709888854,0.702491855359208,0.989442122069697,10,2.375
"5","Amasaki15","Amasaki15-NB","AEEEM-pde.csv",13,26,1262,196,0.104838709677419,0.116975993041048,0.0201863354037267,0.0991208013501007,0.0260521042084168,0.062200956937799,0.091415631739084,1,1.88647387503699e-06,0.608686462008951,0.00174602703147053,0.000668002672010688,0.00282405139093037,0.00137348967052431,0.993840586511279,1.22403337780363,10,2.38755980861244
"6","Amasaki15","Amasaki15-NB","ALLJURECZKO-ant-1.3.csv",2,2,103,18,0.166666666666667,0.181497797356828,0.019047619047619,0.0887556699116687,0.032,0.1,0.168622915182358,1,0.000219422265842595,0.380173460938647,0.0177138916151622,0.008,0.0274277832303244,0.0148129087569793,1.65623692987913,1.8764066251941,10,3.125
"7","Amasaki15","Amasaki15-NB","ALLJURECZKO-ant-1.4.csv",1,3,135,39,0.0454545454545455,0.0487540628385699,0.0217391304347826,0.0861334071408801,0.0224719101123595,0.025,0.00918329099959314,2,0.000501518134161802,0.123486196750978,0.0279355344982901,0.0112359550561798,0.0446351139404004,0.0223946005582105,0.460382615368757,0.568243139072377,10,1.1125
"8","Amasaki15","Amasaki15-NB","ALLJURECZKO-ant-1.5.csv",2,4,257,30,0.105263157894737,0.117539446604162,0.0153256704980843,0.0872861787310304,0.0204778156996587,0.0625,0.103892549870319,1,5.36762317920831e-05,0.262914692817935,0.0095700525991784,0.00341296928327645,0.0157271359150804,0.00732640647193992,1.15994215563712,1.47830981990809,10,3.05208333333333
"9","Amasaki15","Amasaki15-NB","ALLJURECZKO-ant-1.6.csv",5,4,255,87,0.099009900990099,0.103009493031711,0.0154440154440154,0.0998269254543207,0.0256410256410256,0.0543478260869565,0.108243451191276,0,0,0.520121763401368,0,0,0,0,0.866322046586322,1.07421356607285,10,2.11956521739131
"10","Amasaki15","Amasaki15-NB","ALLJURECZKO-ant-1.7.csv",11,7,572,155,0.119565217391304,0.12419932689176,0.0120898100172712,0.0989010462346575,0.0241610738255034,0.0662650602409639,0.146821884414902,1,8.06708495209782e-06,0.448897385641758,0.00367613008425375,0.00134228187919463,0.00600997828931288,0.00284026142319643,1.07693675695769,1.35558276335908,10,2.74263721552878
"11","Amasaki15","Amasaki15-NB","ALLJURECZKO-arc.csv",2,1,206,25,0.133333333333333,0.137884872824632,0.00483091787439614,0.0799885138153277,0.0128205128205128,0.0740740740740741,0.196642457418433,0,0,0.825167779614189,0,0,0,0,1.59626874150339,2.31312828395645,10,5.77777777777779
"12","Amasaki15","Amasaki15-NB","ALLJURECZKO-berek.csv",1,0,27,15,0.117647058823529,0.117647058823529,0,0.151856435643564,0.0232558139534884,0.0625,0.200445931434318,0,0,0.203748981255094,0,0,0,0,0.713827846353612,1.05171397346835,10,2.6875
"13","Amasaki15","Amasaki15-NB","ALLJURECZKO-camel-1.0.csv",1,8,318,12,0.0909090909090909,0.142600896860987,0.0245398773006135,0.0943625633877999,0.0265486725663717,0.0769230769230769,0.0625740512590644,6,0.00117675679633473,0.11705654040586,0.0420929370185801,0.0176991150442478,0.0664867589929124,0.0343038889389342,1.27238922530298,1.53686378539746,10,2.89743589743589
"14","Amasaki15","Amasaki15-NB","ALLJURECZKO-camel-1.2.csv",7,9,383,209,0.0603448275862069,0.0627339947585174,0.0229591836734694,0.0981569183433381,0.0263157894736842,0.0324074074074074,0.0282487498735863,0,0,1.3433612068719,0,0,0,0,0.520715070407997,0.637640112286701,10,1.23148148148148
"15","Amasaki15","Amasaki15-NB","ALLJURECZKO-camel-1.4.csv",9,12,715,136,0.108433734939759,0.116768585893411,0.0165061898211829,0.0965436378466558,0.0240825688073395,0.0620689655172414,0.110659053866749,0,0,1.14855793748308,0,0,0,0,1.02911244975613,1.28724517495526,10,2.57733990147783
"16","Amasaki15","Amasaki15-NB","ALLJURECZKO-camel-1.6.csv",6,16,761,182,0.0571428571428571,0.0618154741758614,0.0205920205920206,0.0974835257175711,0.0227979274611399,0.0319148936170213,0.0300454618608542,0,0,0.794403816850821,0,0,0,0,0.530670236742202,0.676986648056964,10,1.39990328820116
"17","Amasaki15","Amasaki15-NB","ALLJURECZKO-ckjm.csv",0,0,5,5,0,0,0,0,0,0,0,0,0,2.38663484486874,0,0,0,0,0,0,10,0
"18","Amasaki15","Amasaki15-NB","ALLJURECZKO-e-learning.csv",0,1,58,5,0,0,0.0169491525423729,0.0574333608134103,0.015625,0,-0.0366765706779718,2,0.0035208848584776,0,0.0719591577356417,0.03125,0.112668315471283,0.0593370445714783,0,0,10,0
"19","Amasaki15","Amasaki15-NB","ALLJURECZKO-forrest-0.7.csv",2,0,24,3,0.571428571428572,0.571428571428572,0,0.142799188640974,0.0689655172413793,0.4,0.596284793999944,0,0,2.79408091908092,0,0,0,0,3.77777777777777,4.03070600628362,10,5.8
