"cutoff","recall_median","pii_median","pci_median","roi_median","ifap_median","roi3_median","ifap3_median"
10,0.037999037999038,0.0202639705064709,0.0956429782178785,2.10862178076161,0,0.926291750399928,0
20,0.0944825099170573,0.044407336726039,0.19454015920539,1.9988235061187,0,0.986122612718324,0
30,0.181818181818182,0.087430869783811,0.295927977367938,2.12506481128479,0,1.15517640306486,0
40,0.232731554160126,0.131919083422843,0.395485687584182,1.93243243243243,0,1.07931513529792,0
50,0.358066253703204,0.200682593856655,0.497717361294082,1.79915433286163,0,1.17113681398747,0
60,0.470486111111111,0.291087576088104,0.59842071954245,1.57463808064268,0,1.11512530605678,0
70,0.617163009404389,0.426879053303362,0.698982824960797,1.39105866225092,0,1.14975823524157,0
80,0.849418604651163,0.772186006084311,0.799786702617138,1.08257575757576,0,1.06629918764268,0
90,0.962962962962963,0.987324860691848,0.890890025963355,0.982483958754386,0,1.03213201172705,0
100,1,1,1,1,0,1,0
